Input,Target,Prediction
sees animal man belly,man sees animal belly,man sees animal belly
feel fear heart man,man feel heart fear,man feel fear heart
guard town servant city,servant guard city town,servant guard city town
servant finds leaf reed,servant finds reed leaf,servant finds reed leaf
youth stone climb mountain,youth climb stone mountain,youth climb mountain stone
sees reed shelter youth,youth sees reed shelter,youth sees reed shelter
youth strength guide father,father guide youth strength,father guide youth strength
guide youth road father,father guide youth road,father guide youth road
servant gate river open,servant open river gate,servant open river gate
man eats pellet grain,man eats grain pellet,man eats grain pellet
fill milk servant vessel,servant fill vessel milk,servant fill vessel milk
people life watch god,god watch people life,god watch people life
people rule god city,god rule city people,god rule city people
bolt finds scribe door,scribe finds door bolt,scribe finds door bolt
earth sky god rule,god rule sky earth,god rule sky earth
scribe sees great riverbank,scribe sees great riverbank,scribe sees great riverbank
jar servant fill water,servant fill jar water,servant fill jar water
bless god people river,god bless river people,god bless river people
bring grain servant jar,servant bring grain jar,servant bring grain jar
find people soul great,people find great soul,people find great soul
river servant gate guard,servant guard river gate,servant guard river gate
hill god watch desert,god watch desert hill,god watch desert hill
watch sky star god,god watch star sky,god watch star sky
carry basket woman grain,woman carry basket grain,woman carry basket grain
becomes soul great god,soul becomes great god,soul becomes great god
sees desert hill king,king sees desert hill,king sees desert hill
see fire horizon man,man see fire horizon,man see fire horizon
strength father youth teach,father teach youth strength,father teach youth strength
stone finds chisel hand,hand finds stone chisel,hand finds stone chisel
hill emerges above fire,fire emerges above hill,fire emerges above hill
walk riverbank road people,people walk riverbank road,people walk riverbank road
youth strength give mother,mother give youth strength,mother give youth strength
road people hill walk,people walk hill road,people walk hill road
man head bird see,man see head bird,man see head bird
finds bolt youth door,youth finds door bolt,youth finds door bolt
grain servant bring pellet,servant bring grain pellet,servant bring grain pellet
god gate watch temple,god watch temple gate,god watch temple gate
lord carry basket man,man carry basket lord,man carry basket lord
feel strong man power,man feel strong power,man feel strong power
father shelter reed makes,father makes reed shelter,father makes reed shelter
ba sees star soul,soul ba sees star,soul ba sees star
life guide youth mother,mother guide youth life,mother guide youth life
jar fill servant milk,servant fill milk jar,servant fill milk jar
bring papyrus clump servant,servant bring papyrus clump,servant bring papyrus clump
snake fear great people,people fear great snake,people fear great snake
heart god hear people,god hear people heart,god hear heart people
strong youth soul feel,youth feel strong soul,youth feel strong soul
mouth speaks truth sweet,mouth speaks sweet truth,mouth speaks sweet truth
mouth speaks sweet peace,mouth speaks sweet peace,mouth speaks sweet peace
strong man force feel,man feel strong force,man feel strong force
man finds brick stone,man finds stone brick,man finds stone brick
grain man cut field,man cut grain field,man cut grain field
see man river storm,man see storm river,man see storm river
bring temple woman offering,woman bring offering temple,woman bring offering temple
sweet people peace seek,people seek sweet peace,people seek sweet peace
throne seat servant guard,servant guard throne seat,servant guard throne seat
west river woman see,woman see river west,woman see river west
bring lotus woman offering,woman bring lotus offering,woman bring lotus offering
