Input,Target,Prediction
mouth satisfy (truth/maat) / feather / eat drink heart peace speak /,mouth eat / drink / speak feather (truth/maat) heart peace / satisfy,mouth eat / drink / speak feather (truth/maat) heart peace / satisfy
of seated the beautiful loves woman the youth face young,seated woman loves the beautiful face of the young youth,seated woman loves the beautiful face of the young youth
god loves truth,god loves truth,god loves truth
of animal (ba) belly of head life heart head ox soul bird (ankh),head of bird head of ox animal belly heart soul (ba) life (ankh),head of bird head of ox animal belly heart soul (ba) life (ankh)
above hill desert,above desert hill,above desert hill
with a mirror her woman sees a face,a woman with a mirror sees her face,a woman with a mirror sees her face
makes a the the about scribe heart writing,the scribe makes a writing about the heart,the scribe makes a writing about the heart
scroll the town papyrus on writing beautiful do of scribe,scribe of town do writing on the beautiful papyrus scroll,scribe of town do writing on the beautiful papyrus scroll
placenta sees youth,youth sees placenta,youth sees placenta
/ town opens road (or gate exists found) / city is,opens / exists (or is found) gate road city / town,opens / exists (or is found) gate road city / town
swallow a temple the over high flies gate,a swallow flies over the high temple gate,a swallow flies over the high temple gate
the ox of the king head sees,the king sees the head of ox,the king sees the head of ox
mighty becomes power strength great,mighty power becomes great strength,power becomes great mighty strength
temple horizon faces,temple faces horizon,temple faces horizon
man sees heart truth god,god sees heart man truth,god sees heart man truth
servant hand altar to of great belly the carry animal,hand of servant carry animal belly to the great altar,hand of servant carry animal belly to the great altar
king makes temple,king makes temple,king makes temple
the the upon father walks road now,the father walks upon the road now,the father walks upon the road now
west underground ba travels soul,soul ba travels west underground,soul ba travels west underground
behind / horizon venerated hill become / big temple marrow above youth / great back,youth become venerated / marrow behind / back great / big temple above hill horizon,youth become venerated / marrow behind / back great / big temple above hill horizon
grain of gives thousand fields a a king,a king gives a thousand fields of grain,a king gives a thousand fields of grain
rope coil flax twisted of rope,twisted flax rope coil of rope,twisted flax rope coil of rope
sees horned mother viper,mother sees horned viper,mother sees horned viper
/ mighty great king,great / mighty king,great / mighty king
offering plant life altar the do lord of of lotus,lord of life do offering of the lotus plant altar,lord of life do offering of the lotus plant altar
great thousand things gives a god the,the great god gives a thousand things,the great god gives a thousand things
man use to bolt the of temple make adze door,man use adze to make the door bolt of temple,man use adze to make the door bolt of temple
a a steward brings jars in rack the,a steward brings the jars in a rack,a steward brings the jars in a rack
prepare loaf mother food bread,mother prepare food loaf bread,mother prepare food loaf bread
/ / road king town behind return retreat mountain back to,king to return / retreat behind / back mountain road town,king to return / retreat behind / back mountain road town
world endures time,world endures time,world endures time
mother youth gives heart beautiful birth,mother gives birth youth beautiful heart,mother gives birth youth beautiful heart
god hears prayer king people temple,king hears prayer temple people god,king hears prayer temple people god
fear snake man viper cobra horned seated,horned viper cobra snake fear seated man,horned viper cobra snake fear seated man
authority people temple protects god king,king protects temple god people authority,king protects people god temple authority
truth (truth/maat) sees eye god feather,god sees eye truth feather (truth/maat),god sees eye truth feather (truth/maat)
god gate opens west house,god opens house gate west,god opens house gate west
owl sees woman,woman sees owl,woman sees owl
people west river cross,people cross river west,people cross river west
writing scroll papyrus woman opens,woman opens papyrus scroll writing,woman opens papyrus scroll writing
/ big stone people road city city gate door house bolt town great,people gate door bolt city town great / big house stone road city,people gate door bolt city town great / big house stone road city
/ god (truth/maat) deity upon heart face above / sees feather,god / deity sees feather (truth/maat) above face / upon heart,god / deity sees feather (truth/maat) above face / upon heart
king (give) loaf conical gives,king gives conical loaf (give),king gives conical loaf (give)
god seated throne,seated god throne,god seated throne
makes servant brick,servant makes brick,servant makes brick
rib backbone side,backbone side rib,backbone side rib
and bread eats man drinks,man eats bread and drinks,man eats bread and drinks
/ heart god satisfy peace offering conical every deity (give) loaf lord / /,conical loaf (give) offering peace / satisfy heart god / deity lord / every,conical loaf (give) offering peace / satisfy heart god / deity lord / every
hear people / listen,hear / listen people,hear / listen people
father temple in of eye of spirit truth sees ka,spirit ka of father sees eye of truth in temple,spirit ka of father sees eye of truth in temple
great heart father / good beautiful youth / / mighty life sees back behind,father sees beautiful / good heart behind / back great / mighty youth life,father sees beautiful / good heart behind / back great / mighty youth life
river feeds field,river feeds field,river feeds field
the man shape of the use to adze mountain stone,man use adze to shape the stone of the mountain,man use adze to shape the stone of the mountain
of fear snake sky storm head fire bird,snake fear head of bird sky storm fire,snake fear head of bird sky storm fire
city road people life / town gate,city / town gate road people life,city / town gate road people life
woman offering brings temple,woman brings offering temple,woman brings offering temple
above peace altar great / do / god make father mighty offering / to,father to do / make offering above peace / altar great / mighty god,father to do / make offering above peace / altar great / mighty god
papyrus lotus lake clump plant river shelter reed,reed shelter lake papyrus clump river lotus plant,reed shelter lake papyrus clump river lotus plant
cuts with basket man handle,man cuts basket with handle,man cuts basket with handle
spirit forearm backbone hand / side foot rib (ba) heart soul,hand forearm foot side / rib backbone heart soul (ba) spirit,hand forearm foot side / rib backbone heart soul (ba) spirit
lift sack man grain,man lift grain sack,man lift grain sack
/ / road city upon face riverbank house town great / big,great / big house face / upon riverbank road city / town,great / big house face / upon riverbank road city / town
carry and man servant the milk old to bread jar,servant carry milk jar and bread to the old man,servant carry milk jar and bread to the old man
woman woman seated,woman seated woman,woman seated woman
mother loaf gives conical,mother gives conical loaf,mother gives conical loaf
above lake river,river above lake,river above lake
/ / love lord he big every great lord servant king /,lord / every servant love great / big he / king lord,lord / every servant love great / big he / king lord
sees hoe man,man sees hoe,man sees hoe
strong king power,strong king power,strong king power
rope near hold vessel the road the tethering riverbank great,tethering rope hold the vessel near the great riverbank road,tethering rope hold the vessel near the great riverbank road
writing sees scribe beautiful,scribe sees beautiful writing,scribe sees beautiful writing
horizon toward road beyond town walks scribe slowly,scribe walks road beyond town toward horizon slowly,scribe walks road beyond town toward horizon slowly
field plows king inspect tills,king inspect field plows tills,king inspect field plows tills
mother guide heart youth,mother guide youth heart,mother guide youth heart
/ beautiful deity (or star / truth like example) god sees as,god / deity sees truth like / as (or example) beautiful star,god / deity sees truth like / as (or example) beautiful star
man handle with basket carries,man carries basket with handle,man carries basket with handle
marrow / peace old heart / satisfy venerated man,old man venerated / marrow heart peace / satisfy,old man venerated / marrow heart peace / satisfy
gives life placenta youth birth woman,woman gives birth life youth placenta,woman gives birth life youth placenta
the of the father fly great above ba mountain soul,soul ba of the father fly above the great mountain,soul ba of the father fly above the great mountain
servant brings offering,servant brings offering,servant brings offering
the bolt cobra door a behind lies,a cobra lies behind the door bolt,a cobra lies behind the door bolt
stays cobra shelter the under the reed,the cobra stays under the reed shelter,the cobra stays under the reed shelter
to road king become use great the power master of,great king use power to become master of the road,great king use power to become master of the road
mountain underground lake emerges god,god emerges underground lake mountain,god emerges underground lake mountain
three above handle basket sees fox woman skins house with,woman sees three fox skins above basket with handle house,woman sees three fox skins above basket with handle house
grain uses a the servant hoe for,the servant uses a hoe for grain,the servant uses a hoe for grain
to father authority king gives the the,the king gives authority to the father,the king gives authority to the father
star people god above sends life bringing horizon,god sends star above horizon bringing life people,god sends star above horizon bringing life people
town man gate city open,man open gate city town,man open gate city town
stool mother mat sit child,mother sit stool mat child,mother sit stool mat child
man carry lord basket,man carry basket lord,man carry basket lord
use three make beautiful fox man skins folded cloth to,man use three fox skins to make beautiful folded cloth,man use three fox skins to make beautiful folded cloth
forearm hand stone do strong / make brick to,forearm strong hand to do / make stone brick,forearm strong hand to do / make stone brick
by people boat river cross,people cross river by boat,people cross river by boat
back milk / servant / jar jar to do behind offering make,servant to do / make offering jar milk jar behind / back,servant to do / make offering jar milk jar behind / back
house (spirit) sky horizon (ankh) star ka emerge ba life (soul),ba (soul) ka (spirit) emerge house life (ankh) horizon sky star,ba (soul) ka (spirit) emerge house life (ankh) horizon sky star
/ power force throne / mighty great strength authority / he king,he / king throne authority power strength / force great / mighty,he / king throne authority power strength / force great / mighty
chick swallow eats quail,swallow eats quail chick,swallow eats quail chick
soul life ba finds,soul ba finds life,soul ba finds life
mountain watch god horizon,god watch mountain horizon,god watch mountain horizon
pellet yields / grain field,field yields grain / pellet,field yields grain / pellet
the hill mighty behind and river desert stay mountain great,mighty mountain and desert hill stay behind the great river,mighty mountain and desert hill stay behind the great river
pours offering jar woman milk,woman pours milk jar offering,woman pours milk jar offering
and eats man drinks bread,man eats bread and drinks,man eats bread and drinks
the is animal lion on belly ground a,a lion animal belly is on the ground,a lion animal belly is on the ground
of master very things the is content all,the master of all things is very content,the master of all things is very content
scribe board on the senet plays the,the scribe plays on the senet board,the scribe plays on the senet board
quickly commands open gate servant now king to,king commands servant to open gate now quickly,king commands servant to open gate now quickly
tethering makes hand rope,hand makes tethering rope,hand makes tethering rope
jars rack gather people grain,people gather grain jars rack,people gather grain jars rack
gives god power life people,god gives life people power,god gives life people power
gives town / birth reed youth house above road shelter begets mother,mother gives birth / begets youth above reed shelter house town road,mother gives birth / begets youth above reed shelter house town road
above horizon god star place sky,god place star sky above horizon,god place star sky above horizon
travel slope desert road hill hill,hill slope road desert hill travel,hill slope road desert hill travel
father mother seated (ankh) youth life seated woman man house,father mother youth seated man seated woman house life (ankh),father mother youth seated man seated woman house life (ankh)
horizon hill strength power star force desert fear mountain / sky,mountain desert hill horizon sky star fear power strength / force,mountain desert hill horizon sky star fear power strength / force
/ master all (lord) (every),master (lord) / all (every),master (lord) / all (every)
backbone man hears,man hears backbone,man hears backbone
deity horizon (ba) / sky god above sees emerge soul,god / deity sees soul (ba) emerge above sky horizon,god / deity sees soul (ba) emerge above sky horizon
ka man dwells spirit within,ka spirit dwells within man,ka spirit dwells within man
book sees good / behind city scribe / beautiful back great,scribe sees great book behind / back beautiful / good city,scribe sees great book behind / back beautiful / good city
/ writing scribe hand eye book mouth scroll papyrus scribe,scribe writing / scribe book papyrus scroll hand eye mouth,scribe writing / scribe book papyrus scroll hand eye mouth
life / people love satisfy peace heart,heart love peace / satisfy life people,people love life peace / satisfy heart
makes cross god,god makes cross,god makes cross
sits bird the on brick wall head the,the bird head sits on the brick wall,the bird head sits on the brick wall
every rules king lord people,king rules lord every people,king rules lord every people
ba fly of soul above the mountain great slope father,soul ba of father fly above the great mountain slope,soul ba of father fly above the great mountain slope
/ people life offering food grain pellet,grain / pellet life food offering people,grain / pellet life food offering people
power king seat throne rise,king rise seat throne power,king rise seat throne power
animal belly on stone cold the is the,the animal belly is cold on the stone,the animal belly is on the cold stone
god (djed) gives stability,god gives stability (djed),god gives stability (djed)
gather jars people rack grain,people gather grain jars rack,people gather grain jars rack
city great temple road above emerge back people gate behind mighty / /,people emerge above gate behind / back great / mighty city road temple,people emerge above gate behind / back great / mighty city road temple
negation / great mighty deity strength / (no/not) force god fear /,negation (no/not) fear great / mighty god / deity strength / force,negation (no/not) fear great / mighty god / deity strength / force
man drink eat / speak /,man eat / drink / speak,man eat / drink / speak
road opens path the god,the god opens path road,the god opens path road
carry coil man rope,man carry coil rope,man carry coil rope
large ox very is backbone the of the,the backbone of the ox is very large,the backbone of the ox is very large
a stone milk the jar on brick sits,a milk jar sits on the stone brick,a milk jar sits on the stone brick
face god upon,face upon god,face upon god
build people town pillar,people build town pillar,people build town pillar
lotus youth quail river (great) chick swallow above / sees lake back behind plant,youth sees quail chick swallow (great) above lotus plant behind / back river lake,youth sees quail chick swallow (great) above lotus plant behind / back river lake
a the house for child makes father,the father makes a house for child,the father makes a house for child
is twisted rope flax the for used the,the twisted flax is used for the rope,the twisted flax is used for the rope
near a quail ripple chick water the sits,a quail chick sits near the water ripple,a quail chick sits near the water ripple
/ deity above god sky sees star horizon soul (ba) great,god / deity sees soul (ba) above star sky horizon great,god / deity sees soul (ba) above star sky horizon great
writes papyrus clump the the scribe on,the scribe writes on the papyrus clump,the scribe writes on the papyrus clump
the from storm emerges the west great sky,the great storm emerges from the west sky,the great storm emerges from the west sky
god raises pillar stability grandfather,god raises pillar grandfather stability,god raises pillar grandfather stability
strong son the mother a to gives birth,the mother gives birth to a strong son,the mother gives birth to a strong son
hears storm king mighty,king hears mighty storm,king hears mighty storm
sweet lotus good beautiful life plant /,lotus plant sweet beautiful / good life,lotus plant sweet beautiful / good life
lotus people gather plant lake,people gather lotus plant lake,people gather lotus plant lake
begets mother life gives birth joy loves child /,mother loves child gives birth / begets life joy,mother loves child gives birth / begets life joy
of a soul truth the swallow becomes,the soul becomes a swallow of truth,the soul becomes a swallow of truth
maat truth the loves god,the god loves truth maat,the god loves truth maat
mother / life gives birth youth begets,mother gives birth / begets youth life,mother gives birth / begets youth life
good beautiful / youth heart life back / sees / great behind father mighty,father sees beautiful / good heart behind / back great / mighty youth life,father sees beautiful / good heart behind / back great / mighty youth life
brings god stability djed,god brings stability djed,god brings stability djed
give city sky and light underground star and to town,star and sky give light to city and town underground,star and sky give light to city and town underground
power cobra fear life god snake protection,snake cobra fear power god protection life,snake cobra fear power god protection life
beyond west town,west beyond town,west beyond town
field holds man hoe,man holds hoe field,man holds hoe field
/ backbone rib (ankh) belly animal spirit placenta heart side life,animal belly backbone side / rib placenta heart life (ankh) spirit,animal belly backbone side / rib placenta heart life (ankh) spirit
grain drink back stone / / (spirit) behind / sweet ka eat speak / pellet,ka (spirit) eat / drink / speak sweet grain / pellet behind / back stone,ka (spirit) eat / drink / speak sweet grain / pellet behind / back stone
power authority (djed) / grandfather pillar stability,stability (djed) pillar / grandfather power authority,stability (djed) pillar / grandfather power authority
gate adze building chisel temple stone brick,chisel adze stone brick temple gate building,chisel adze stone brick temple gate building
road coil sees of lake riverbank / rope man above river back behind,man sees coil of rope above road behind / back riverbank river lake,man sees coil of rope above road behind / back riverbank river lake
gives birth woman youth life,woman gives birth youth life,woman gives birth youth life
lord master people,master lord people,master lord people
hears god voice,god hears voice,god hears voice
(the soul double) (ba) spirit the / ka,ka (the spirit / the double) soul (ba),ka (the spirit / the double) soul (ba)
quail chick of head horizon sky bird star,quail chick head of bird sky star horizon,quail chick head of bird sky star horizon
celebrate altar temple peace people,people celebrate peace altar temple,people celebrate peace altar temple
hears god heart,god hears heart,god hears heart
behind back gate authority great city / listen town big servant / / hear /,servant hear / listen authority behind / back gate great / big city / town,servant hear / listen authority behind / back gate great / big city / town
hill slope walk people,people walk hill slope,people walk hill slope
maat god feather deity ba heart truth,feather truth maat god deity heart ba,feather truth ba god deity heart ba
loaf bread of eats man,man eats loaf of bread,man eats loaf of bread
a emerges clump the from cobra papyrus,the cobra emerges from a papyrus clump,the cobra emerges from a papyrus clump
head the of finds master the ox,the master finds the head of ox,the master finds the head of ox
writing / scribe scribe temple book,scribe writing / scribe book temple,scribe writing / scribe book temple
be) (to emerge hill mountain viper desert desert hare slope hill above horned,desert hare (to be) horned viper emerge above desert hill hill slope mountain,desert hare (to be) horned viper emerge above desert hill hill slope mountain
climb hill slope youth,youth climb hill slope,youth climb hill slope
god man sees heart of,god sees heart of man,god sees heart of man
horizon watch god star,god watch star horizon,god watch star horizon
begets gives youth woman people birth / life,woman gives birth / begets life youth people,woman gives birth / begets life youth people
makes hand adze stone,hand makes stone adze,hand makes stone adze
in board the the play senet king stone house great,great king play the senet board in the stone house,great king play the senet board in the stone house
white the papyrus scribe on scroll writes a,the scribe writes on a white papyrus scroll,a scribe writes on the white papyrus scroll
venerated marrow strength /,venerated / marrow strength,venerated / marrow strength
the to conical son loaf a gives father,the father gives a conical loaf to son,the father gives a conical loaf to son
field hoe grain / plows plant pellet,field plant grain / pellet hoe plows,field plant grain / pellet hoe plows
drink beautiful eat jar vessel woman milk,beautiful woman eat drink milk jar vessel,beautiful woman eat drink milk jar vessel
emerges horizon god,god emerges horizon,god emerges horizon
basket good beautiful / heart all) (lord (ankh) / life thing,basket (lord / all) thing beautiful / good life (ankh) heart,basket (lord / all) thing beautiful / good life (ankh) heart
beautiful wall bird a sits the city on,a beautiful bird sits on the city wall,a beautiful bird sits on the city wall
beautiful child the birth goddess a gives to,the goddess gives birth to a beautiful child,the goddess gives birth to a beautiful child
soul seek strong youth,youth seek strong soul,youth seek strong soul
gate peace bolt content / house (satisfied) door,door bolt gate house peace / content (satisfied),door bolt gate house peace / content (satisfied)
above desert the hill authority mighty lord of slope stay,mighty authority of lord stay above the desert hill slope,mighty authority of lord stay above the desert hill slope
all (lord) / cloth master folded fox thing (every) skins three,three fox skins folded cloth thing master (lord) / all (every),three fox skins folded cloth thing master (lord) / all (every)
god hill forms earth,god forms earth hill,god forms earth hill
man lift stone brick,man lift brick stone,man lift stone brick
makes brick stool a of scribe the,the scribe makes a stool of brick,the scribe makes a stool of brick
horizon sky above star life sees god,above horizon sky star god life sees,above horizon sky star god life sees
the path road opens god,the god opens path road,the god opens path road
/ authority / power strong force / pillar king strength grandfather he,strength / force power authority he / king strong pillar / grandfather,strength / force power authority he / king strong pillar / grandfather
the sees river lord all of the,the lord of all sees the river,the lord of all sees the river
the king throne on sits,the king sits on throne,the king sits on throne
city has temple great the,the city has great temple,the city has great temple
king god people protects temple,king protects temple people god,king protects temple people god
people god voice praise joyful with,people praise god with joyful voice,people praise god with joyful voice
sweet drink people water,people drink sweet water,people drink sweet water
above is the the of star mountain fire,the star is above the mountain of fire,the star is above the mountain of fire
peace offering gate people gather temple,people gather offering temple gate peace,people gather offering temple gate peace
conical loaf offering altar (give) / peace,conical loaf (give) offering peace / altar,conical loaf (give) offering peace / altar
great makes temple king,king makes great temple,king makes great temple
people road follow,people follow road,people follow road
good horizon beautiful god deity scarab upon / / star above / / become face sees,god / deity sees scarab / become above face / upon beautiful / good horizon star,god / deity sees scarab / become above face / upon beautiful / good horizon star
write voice the of of and hear heart town scribe,scribe of town hear voice of the heart and write,scribe of town hear voice of the heart and write
on stone animal warm is the belly the,the animal belly is on the warm stone,the animal belly is on the warm stone
sees owl desert,owl sees desert,owl sees desert
man repeated plows hand hoe field,man plows repeated field hoe hand,man plows repeated field hoe hand
hill desert beyond,desert beyond hill,desert beyond hill
/ road king throne behind seated gate town / king back god city above,king seated god / king above throne behind / back gate city town road,king seated god / king above throne behind / back gate city town road
desert hill hill mountain slope storm fire,fire storm mountain hill slope desert hill,fire storm mountain hill slope desert hill
sedge (king) power,sedge (king) power,sedge (king) power
walk woman riverbank road,woman walk riverbank road,woman walk riverbank road
sees scribe scroll,scribe sees scroll,scribe sees scroll
sees handle behind / cobra house back man above basket with stone,man sees cobra above basket with handle behind / back stone house,man sees cobra above basket with handle behind / back stone house
to beautiful lotus plant sweet spirit in the become lake,beautiful lotus plant in lake become sweet to the spirit,lotus plant in lake become sweet to the spirit
field hill plows servant,servant plows hill field,servant plows hill field
/ mountain behind road hill desert above storm fire back,storm fire above mountain behind / back desert hill road,storm fire above mountain behind / back desert hill road
ka the emerges spirit from side mountain the,the spirit ka emerges from the mountain side,the spirit ka emerges from the mountain side
riverbank great people near town gather at peace,people gather at riverbank near town great peace,people gather at riverbank near town great peace
king youth gives power to the the,the king gives power to the youth,the king gives power to the youth
an uses brick master adze the on,the master uses an adze on brick,the master uses an adze on brick
guide father heart youth,father guide youth heart,father guide youth heart
are king jars of thousand for milk a,a thousand jars of milk are for king,a thousand jars of milk are for king
binds chaos god snake,god binds chaos snake,god binds chaos snake
sees man sky star,man sees star sky,man sees star sky
great city makes king,king makes great city,king makes great city
mighty / sedge authority ring king / power he great king (king),king he / king sedge (king) authority power great / mighty ring,king he / king sedge (king) authority power great / mighty ring
maintains king order,king maintains order,king maintains order
plant field woman life tend,woman tend field plant life,woman tend field plant life
youth soul peace seek,youth seek soul peace,youth seek soul peace
big people bolt / great gate / city town house door,people gate door bolt city / town great / big house,people gate door bolt city / town great / big house
and drink from board jar senet play in house man,man play senet board and drink from jar in house,man play senet board and drink from jar in house
a people town the makes for king,the king makes a town for people,the king makes a town for people
bolt house brick door town gate reed shelter building,gate door bolt reed shelter brick house building town,gate door bolt reed shelter brick house building town
opens emerges light with horizon god and,god opens horizon and emerges with light,god opens horizon and emerges with light
lift joy father shoulder child,father lift child shoulder joy,father lift child shoulder joy
retreat desert west man return to road back / behind mountain / hill,man to return / retreat west mountain road behind / back desert hill,man to return / retreat west mountain road behind / back desert hill
swallow fly chick the and through quail gate of horizon,quail chick and swallow fly through the gate of horizon,quail chick and swallow fly through the gate of horizon
plant woman lotus tends,woman tends lotus plant,woman tends lotus plant
every king seated become on scarab throne power above great,scarab become great power on throne above every seated king,scarab become great power on throne above every seated king
king a jars of thousand gives a milk,a king gives a thousand jars of milk,a king gives a thousand jars of milk
mountain dwell people near,people dwell near mountain,people dwell near mountain
fear protect mother snake child,mother protect child fear snake,mother protect child fear snake
becomes the sweet of man heart a very,the heart of a man becomes very sweet,the heart of a man becomes very sweet
star rule god sky,god rule star sky,god rule sky star
back above / river swallow lake behind (great) sees youth,youth sees swallow (great) above lake behind / back river,youth sees swallow (great) above lake behind / back river
sedge to lord king the gives the,the king gives the sedge to lord,the king gives the sedge to lord
adze brick sickle road above stone club chisel house hoe town,adze chisel sickle hoe club above stone brick house town road,adze chisel sickle hoe club above stone brick house town road
single (plural stroke papyrus stroke scroll writing book marker) thing / scribe,single stroke stroke (plural marker) thing writing / scribe book papyrus scroll,single stroke stroke (plural marker) thing writing / scribe book papyrus scroll
power youth strong,youth strong power,youth strong power
preserves temple truth,temple preserves truth,temple preserves truth
the uses wall on a a scribe chisel,a scribe uses a chisel on the wall,a scribe uses a chisel on the wall
(or underground life / is exists found) west opens,life opens / exists (or is found) underground west,life opens / exists (or is found) underground west
sees swallow woman head,woman sees swallow head,woman sees swallow head
river plant in lotus loves woman beautiful the seated the,seated woman loves the beautiful lotus plant in the river,seated woman loves the beautiful lotus plant in the river
servant people life do / big house power great peace hand authority,servant people house do hand life power authority peace great / big,servant people house do hand life power authority peace great / big
climb youth great hill,youth climb great hill,youth climb great hill
river vessel fill servant,servant fill vessel river,servant fill vessel river
to the god gives a life man,a god gives life to the man,a god gives life to the man
a of the on basket bird sits head,the head of bird sits on a basket,the head of bird sits on a basket
hand field man repeated plows hoe,man plows repeated field hoe hand,man plows repeated field hoe hand
sack man lift grain,man lift grain sack,man lift grain sack
sky city people town fire fear destruction / storm power,storm fire sky power fear destruction city / town people,storm fire sky power fear destruction city / town people
watches sky ba soul god star,god watches soul ba sky star,god watches soul ba sky star
heart hear father voice,father hear heart voice,father hear heart voice
behind / riverbank good man plows field river (tills) back beautiful /,man plows (tills) field behind / back beautiful / good riverbank river,man plows (tills) field behind / back beautiful / good riverbank river
horizon west god watch,god watch west horizon,god watch west horizon
god loaf (give) offering people conical life,conical loaf (give) offering god people life,conical loaf (give) offering people life god
gate guard servant river,servant guard river gate,servant guard river gate
sees owl desert,owl sees desert,owl sees desert
to great man cut sickle grain the use in field,man use sickle to cut grain in the great field,man use sickle to cut grain in the great field
woman ka spirit see,woman see ka spirit,woman see ka spirit
mountain god makes,god makes mountain,god makes mountain
seat authority king throne throne / power,authority power king throne seat / throne,authority power king throne seat / throne
people road town toward follow,people follow road toward town,people follow road toward town
road / behind hill west mountain to / return man desert retreat back,man to return / retreat west mountain road behind / back desert hill,man to return / retreat west mountain road behind / back desert hill
of father gold the ring a gives,the father gives a ring of gold,the father gives a ring of gold
above man hill slope desert snake horned viper emerge sees,man sees horned viper snake emerge above desert hill slope,man sees horned viper snake emerge above desert hill slope
man god hears voice,god hears voice man,man hears god voice
field grows plant,field grows plant,plant grows field
ripple water life jar people vessel,jar vessel water ripple life people,jar vessel water ripple life people
of ox animal head rib backbone placenta side / belly,placenta animal belly backbone side / rib head of ox,placenta animal belly backbone side / rib head of ox
plows servant hill slope,servant plows hill slope,servant plows hill slope
guards throne cobra,cobra guards throne,cobra guards throne
sees soul small quail chick the the,the soul sees the small quail chick,the soul sees the small quail chick
basket handle a servant a with the carries,a servant carries the basket with a handle,a servant carries the basket with a handle
city city people great / town stone house bolt gate door road big,people gate door bolt city town great / big house stone road city,people gate door bolt city town great / big house stone road city
mother birth gives brick wall near youth the stone to,mother gives birth to youth near the stone brick wall,mother gives birth to youth near the stone brick wall
scribe great makes scroll papyrus,great scribe makes papyrus scroll,great scribe makes papyrus scroll
king guard city commands,king commands city guard,king commands city guard
walks house gate behind man,man walks behind house gate,man walks behind house gate
a a face woman mirror sees the with,a woman with a mirror sees the face,a woman with a mirror sees the face
heart / deity altar life jar peace vessel give god / offering to,god / deity to give peace / altar offering jar vessel heart life,god / deity to give peace / altar offering jar vessel heart life
venerated the spirit gives father birth of youth to ka,venerated father gives birth to the spirit ka of youth,venerated father gives birth to the spirit ka of youth
sees world things the all the lord of,the lord of all things sees the world,the lord of all things sees the world
gives people king to power the,the king gives power to people,the king gives power to people
people mouth king hears voice,king hears voice mouth people,king hears voice mouth people
