Input,Target,Prediction
man snake near today cautiously riverbank sees coil,man sees snake coil near riverbank cautiously today,man sees snake coil near riverbank cautiously today
spirit through the enters temple the ka gate,the spirit ka enters through the temple gate,the spirit ka enters through the temple gate
of above gold house shines the the star,the star shines above the house of gold,the star shines above the house of gold
house the star gold shines of the above,the star shines above the house of gold,the star shines above the house of gold
man is a of strength the backbone his,the backbone of a man is his strength,the backbone of a man is his strength
the plays senet master great board the on,the master plays on the great senet board,the master plays on the great senet board
light the morning lotus the in plant opens,the lotus plant opens in the morning light,the lotus plant opens in the morning light
in desert hare the field green hides the,the desert hare hides in the green field,the desert hare hides in the green field
emerge deep lake from thousand the fish a,a thousand fish emerge from the deep lake,a thousand fish emerge from the deep lake
sits the stone on rib side animal of,the side rib of animal sits on stone,the side rib of animal sits on stone
stone sits the the man old upon mat,the old man sits upon the stone mat,the old man sits upon the stone mat
a board king the senet plays on great,a king plays on the great senet board,a king plays on the great senet board
loaf a a mother gives to conical servant,a servant gives a conical loaf to mother,a servant gives a conical loaf to mother
in the man old truth life sees the,the old man sees the truth in life,the old man sees the truth in life
are jars for thousand king a of milk,a thousand jars of milk are for king,a thousand jars of milk are for king
great the to king gives the authority god,the god gives authority to the great king,the god gives authority to the great king
a hears youth of heart the the father,a youth hears the heart of the father,a youth hears the heart of the father
bread together stool sit sharing on peacefully people,people sit on stool sharing bread peacefully together,people sit on stool sharing bread peacefully together
thousand in the peace city find people a,a thousand people find peace in the city,a thousand people find peace in the city
finds man old the temple peace the in,the old man finds peace in the temple,the old man finds peace in the temple
father the heart good of very is a,the heart of a father is very good,the heart of a father is very good
studies calmly scroll scribe papyrus light fire by,scribe studies papyrus scroll by fire light calmly,scribe studies papyrus scroll scroll by fire light calmly
truth the soul the of backbone is the,the backbone of the soul is the truth,the backbone of the soul is the truth
brick sees cobra under the youth a the,a youth sees the cobra under the brick,a youth sees the cobra under the brick
with house of speaks the the authority master,the master of the house speaks with authority,the master of the house speaks with authority
thousand king are a for milk of jars,a thousand jars of milk are for king,a thousand jars of milk are for king
from the great west storm sky emerges the,the great storm emerges from the west sky,the great storm emerges from the west sky
river the city the is near great town,the great city town is near the river,the great city town is near the river
very the king great of authority is the,the authority of the king is very great,the authority of the king is very great
man of strength venerated the the is marrow,the venerated marrow is the strength of man,the venerated marrow is the strength of man
sits jar stone the on milk brick a,a milk jar sits on the stone brick,a milk jar sits on the stone brick
sky great town swallow see above people flying,people see swallow great flying above town sky,people see swallow great flying above town sky
with town to a woman basket walks a,a woman with a basket walks to town,a woman with a basket walks to town
remains the house in ka the spirit life,the spirit ka remains in the house life,the spirit ka remains in the house life
a face mirror the sees woman with a,a woman with a mirror sees the face,a woman with a mirror sees the face
the youth father gives ring the to a,the father gives a ring to the youth,the father gives a ring to the youth
a seat sits king upon the of gold,a king sits upon the seat of gold,a king sits upon the seat of gold
offering an the of things gives all master,the master of all things gives an offering,the master of all things gives an offering
the sky storm across moves great the west,the great storm moves across the west sky,the great storm moves across the west sky
the great desert above mountain star a shines,a star shines above the great desert mountain,a star shines above the great desert mountain
a reed shelter the in hare hides desert,a desert hare hides in the reed shelter,a desert hare hides in the reed shelter
clump a flies green swallow over papyrus the,a swallow flies over the green papyrus clump,a swallow flies over the green papyrus clump
viper horned hides the stone in the wall,the horned viper hides in the stone wall,the horned viper hides in the stone wall
the finds ka temple peace the spirit in,the spirit ka finds peace in the temple,the spirit ka finds peace in the temple
in the sky stars great shine thousand a,a thousand stars shine in the great sky,a thousand stars shine in the great sky
mirror the sees her woman with face a,the woman with a mirror sees her face,the woman with a mirror sees her face
a shines the star above city great town,a star shines above the great city town,a star shines above the great city town
is belly animal the on the stone cold,the animal belly is cold on the stone,the animal belly is on the cold stone
thousand river fish great a in swim the,a thousand fish swim in the great river,a thousand fish swim in the great river
celebrate under sky and life stars people,people celebrate life under stars and sky,people celebrate life under stars and sky
sees the basket the of the master house,the master of the house sees the basket,the master of the house sees the basket
upon seat the sits of the gold king,the king sits upon the seat of gold,the king sits upon the seat of gold
great woman is the the of face beautiful,the beautiful face of the woman is great,the beautiful face of the woman is great
of is man backbone the the strong very,the backbone of the man is very strong,the backbone of the man is very strong
hides green hare desert in the the plant,the desert hare hides in the green plant,the desert hare hides in the green plant
jar child fills gently milk woman for with,woman fills jar with milk for child gently,woman fills jar with milk for child gently
a a in god star the becomes horizon,a star becomes a god in the horizon,a star becomes a god in the horizon
peacefully people speaks before wisdom old man,old man speaks wisdom before people peacefully,old man speaks wisdom before people peacefully
man is power the of life great in,the great power of life is in man,the great power of life is in man
above stars by watching quietly youth sits lake,youth sits by lake watching stars above quietly,youth sits by lake watching stars above quietly
scribe wood adze a an for uses the,a scribe uses an adze for the wood,a scribe uses an adze for the wood
stool on together people peacefully bread sit sharing,people sit on stool sharing bread peacefully together,people sit on stool sharing bread peacefully together
a the jar milk sits stone on brick,a milk jar sits on the stone brick,a milk jar sits on the stone brick
night house hears at behind owl man,man hears owl behind house at night,man hears owl behind house at night
hears old the the man of voice god,the old man hears the voice of god,the old man hears the voice of god
a single wood stroke a on scribe marks,a scribe marks a single stroke on wood,a scribe marks a single stroke on wood
slope hill runs the the across desert hare,the desert hare runs across the hill slope,the desert hare runs across the hill slope
water in the a grows plant river lotus,a lotus plant grows in the river water,a lotus plant grows in the river water
animal ground lion on is a belly the,a lion animal belly is on the ground,a lion animal belly is on the ground
god voice in man hears temple great peace,man hears god voice in temple great peace,man hears god voice in temple great peace
storm great the over the moves hill desert,the great storm moves over the desert hill,the great storm moves over the desert hill
sweet peace lord finds of the house the,the lord of the house finds sweet peace,the lord of the house finds sweet peace
on head bird the the sits brick wall,the bird head sits on the brick wall,the bird head sits on the brick wall
grain king field sees the the great of,the great king sees the field of grain,the great king sees the field of grain
the becomes the the light sun fire of,the light of the sun becomes the fire,the light of the sun becomes the fire
man great fear storm does not a the,a man does not fear the great storm,a man does not fear the great storm
carries papyrus today carefully scribe town scroll into,scribe carries papyrus scroll into town carefully today,scribe carries papyrus scroll into town carefully today
king very the strong of is the backbone,the backbone of the king is very strong,the backbone of the king is very strong
rope binds to tethering the man a boat,a man binds the tethering rope to boat,a man binds the tethering rope to boat
milk are a of queen for jars thousand,a thousand jars of milk are for queen,a thousand jars of milk are for queen
a hears the woman voice basket with a,a woman with a basket hears the voice,a woman with a basket hears the voice
the mother a son birth beautiful gives to,the mother gives birth to a beautiful son,the mother gives birth to a beautiful son
great river flies above swallow the the bank,the great swallow flies above the river bank,the great swallow flies above the river bank
club behind a walks a with man town,a man with a club walks behind town,a man with a club walks behind town
man voice in peace god great temple hears,man hears god voice in temple great peace,man hears god voice in temple great peace
the brick animal on the belly warm remains,the animal belly remains on the warm brick,the animal belly remains on the warm brick
a hoe man a with ground the tilled,a man with a hoe tilled the ground,a man with a hoe tilled the ground
to a a ring the son gives father,a father gives a ring to the son,a father gives a ring to the son
old the the city peace in finds man,the old man finds peace in the city,the old man finds peace in the city
an wood adze the for uses scribe a,a scribe uses an adze for the wood,a scribe uses an adze for the wood
desert the the hare reed runs to shelter,the desert hare runs to the reed shelter,the desert hare runs to the reed shelter
marrow venerated finds of the man a life,a man finds the venerated marrow of life,a man finds the venerated marrow of life
the sees of the lord field grain the,the lord of the field sees the grain,the lord of the field sees the grain
a of man life marrow venerated the finds,a man finds the venerated marrow of life,a man finds the venerated marrow of life
the head ox the altar sits of on,the head of ox sits on the altar,the head of ox sits on the altar
the the enters gate spirit temple through ka,the spirit ka enters through the temple gate,the spirit ka enters through the temple gate
grows plant the a in river lotus water,a lotus plant grows in the river water,a lotus plant grows in the river water
man the hoe a a plows with field,a man with a hoe plows the field,a man plows the field with a hoe
milk carries a servant a for altar jar,a servant carries a milk jar for altar,a servant carries a milk jar for altar
to old speaks great master man the the,the old man speaks to the great master,the old man speaks to the great master
soul a a in bird becomes the sky,a soul becomes a bird in the sky,a soul becomes a bird in the sky
today man skins three fox the a finds,a man finds the three fox skins today,a man finds the three fox skins today
the mountain above a great star is side,a star is above the great mountain side,a star is above the great mountain side
reverence father follows with temple into youth,youth follows father into temple with reverence,youth follows father into temple with reverence
thousand gives grain a of a fields king,a king gives a thousand fields of grain,a king gives a thousand fields of grain
star emerges hill a above the desert high,a star emerges above the high desert hill,a star emerges above the high desert hill
very of king the is heart strong the,the heart of the king is very strong,the heart of the king is very strong
the town swallow above city high a flies,a swallow flies above the high city town,a swallow flies above the high city town
ring a father a his to gives daughter,a father gives a ring to his daughter,a father gives a ring to his daughter
the field tilled man hoe with a a,a man with a hoe tilled the field,a man with a hoe tilled the field
heart sweet is very goddess the of the,the heart of the goddess is very sweet,the heart of the goddess is very sweet
gate is the to made the stone city,the gate to the city is made stone,the gate to the city is made stone
life ka the in house the exists spirit,the spirit ka exists in the house life,the spirit ka exists in the house life
in a finds stone the youth a lake,a youth finds a stone in the lake,a youth finds a stone in the lake
a light opens in plant morning the lotus,a lotus plant opens in the morning light,a lotus plant opens in the morning light
the star a great mountain emerges above peak,a star emerges above the great mountain peak,a star emerges above the great mountain peak
hides the stone viper wall in the horned,the horned viper hides in the stone wall,the horned viper hides in the stone wall
to god the speaks seated old man the,the old man speaks to the seated god,the old man speaks to the seated god
harvest people grain from field gather after,people gather grain from field after harvest,people gather grain from field after harvest
carries vessel the in servant a rack a,a servant carries the vessel in a rack,a servant carries the vessel in a rack
of is all the content things very master,the master of all things is very content,the master of all things is very content
the way the to finds sky ka spirit,the spirit ka finds the way to sky,the spirit ka finds the way to sky
of grain are people a jars thousand for,a thousand jars of grain are for people,a thousand jars of grain are for people
youth the sand finds bolt door a in,a youth finds the door bolt in sand,a youth finds the door bolt in sand
of king a jars grain thousand for are,a thousand jars of grain are for king,a thousand jars of grain are for king
upon feather god of truth heart places,god places feather of truth upon heart,god places feather of truth upon heart
heart peace of king the the finds great,the heart of the king finds great peace,the heart of the king finds great peace
the behind hare hill slope a sits desert,a desert hare sits behind the hill slope,a desert hare sits behind the hill slope
the with a sees gate woman a basket,a woman with a basket sees the gate,a woman with a basket sees the gate
a plant lotus the reed shelter grows near,a lotus plant grows near the reed shelter,a lotus plant grows near the reed shelter
youth in the cobra a the desert sees,a youth sees the cobra in the desert,a youth sees the cobra in the desert
the very strong is backbone of the king,the backbone of the king is very strong,the backbone of the king is very strong
god the sees youth eye the a of,a youth sees the eye of the god,a youth sees the eye of the god
call owl at seated night sky woman hears,seated woman hears owl call at night sky,seated woman hears owl call at night sky
becomes a the a horizon soul in star,a soul becomes a star in the horizon,a soul becomes a star in the horizon
thousand house the a shine gold stars above,a thousand stars shine above the house gold,a thousand stars shine above the house gold
soul the becomes a the star of father,the soul of the father becomes a star,the soul of the father becomes a star
door a behind bolt the moves cobra large,a cobra moves behind the large door bolt,a cobra moves behind the large door bolt
horizon road king town toward beyond travels western,king travels road beyond town toward western horizon,king travels road beyond town toward western horizon
the of light gives sun the great power,the great power of the sun gives light,the great power of the sun gives light
in house ka spirit life the the exists,the spirit ka exists in the house life,the spirit ka exists in the house life
bricks of a city build the wall thousand,a thousand bricks build the wall of city,a thousand bricks build the wall of city
in desert shelter hare the the hides reed,the desert hare hides in the reed shelter,the desert hare hides in the reed shelter
the stone in man field finds a a,a man finds a stone in the field,a man finds a stone in the field
man the happy is of the old heart,the heart of the old man is happy,the heart of the old man is happy
great behind temple king gate the sits a,a king sits behind the great temple gate,a king sits behind the great temple gate
the with to king people authority speaks a,a king with authority speaks to the people,a king with authority speaks to the people
old walks gate the temple to the man,the old man walks to the temple gate,the old man walks to the temple gate
places jars rack the in a the scribe,the scribe places the jars in a rack,the scribe places the jars in a rack
man in the temple peace finds old the,the old man finds peace in the temple,the old man finds peace in the temple
moves bank the near river the water ripple,the water ripple moves near the river bank,the water ripple moves near the river bank
the stone wall in the horned viper hides,the horned viper hides in the stone wall,the horned viper hides in the stone wall
bank in the the plant river lotus grows,the lotus plant grows in the river bank,the lotus plant grows in the river bank
under evening youth sky road follows toward west,youth follows road toward west under evening sky,youth follows road toward west under evening sky
the above a swallow bank flies river high,a swallow flies above the high river bank,a swallow flies above the high river bank
desert night at cobra temple guards gate,cobra guards temple gate at desert night,cobra guards temple gate at desert night
house work inside people rest mats after on,people rest on mats inside house after work,people rest on mats inside house after work
servant to a the lord the gives loaf,the lord gives a loaf to the servant,the lord gives a loaf to the servant
power sun great the of the life gives,the great power of the sun gives life,the great power of the sun gives life
the for an adze wood uses scribe the,the scribe uses an adze for the wood,the scribe uses an adze for the wood
sits the stool great the on board senet,the great senet board sits on the stool,the great senet board sits on the stool
hare the shelter desert hides reed the in,the desert hare hides in the reed shelter,the desert hare hides in the reed shelter
all things the sees field master of the,the master of all things sees the field,the master of all things sees the field
the eats house the of bread the master,the master of the house eats the bread,the master of the house eats the bread
rope quietly house mother doorway braids flax beside,mother braids flax rope beside house doorway quietly,mother braids flax rope beside house doorway quietly
old peace the city in finds man the,the old man finds peace in the city,the old man finds peace in the city
at dawn together cross seeking people peace gate,people cross gate at dawn seeking peace together,people cross gate at dawn seeking peace together
upon stool the scribe today sits a mat,a scribe sits upon the stool mat today,a scribe sits upon the stool mat today
bank the plant grows the lotus river in,the lotus plant grows in the river bank,the lotus plant grows in the river bank
the power god of the world makes great,the great power of god makes the world,the great power of god makes the world
sees the all world things the of lord,the lord of all things sees the world,the lord of all things sees the world
life man marrow the is venerated the of,the venerated marrow is the life of man,the venerated marrow is the life of man
in thousand stars night shine a sky the,a thousand stars shine in the night sky,a thousand stars shine in the night sky
master the souls all of truth sees the,the master of all souls sees the truth,the master of all souls sees the truth
very of the backbone snake long is the,the backbone of the snake is very long,the backbone of the snake is very long
king of sees the grain great the field,the great king sees the field of grain,the great king sees the field of grain
sees field of lord the grain the the,the lord of the field sees the grain,the lord of the field sees the grain
above fire shines star the of the mountain,the star shines above the mountain of fire,the star shines above the mountain of fire
to loaf a conical the child gives father,the father gives a conical loaf to child,the father gives a conical loaf to child
mother servant gives loaf a to conical a,a servant gives a conical loaf to mother,a servant gives a conical loaf to mother
in desert a the sees cobra youth the,a youth sees the cobra in the desert,a youth sees the cobra in the desert
the to woman a a jar brings altar,a woman brings a jar to the altar,a woman brings a jar to the altar
inside quail the chick the hides shelter reed,the quail chick hides inside the reed shelter,the quail chick hides inside the reed shelter
with the man a plows strength of god,a man plows with the strength of god,a man plows with the strength of god
a sand the youth in finds door bolt,a youth finds the door bolt in sand,a youth finds the door bolt in sand
is long of the backbone fish very the,the backbone of the fish is very long,the backbone of the fish is very long
a the side above emerges high star mountain,a star emerges above the high mountain side,a star emerges above the high mountain side
the the bird hears a woman in field,a woman hears the bird in the field,a woman hears the bird in the field
from gather harvest field after people grain,people gather grain from field after harvest,people gather grain from field after harvest
as listens speaks god truth woman quietly,woman listens quietly as god speaks truth,woman listens quietly as god speaks truth
sky above desert great horizon people see hill,people see horizon above desert hill sky great,people see horizon above desert hill sky great
head bird a on is stone wall the,a bird head is on the stone wall,a bird head is on the stone wall
near stone crawls brick viper the horned the,the horned viper crawls near the stone brick,the horned viper crawls near the stone brick
very the the is large ox of backbone,the backbone of the ox is very large,the backbone of the ox is very large
the small backbone very the bird of is,the backbone of the bird is very small,the backbone of the bird is very small
the eye sees bird youth the of a,a youth sees the eye of the bird,a youth sees the eye of the bird
of heart king strong very the the is,the heart of the king is very strong,the heart of the king is very strong
sits youth lake quietly stars above watching by,youth sits by lake watching stars above quietly,youth sits by lake watching stars above quietly
altar the side of on rib ox is,the side rib of ox is on altar,the side rib of ox is on altar
with sees woman mirror a the a face,a woman with a mirror sees the face,a woman with a mirror sees the face
at night snake riverbank near people fear,people fear snake near riverbank at night,people fear snake near riverbank at night
quietly lake stars by watching above youth sits,youth sits by lake watching stars above quietly,youth sits by lake watching stars above quietly
sky toward peacefully people under morning gate walk,people walk toward gate under morning sky peacefully,people walk toward gate under morning sky peacefully
the life great of power sun the gives,the great power of the sun gives life,the great power of the sun gives life
man with the sickle papyrus cuts a a,a man cuts the papyrus with a sickle,a man cuts the papyrus with a sickle
thousand in the fish swim river a great,a thousand fish swim in the great river,a thousand fish swim in the great river
the a life marrow finds of man venerated,a man finds the venerated marrow of life,a man finds the venerated marrow of life
sits gold of seat king a upon the,a king sits upon the seat of gold,a king sits upon the seat of gold
the heart a man becomes sweet very of,the heart of a man becomes very sweet,the heart of a man becomes very sweet
man finds peace the in the old temple,the old man finds peace in the temple,the old man finds peace in the temple
stone viper near crawls horned a brick the,a horned viper crawls near the stone brick,a horned viper crawls near the stone brick
chick the the quail brick stone on sits,the quail chick sits on the stone brick,the quail chick sits on the stone brick
road walks the a with a man club,a man with a club walks the road,a man with a club walks the road
scribe for twisted the flax binds a god,a scribe binds the twisted flax for god,a scribe binds the twisted flax for god
face of peace a beautiful woman gives the,the beautiful face of a woman gives peace,the beautiful face of a woman gives peace
life the in man the old sees truth,the old man sees the truth in life,the old man sees the truth in life
the the hill great over moves storm desert,the great storm moves over the desert hill,the great storm moves over the desert hill
a flax binds rope man twisted the for,a man binds the twisted flax for rope,a man binds the twisted flax for rope
near fire reed the great a burns shelter,a great fire burns near the reed shelter,a great fire burns near the reed shelter
authority master house the with speaks the of,the master of the house speaks with authority,the master of the house speaks with authority
great god truth power is in the of,the great power of truth is in god,the great power of truth is in god
emerges side dark mountain star above a the,a star emerges above the dark mountain side,a star emerges above the dark mountain side
a servant brings milk altar jar a for,a servant brings a milk jar for altar,a servant brings a milk jar for altar
flax rope twisted man for the binds the,the man binds the twisted flax for rope,the man binds the twisted flax for rope
the uses wood the adze on scribe an,the scribe uses an adze on the wood,the scribe uses an adze on the wood
grain shelter reed a servant carries the to,a servant carries grain to the reed shelter,a servant carries grain to the reed shelter
woman gently with for jar milk fills child,woman fills jar with milk for child gently,woman fills jar with milk for child gently
across runs desert the slope the hill hare,the desert hare runs across the hill slope,the desert hare runs across the hill slope
of the backbone a his strength man is,the backbone of a man is his strength,the backbone of a man is his strength
mother a of is heart good very the,the heart of a mother is very good,the heart of a mother is very good
today a the skins fox man finds three,a man finds the three fox skins today,a man finds the three fox skins today
great above strength god with lifts desert mountain,god lifts mountain above desert with strength great,god lifts mountain above desert with strength great
in rack a jars servant brings the a,a servant brings the jars in a rack,a servant brings the jars in a rack
to gives youth mother jar gently milk,mother gives milk jar to youth gently,mother gives milk jar to youth gently
eye sees a youth the the of bird,a youth sees the eye of the bird,a youth sees the eye of the bird
gives a loaf conical the to mother father,the father gives a conical loaf to mother,the father gives a conical loaf to mother
thousand of bricks the life house build a,a thousand bricks build the house of life,a thousand bricks build the house of life
backbone very of the is the father strong,the backbone of the father is very strong,the backbone of the father is very strong
house master of the the guest satisfies the,the master of the house satisfies the guest,the master of the house satisfies the guest
sits gold a the of seat king upon,a king sits upon the seat of gold,a king sits upon the seat of gold
strengthens backbone of with god power king great,god strengthens backbone of king with power great,god strengthens backbone of king with power great
king seat a sits gold the of upon,a king sits upon the seat of gold,a king sits upon the seat of gold
in finds a the youth desert a ring,a youth finds a ring in the desert,a youth finds a ring in the desert
the temple ka the spirit life finds in,the spirit ka finds life in the temple,the spirit ka finds life in the temple
backbone of is strong the father very the,the backbone of the father is very strong,the backbone of the father is very strong
on throne uses chisel a scribe the the,the scribe uses a chisel on the throne,the scribe uses a chisel on the throne
near quail ripple a the sits water chick,a quail chick sits near the water ripple,a quail chick sits near the water ripple
backbone straight scribe the of very the is,the backbone of the scribe is very straight,the backbone of the scribe is very straight
a daughter to strong birth the mother gives,the mother gives birth to a strong daughter,the mother gives birth to a strong daughter
sweet jar a of a milk carries servant,a servant carries a jar of sweet milk,a servant carries a jar of sweet milk
papyrus hare the in desert clump hides the,the desert hare hides in the papyrus clump,the desert hare hides in the papyrus clump
scribe carefully into senet inside house carries board,scribe carries senet board into house carefully inside,scribe carries senet board into house carefully inside
the the for king jars in are rack,the jars in rack are for the king,the jars in rack are for the king
at river rope boat tethering the the holds,the tethering rope holds the boat at river,the tethering rope holds the boat at river
jar clay into ripple water woman pours gently,woman pours water ripple into clay jar gently,woman pours water ripple into clay jar gently
master of the speaks the truth house the,the master of the house speaks the truth,the master of the house speaks the truth
a puts a in the jars scribe rack,a scribe puts the jars in a rack,a scribe puts the jars in a rack
field with man and strength plows hoe,man plows field with hoe and strength,man plows field with hoe and strength
a above thousand shine stars the desert great,a thousand stars shine above the great desert,a thousand stars shine above the great desert
the master the sees all of truth people,the master of all people sees the truth,the master of all people sees the truth
king throne sits the great the chair upon,the great king sits upon the throne chair,the great king sits upon the throne chair
near the the bank ripple river moves water,the water ripple moves near the river bank,the water ripple moves near the river bank
a the to loaf father gives child conical,the father gives a conical loaf to child,the father gives a conical loaf to child
rope used for flax the is the twisted,the twisted flax is used for the rope,the twisted flax is used for the rope
people the of voice the the scribe hears,the scribe hears the voice of the people,the scribe hears the voice of the people
the to reed shelter servant grain carries a,a servant carries grain to the reed shelter,a servant carries grain to the reed shelter
rib god side for of ox is a,a side rib of ox is for god,a side rib of ox is for god
the a handle basket carries a with servant,a servant carries the basket with a handle,a servant carries the basket with a handle
god side of for rib is ox a,a side rib of ox is for god,a side rib of ox is for god
star the of mountain is above the fire,the star is above the mountain of fire,the star is above the mountain of fire
animal stone on the belly the is cold,the animal belly is cold on the stone,the animal belly is cold on the stone
the the woman enters spirit of ka body,the spirit ka enters the body of woman,the spirit ka enters the body of woman
