Scattered Input,Ground Truth,Reconstructed,CosSim
underground god west lives,god lives underground west,god lives underground west,1.000000238418579
power king wears crown,king wears crown power,king wears crown power,1.0000001192092896
lotus plant offer people,people offer lotus plant,people offer lotus plant,1.0000001192092896
plows field land man,man plows land field,man plows land field,1.0
hears voice man god,god hears voice man,god hears voice man,1.0
woman sweet speaks words,woman speaks sweet words,woman speaks sweet words,1.0000001192092896
city people town dwell,people dwell city town,people dwell city town,0.9999998807907104
wooden man door opens,man opens wooden door,man opens wooden door,1.0
god soul protects ba,god protects soul ba,god protects soul ba,1.0000001192092896
king land rules every,king rules every land,king rules every land,1.0000001192092896
god deity people praise,people praise god deity,people praise god deity,1.0000001192092896
slope hill man walks,man walks hill slope,man walks hill slope,1.0
sees night woman star,woman sees star night,woman sees star night,1.0000001192092896
grants god life people,god grants life people,god grants life people,1.0
builds temple stone king,king builds stone temple,king builds stone temple,1.0
order divine people follow,people follow divine order,people follow divine order,1.0
from man river drinks,man drinks from river,man drinks from river,1.0000001192092896
hearts god dead judges,god judges dead hearts,god judges dead hearts,1.0
mat stool sits woman,woman sits stool mat,woman sits stool mat,1.0000001192092896
man honor people old,people honor old man,people honor old man,1.0
man sacred words writes,man writes sacred words,man writes sacred words,1.000000238418579
god cycle life renews,god renews life cycle,god renews life cycle,1.000000238418579
sky god lifts above,god lifts sky above,god lifts sky above,1.0000001192092896
heart speak hears man,man hears heart speak,man hears heart speak,1.0
follows town road woman,woman follows road town,woman follows road town,1.000000238418579
people commands king servant,king commands servant people,king commands servant people,1.0000001192092896
by gather riverbank people,people gather by riverbank,people gather by riverbank,0.9999998807907104
mountain shapes god stone,god shapes stone mountain,god shapes stone mountain,0.9999999403953552
fears man storm desert,man fears desert storm,man fears desert storm,1.000000238418579
carries woman lord basket,woman carries basket lord,woman carries basket lord,1.0000001192092896
ka god spirit gives,god gives ka spirit,god gives ka spirit,0.9999999403953552
build shelter reed people,people build reed shelter,people build reed shelter,0.9999999403953552
sickle man cuts plant,man cuts plant sickle,man cuts plant sickle,0.9999999403953552
gate opens god hidden,god opens hidden gate,god opens hidden gate,1.0
people king leads west,king leads people west,king leads people west,0.9999999403953552
horizon sees fire man,man sees fire horizon,man sees fire horizon,1.0000001192092896
offers altar woman bread,woman offers bread altar,woman offers bread altar,1.000000238418579
sky places god star,god places star sky,god places star sky,1.0000001192092896
people tree under rest,people rest under tree,people rest under tree,1.0
binds man rope knot,man binds rope knot,man binds rope knot,1.0000001192092896
renews soul ba god,god renews soul ba,god renews soul ba,1.0
house temple guards king,king guards house temple,king guards house temple,1.0
drink sweet people water,people drink sweet water,people drink sweet water,1.0
field man holds hoe,man holds hoe field,man holds hoe field,1.0000001192092896
commands force god life,god commands life force,god commands life force,1.0000001192092896
upon face walks woman,woman walks face upon,woman walks face upon,1.0
maat divine people honor,people honor divine maat,people honor divine maat,1.0000001192092896
owl man night sees,man sees owl night,man sees owl night,1.0000001192092896
god throne on rests,god rests on throne,god rests on throne,1.0
judges king land people,king judges land people,king judges land people,1.0000001192092896
follow every people lord,people follow lord every,lord follow every people,0.93401700258255
desert climbs man hill,man climbs desert hill,man climbs desert hill,1.0000001192092896
lotus plant woman tends,woman tends lotus plant,woman tends lotus plant,1.0
stability god grants eternal,god grants eternal stability,god grants eternal stability,0.9999999403953552
words sacred people hear,people hear sacred words,people hear sacred words,1.0
man city opens gate,man opens city gate,man opens city gate,1.0000001192092896
sky from watches god,god watches from sky,god watches from sky,1.0000001192092896
king wears sedge crown,king wears sedge crown,king wears sedge crown,1.0000001192092896
winding cross road people,people cross winding road,people cross winding road,1.0
man stone brick shapes,man shapes brick stone,man shapes stone brick,0.9938571453094482
milk pours offering woman,woman pours milk offering,woman pours milk offering,1.0000001192092896
god unites truth heart,god unites heart truth,god unites heart truth,1.000000238418579
from west emerges god underground,god emerges from underground west,god emerges from underground west,0.9999999403953552
listen listens heart man hear,man listens hear listen heart,man listens listen listens heart,0.9800841808319092
gate behind house sits woman,woman sits behind house gate,woman sits behind house gate,1.0000001192092896
people gives offering bread king,king gives bread offering people,king gives bread offering people,1.0000001192092896
town settle riverbank near people,people settle near riverbank town,people settle near riverbank town,1.0000001192092896
god stability raises pillar grandfather,god raises pillar grandfather stability,god raises pillar grandfather stability,1.0000001192092896
jar water man carries ripple,man carries jar water ripple,man carries jar water ripple,1.0000001192092896
woman upon beauty sees face,woman sees beauty face upon,woman sees face upon beauty,0.9888249635696411
sky fire sends god storm,god sends fire storm sky,god sends fire storm sky,1.0
people hill beyond desert travel,people travel beyond desert hill,people travel beyond desert hill,1.0
man wood shapes adze,man shapes wood adze,man shapes wood adze,1.000000238418579
woman life child guards,woman guards child life,woman guards child life,0.9999999403953552
strength power force god grants,god grants power strength force,god grants power strength force,1.0
road walks city king,king walks road city,king walks road city,0.9999999403953552
lake beside people rest,people rest beside lake,people rest beside lake,1.0
hears quail chick man,man hears quail chick,man hears quail chick,1.0000001192092896
writing papyrus opens woman scroll,woman opens papyrus scroll writing,woman opens papyrus scroll writing,1.0000001192092896
god ankh life breathes,god breathes life ankh,god breathes life ankh,1.0
gather before people gate temple,people gather before temple gate,people gather before temple gate,0.9999999403953552
rope cuts tethering man,man cuts rope tethering,man cuts rope tethering,1.0000001192092896
sweet milk woman pours,woman pours sweet milk,woman pours sweet milk,1.0
binds snake chaos god,god binds chaos snake,god binds chaos snake,1.0000001192092896
seated throne sits king,king sits seated throne,king sits seated throne,1.0000001192092896
people honor venerated marrow,people honor venerated marrow,people honor venerated marrow,1.0000001192092896
man watches swallow sky,man watches swallow sky,man watches swallow sky,1.0
grain tends woman pellet,woman tends grain pellet,woman tends grain pellet,1.0
through god sees eye,god sees through eye,god sees through eye,1.0
people live protection under,people live under protection,people live under protection,1.0
man stone pillar lifts,man lifts stone pillar,man lifts stone pillar,1.000000238418579
voice hears mother woman,woman hears mother voice,woman hears mother voice,1.0000001192092896
god order maat commands,god commands order maat,god commands order maat,1.0
rules king authority by,king rules by authority,king rules by authority,1.0
river bridge people cross,people cross bridge river,people cross bridge river,1.0000001192092896
plants man reed leaf,man plants reed leaf,man plants reed leaf,1.0
toward horizon woman walks,woman walks toward horizon,woman walks toward horizon,0.9999999403953552
god time renews cycle,god renews time cycle,god renews time cycle,1.0000001192092896
fear dark people underground,people fear dark underground,people fear dark underground,1.0
from man drinks vessel,man drinks from vessel,man drinks from vessel,1.0000001192092896
peace woman kneels altar,woman kneels peace altar,woman kneels peace altar,1.0
god town protects city,god protects city town,god protects city town,1.000000238418579
beyond god horizon rises eastern,god rises beyond eastern horizon,god rises beyond eastern horizon,1.0
ripple man hears water sound,man hears sound water ripple,man hears sound water ripple,1.0000001192092896
woman walks bank beside river,woman walks beside river bank,woman walks beside river bank,1.0
land king people grants,king grants land people,king grants land people,1.0
near mountain dwell people,people dwell near mountain,people dwell near mountain,1.0000001192092896
hill forms earth god,god forms earth hill,god forms earth hill,0.9999997615814209
snake horned man viper fears,man fears horned viper snake,man fears horned viper snake,1.0
woman placenta holds child,woman holds child placenta,woman holds child placenta,1.0000001192092896
god royal authority bestows,god bestows royal authority,god bestows royal authority,0.9999999403953552
people mat rest stool upon,people rest upon stool mat,people rest upon stool mat,1.0
plows tills man soil,man tills soil plows,man tills soil plows,1.0
opens house secret god,god opens secret house,god opens secret house,1.0
speaks power king words,king speaks words power,king speaks words power,1.0
sees light sky man,man sees light sky,man sees light sky,1.0000001192092896
temple offering woman brings,woman brings offering temple,woman brings offering temple,1.0000001192092896
stars heaven god fixes,god fixes stars heaven,god fixes stars heaven,1.0
settle field fertile people,people settle fertile field,people settle fertile field,1.0000001192092896
man ties twisted flax,man ties twisted flax,man ties twisted flax,1.0000001192092896
strengthens stability god backbone,god strengthens backbone stability,god strengthens backbone stability,1.0
sacred king shrine protects,king protects sacred shrine,king protects sacred shrine,1.0
jar from drink people,people drink from jar,people drink from jar,1.0
grips man forearm strength,man grips forearm strength,man grips forearm strength,1.0000001192092896
grants peace lasting god,god grants lasting peace,god grants lasting peace,0.9999998807907104
gate stands near woman,woman stands near gate,woman stands near gate,1.0
praise truth feather people,people praise feather truth,people praise feather truth,1.0000001192092896
man hears silence desert,man hears desert silence,man hears desert silence,0.9999999403953552
temple inhabits god holy,god inhabits holy temple,god inhabits holy temple,1.0
guard city commands king,king commands city guard,king commands city guard,1.0
path divine follow people,people follow divine path,people follow divine path,1.0000001192092896
walks man toward west,man walks toward west,man walks toward west,0.9999998807907104
papyrus plants woman clump,woman plants papyrus clump,woman plants papyrus clump,1.0000001192092896
god order preserves maat,god preserves order maat,god preserves order maat,1.0000001192092896
decree people listen royal,people listen royal decree,people listen royal decree,1.0
stone heavy lifts man,man lifts heavy stone,man lifts heavy stone,0.9999999403953552
woman water vessel pours,woman pours water vessel,woman pours water vessel,1.0
life renews god mortal,god renews mortal life,god renews mortal life,1.0000001192092896
plain cross people open,people cross open plain,people cross open plain,1.0000001192092896
man signs writing writes,man writes signs writing,man writes signs writing,1.0
woman god kneels before,woman kneels before god,god kneels before woman,0.8685157299041748
guards throne eternal god,god guards eternal throne,god guards eternal throne,1.0
gate opens horizon god,god opens gate horizon,god opens gate horizon,1.0
hears man voice god,man hears voice god,god hears voice man,0.8991360068321228
seated woman sits stool woman,woman sits seated woman stool,woman sits seated woman stool,1.0000001192092896
town city rules king,king rules town city,king rules city town,0.9937654137611389
live people by lake,people live by lake,people live by lake,0.9999999403953552
god gives people life,god gives life people,god gives life people,1.0
woman drinks water ripple,woman drinks water ripple,woman drinks water ripple,1.0
king holds power authority,king holds power authority,king holds power authority,1.0
people cross water river,people cross river water,people cross river water,1.0
god man sees heart,god sees heart man,god sees heart man,0.9999999403953552
hill behind man walks,man walks behind hill,man walks behind hill,0.9999999403953552
carries jar woman milk,woman carries milk jar,woman carries milk jar,1.0
strength strong god grants,god grants strength strong,god grants strength strong,1.0
people fear storm great,people fear great storm,people fear great storm,1.0
grain cuts sickle man,man cuts grain sickle,man cuts grain sickle,1.0000001192092896
lotus woman offering offers,woman offers lotus offering,woman offers lotus offering,1.0000001192092896
protects gate god house,god protects house gate,god protects house gate,1.000000238418579
follow west people road,people follow road west,people follow road west,1.0
man hears owl,man hears owl,man hears owl,1.0
woman face beautiful sees,woman sees beautiful face,woman sees beautiful face,0.9999998807907104
from emerges hill god,god emerges from hill,god emerges from hill,1.000000238418579
king servant commands,king commands servant,king commands servant,1.0000001192092896
people temple gather,people gather temple,people gather temple,0.9999999403953552
papyrus clump man plants,man plants papyrus clump,man plants papyrus clump,1.0
gives peace god satisfied,god gives peace satisfied,god gives peace satisfied,1.0
becomes life scarab renewal cycle,scarab becomes life cycle renewal,scarab becomes life cycle renewal,1.0
soul west travels underground ba,soul ba travels west underground,soul ba travels west underground,1.0
dwells within man spirit ka,ka spirit dwells within man,ka spirit dwells within man,1.0000001192092896
feather heart weighs maat truth,feather maat weighs heart truth,heart weighs feather maat,0.9460209012031555
seated rules god throne eternal,seated god rules eternal throne,seated god rules eternal throne,0.9999999403953552
man wise words old speaks,old man speaks wise words,old man speaks wise words,0.9999999403953552
authority youth father follows,youth follows father authority,father follows youth authority,0.9576075077056885
feeds jar milk mother child,mother feeds child milk jar,mother feeds child milk jar,1.0000001192092896
authority words power mouth speaks,mouth speaks words power authority,mouth speaks words power authority,0.9999999403953552
eye sees face horizon upon,eye sees face upon horizon,eye sees face upon horizon,0.9999999403953552
holds power hand ring,hand holds ring power,hand holds ring power,1.0000001192092896
foot steps riverbank across,foot steps across riverbank,foot steps across riverbank,0.9999999403953552
cries night during owl silent,owl cries during silent night,owl cries during silent night,1.0000001192092896
hill snake desert coils near,snake coils near desert hill,snake coils near desert hill,1.0
mountain star above shines peak,star shines above mountain peak,star shines above mountain peak,0.9999999403953552
power force storm breaks sky,storm breaks sky power force,storm breaks sky power force,1.0000001192092896
fire peace altar offering consumes,fire consumes offering altar peace,fire consumes offering altar peace,1.0000001192092896
stability grants djed pillar lasting,pillar djed grants lasting stability,pillar grants lasting stability djed,0.9484893083572388
lotus plant water rises from,lotus plant rises from water,lotus plant rises from water,1.0
scroll writing holds papyrus sacred,papyrus scroll holds sacred writing,papyrus scroll holds sacred writing,1.0
reed shelter field stands near,reed shelter stands near field,reed shelter stands near field,1.0
carries water ripple life vessel,vessel carries water ripple life,vessel carries water ripple life,1.0000001192092896
town opens city gate toward,gate opens toward city town,gate opens toward city town,0.9999998211860657
west road leads horizon,road leads west horizon,road leads west horizon,1.0
mountain guards sacred temple,mountain guards sacred temple,mountain guards sacred temple,1.0
sky star reflects lake,lake reflects star sky,lake reflects star sky,1.0000001192092896
food jar stores grain pellet,jar stores grain pellet food,jar stores grain pellet food,1.0
sickle field grain ripe cuts,sickle cuts ripe field grain,sickle cuts grain field ripe,0.9906808137893677
till plows field repeatedly earth,plows till earth repeatedly field,plows till earth repeatedly field,1.0
power symbolizes throne seat royal,seat throne symbolizes royal power,seat throne symbolizes royal power,1.0
people life god great gives,great god gives life people,great god gives life people,1.0000001192092896
listen man hear heart god,man hear listen heart god,man hear listen heart god,1.0000001192092896
woman town city road walks,woman walks road city town,woman walks road city town,1.0000001192092896
offering gives god king temple,king gives offering temple god,king gives offering temple god,1.0000001192092896
people near river live bank,people live near river bank,people live near river bank,0.9999999403953552
opens house west god gate,god opens house gate west,god opens house gate west,1.0
bread man of loaf eats,man eats loaf of bread,man eats loaf of bread,1.000000238418579
drinks water woman ripple jar,woman drinks water ripple jar,woman drinks water ripple jar,1.0
holds power force strength king,king holds power strength force,king holds power strength force,1.0000001192092896
people cross hill road desert,people cross road desert hill,people cross road desert hill,1.0
heart god sees man of,god sees heart of man,god sees heart of man,1.0000001192092896
behind man gate walks house,man walks behind house gate,man walks behind house gate,1.0
basket with woman carries handle,woman carries basket with handle,woman carries basket with handle,1.0000001192092896
god grants satisfied peace content,god grants peace content satisfied,god grants peace content satisfied,1.0000001192092896
life honor mother father people,people honor father mother life,people honor father mother life,1.0000001192092896
tills plows man fertile field,man plows tills fertile field,man tills fertile field,0.9124354124069214
woman milk pours jar offering,woman pours milk jar offering,woman pours milk jar offering,1.0000001192092896
god city protects town people,god protects city town people,god protects city town people,1.0000001192092896
king throne seat power sits,king sits seat throne power,king sits seat throne power,1.000000238418579
sees town great city king,great king sees city town,great king sees city town,1.0000001192092896
loves beautiful mother man old,beautiful mother loves old man,beautiful mother loves old man,1.0
makes father house strong brick,strong father makes brick house,strong father makes brick house,1.0000001192092896
gives god heart life good,good god gives life heart,good god gives life heart,1.0000001192092896
becomes sky star power mighty,mighty power becomes star sky,mighty power becomes star sky,1.0000001192092896
scroll makes scribe papyrus great,great scribe makes papyrus scroll,great scribe makes papyrus scroll,1.0000001192092896
man strong plows great field,strong man plows great field,strong man plows great field,1.0000001192092896
every peace heart sweet loves,every heart loves sweet peace,every heart loves sweet peace,1.0000001192092896
servant lord hears good speak,good servant hears lord speak,good servant hears lord speak,1.0
hill mountain great behind river,great river behind mountain hill,great river behind mountain hill,1.0
woman plant loves beautiful lotus,beautiful woman loves lotus plant,beautiful woman loves lotus plant,1.0000001192092896
strong gate makes king great,strong king makes great gate,strong king makes great gate,1.0000001192092896
sees great town god every,every town sees great god,every town sees great god,1.0000001192092896
good bread father loaf makes,good father makes bread loaf,good father makes bread loaf,1.0
mighty great becomes strength power,mighty power becomes great strength,mighty power becomes great strength,1.0
birth gives great god youth,great god gives birth youth,great god gives birth youth,1.0000001192092896
father soul hears heart strong,strong father hears heart soul,strong father hears heart soul,1.0000001192092896
eats jar every man bread,every man eats bread jar,every man eats bread jar,0.9999999403953552
heart good scribe truth hears,good scribe hears truth heart,good scribe hears heart truth,0.9908697605133057
king mighty snake sees cobra,mighty king sees cobra snake,mighty king sees cobra snake,1.0000001192092896
man becomes youth old beautiful,beautiful youth becomes old man,young man becomes beautiful old man,0.8465750813484192
great ripple riverbank upon water,great riverbank upon water ripple,great riverbank upon water ripple,1.0000001192092896
makes strong house brick forearm,strong forearm makes brick house,strong forearm makes brick house,1.0
every peace loves great soul,every soul loves great peace,every soul loves great peace,1.0
good mother life gives youth,good mother gives life youth,good mother gives life youth,1.0000001192092896
sees face god man seated,seated god sees man face,seated god sees man face,1.0
desert horizon above great hill,great horizon above desert hill,great horizon above desert hill,1.0
strong stone brick power becomes,strong power becomes stone brick,strong power becomes stone brick,1.0
every great love king people,every people love great king,every people love great king,1.0
life beautiful makes good heart,good heart makes beautiful life,good heart makes beautiful life,1.000000238418579
woman plant sweet life seated lotus sees,seated woman sees lotus plant sweet life,seated woman sees lotus plant sweet life,1.0
mountain snake desert hill emerge cobra,cobra snake emerge desert hill mountain,cobra snake emerge desert hill,0.9758166670799255
old heart soul man (truth/maat) speak drink / feather (ba) / eat,old man eat / drink / speak heart feather (truth/maat) soul (ba),old man eat / drink / speak heart feather (truth/maat) soul (ba),1.0000001192092896
satisfy / seated / king (give) throne peace stone god loaf conical,seated god / king conical loaf (give) stone throne peace / satisfy,seated god / king conical loaf (give) stone throne peace / satisfy,1.0
town house / plant lotus behind / chick city back quail,quail chick behind / back lotus plant house city / town,quail chick behind / back lotus plant city / town,0.9827167987823486
/ he god king mighty / become great deity cobra /,great / mighty cobra become god / deity he / king,cobra become great / mighty god / deity he / king,0.9783718585968018
to scribe / scroll book / writing make do papyrus youth,writing / scribe to do / make papyrus scroll book youth,writing / scribe to do / make papyrus scroll book youth,0.9999999403953552
(ankh) basket face / animal upon life / belly all) god (lord,basket (lord / all) face / upon animal belly life (ankh) god,basket (lord / all) face / upon animal belly life (ankh) god,1.0000001192092896
upon sky star beautiful good face / horizon / sees,beautiful / good face / upon sees horizon sky star,beautiful / good face / upon sees horizon sky star,1.0000001192092896
city brick strong cut hand / town stone,strong hand cut stone brick city / town,strong hand cut stone brick city / town,1.0000001192092896
(truth/maat) / every feather god / / hear eat lord man speak drink,lord / every god hear man eat / drink / speak feather (truth/maat),lord / every god hear man speak / speak feather (truth/maat) god,0.9239524006843567
emerge (ankh) water life ripple field river,life (ankh) emerge water ripple river field,life (ankh) emerge water ripple river field,1.0000001192092896
altar / peace upon milk / sweet temple jar face,sweet milk jar face / upon peace / altar temple,sweet milk jar face / upon peace / altar temple,1.0000001192092896
gate cobra city town / / back behind great / mighty,great / mighty cobra behind / back gate city / town,great / mighty cobra behind / back gate city / town,1.0000001192092896
great youth big / sees / star sky good beautiful,beautiful / good youth sees great / big star sky,beautiful / good youth sees great / big star sky,1.000000238418579
bread heart loaf youth (give) of conical father loaf,father conical loaf (give) loaf of bread youth heart,father conical loaf (give) loaf of bread youth heart,1.0000001192092896
hear soul / listen mother good beautiful / (ba) heart,mother hear / listen beautiful / good heart soul (ba),mother hear / listen beautiful / good heart soul (ba),1.0
pillar become backbone / (djed) mighty great / grandfather strong stability,strong backbone become great / mighty pillar / grandfather stability (djed),strong backbone become great / mighty pillar / grandfather stability (djed),1.0000001192092896
every plant field become lord riverbank great big / /,lord / every riverbank become great / big field plant,lord / every riverbank become great / big field plant,1.0000001192092896
seated / fire storm make big king do great / to / god,seated god / king to do / make great / big storm fire,seated god / king to do / make great / big storm fire,1.0000001192092896
writing scribe / listen life feather (truth/maat) hear heart (ankh) /,writing / scribe hear / listen feather (truth/maat) heart life (ankh),writing / scribe hear / listen feather (truth/maat) heart life (ankh),1.0
mighty / he loaf great king conical (give) / servant power,he / king conical loaf (give) power great / mighty servant,he / king conical loaf (give) power great / mighty servant,0.9999999403953552
good slope above star mountain hill beautiful /,beautiful / good star above mountain hill slope,beautiful / good star above mountain hill slope,1.0
brick to make town / / stone house man city do,man to do / make house brick stone city / town,man to do / make brick house city / town stone,0.9915077686309814
/ eye great / big horizon every fire sees lord,lord / every eye sees great / big fire horizon,lord / every eye sees great / big fire horizon,1.0000001192092896
of loaf vessel jar / / youth bread speak eat drink,youth eat / drink / speak loaf of bread jar vessel,youth eat / drink / speak loaf of bread jar vessel,1.0
all people (lord) (truth/maat) / hear listen / master (every) feather heart,master (lord) / all (every) hear / listen people heart feather (truth/maat),master (lord) / all (every) hear / listen heart feather (truth/maat),0.9894823431968689
back soul sky (ba) beautiful emerge / / behind horizon good,beautiful / good soul (ba) emerge behind / back sky horizon,beautiful / good soul (ba) emerge behind / back sky horizon,1.0000001192092896
/ become stone great throne / seat mighty beautiful good throne /,great / mighty stone become beautiful / good throne seat / throne,beautiful / mighty stone become great / mighty throne seat / throne,0.9758998155593872
/ city road / big great town club strong cut,strong club cut great / big road city / town,strong club cut great / big road city / town,0.9999999403953552
good beautiful / every lord youth mother father love /,lord / every father love beautiful / good youth mother,every father love beautiful / good youth mother,0.9239142537117004
do good peace / god / beautiful satisfy life make (ankh) / sweet to,beautiful / good god to do / make life (ankh) sweet peace / satisfy,beautiful / good god to do / make life (ankh) sweet peace / satisfy,1.0000001192092896
life beautiful gives good mother / youth (ankh) birth / begets,mother gives birth / begets beautiful / good youth life (ankh),mother gives birth / begets beautiful / good youth life (ankh),0.9999998807907104
writing papyrus hand scroll book sees / scribe,writing / scribe sees book papyrus scroll hand,writing / scribe sees book papyrus scroll hand,1.0000001192092896
behind mighty mountain / hill desert storm great back /,great / mighty storm behind / back desert hill mountain,great / mighty storm behind / back desert hill mountain,1.0
/ town / peace king he to / do every lord / make satisfy,he / king to do / make peace / satisfy lord / every town,he / king to do / make peace / satisfy lord / every town,1.0
great youth (lord) master / / speak eat all / drink listen hear / big / (every),youth hear / listen great / big master (lord) / all (every) eat / drink / speak,youth hear / listen great / big master (lord) / all (every),0.9210747480392456
riverbank face great city / big upon house / town road /,great / big house face / upon riverbank road city / town,great / big house face / upon riverbank road city / town,1.0000001192092896
big grain field / strong man / pellet (tills) great plows,strong man plows (tills) great / big field grain / pellet,strong man plows (tills) great / big field grain / pellet,1.0000001192092896
beautiful / lotus good sweet plant become (ankh) life,beautiful / good lotus plant become sweet life (ankh),lotus plant become beautiful / good life (ankh),0.9503973722457886
star venerated god sees sky / father / deity marrow,venerated / marrow father sees god / deity star sky,venerated / marrow father sees god / deity star sky,1.0000001192092896
back papyrus behind great river lake big / clump /,great / big lake behind / back papyrus clump river,great / big lake behind / back papyrus clump river,1.0000001192092896
desert viper slope hill horned emerge gate,horned viper emerge desert hill slope gate,horned viper emerge desert hill slope gate,1.0000001192092896
/ mighty great fear snake / god king cobra deity he /,cobra snake fear great / mighty god / deity he / king,cobra snake fear great / mighty god / deity,0.97667396068573
woman listen sweet soul heart / seated hear (ba),seated woman hear / listen sweet heart soul (ba),seated woman hear / listen sweet heart soul (ba),1.0
house brick / forearm great / make do strong to big,strong forearm to do / make great / big brick house,forearm strong to do / make brick house,0.9570273160934448
lord servant / big every he / lord great king / love,lord / every servant love great / big he / king lord,lord / every servant love great / big he / king lord,1.0
emerge life face (ankh) / horizon upon sky / great mighty,life (ankh) emerge face / upon great / mighty horizon sky,great / mighty face / upon emerge face / upon life (ankh) sky,0.9038992524147034
great beautiful slope / peace above / / altar good hill big,beautiful / good peace / altar above great / big hill slope,beautiful / good peace / altar above great / big hill slope,1.0
hand beautiful writing scroll to papyrus good / scribe / make / do,writing / scribe to do / make beautiful / good papyrus scroll hand,writing / scribe to do / make beautiful / good papyrus scroll hand,1.0000001192092896
do adze / stone make chisel to,adze chisel to do / make stone,adze chisel to do / make stone,1.0000001192092896
