Input,Target,Prediction
hand forearm to do / strong make,forearm strong hand to do / make,forearm strong hand to do / make
slope plows hoe road (repeated) hill mountain desert,hoe plows (repeated) road mountain desert hill slope,hoe plows (repeated) road mountain desert hill slope
/ servant house brick do make to,servant to do / make brick house,servant to do / make brick house
woman behind house walks,woman walks behind house,woman walks behind house
old man people honor,people honor old man,people honor old man
man holds hoe field,man holds hoe field,man holds hoe field
owl night sees man,man sees owl night,man sees owl night
handle with rack basket vessel jars jar milk in,basket with handle jars in rack milk jar vessel,basket with handle jars in rack milk jar vessel
gives spirit god ka,god gives ka spirit,god gives ka spirit
field strong pellet ox of hoe / head grain,head of ox grain / pellet field hoe strong,head of ox grain / pellet field hoe strong
gate house man enters,man enters house gate,man enters house gate
people dwell town city,people dwell city town,people dwell city town
beautiful / lotus heart love peace sweet good / plant satisfy,heart love beautiful / good lotus plant sweet peace / satisfy,heart love beautiful / good lotus plant sweet peace / satisfy
king bread people gives offering,king gives bread offering people,king gives bread offering people
eat drink / / loaf speak mouth bread,mouth eat / drink / speak bread loaf,mouth eat / drink / speak bread loaf
god mountain shapes stone,god shapes stone mountain,god shapes stone mountain
god eye upon / deity face sees /,eye sees face / upon god / deity,eye sees face / upon god / deity
sits king throne power,king sits throne power,king sits throne power
with carries handle woman basket,woman carries basket with handle,woman carries basket with handle
bank people near river live,people live near river bank,people live near river bank
west god gate opens house,god opens house gate west,god opens house gate west
build shelter reed people,people build reed shelter,people build reed shelter
birth begets / life youth mother gives,mother gives birth / begets youth life,mother gives birth / begets youth life
birth beautiful good / gives placenta begets belly youth / animal,animal belly placenta gives birth / begets beautiful / good youth,animal belly placenta gives birth / begets beautiful / good youth
conical offering (give) life deity / peace altar / loaf (ankh) god,conical loaf (give) offering peace / altar god / deity life (ankh),conical loaf (give) offering peace / altar life (ankh) god
animal / belly birth gives life begets placenta,animal belly placenta gives birth / begets life,animal belly placenta gives birth / begets life
soul deity (spirit) heart (ba) god / ka (ankh) life,ka (spirit) soul (ba) heart life (ankh) god / deity,ka (spirit) soul (ba) heart life (ankh) god / deity
star horizon (great) sky swallow emerge above,swallow (great) emerge horizon sky star above,swallow (great) emerge horizon sky star above
feeds jar milk child mother,mother feeds child milk jar,mother feeds child milk jar
sees god great town every,every town sees great god,every town sees great god
birth / gives authority town begets force / strength,authority strength / force gives birth / begets town,authority strength / force gives birth / begets town
stone brick city chisel house adze,adze chisel stone brick house city,adze chisel stone brick house city
travel hill people desert beyond,people travel beyond desert hill,people travel beyond desert hill
gives beautiful / good mother father begets / youth birth,mother father gives birth / begets beautiful / good youth,mother father gives birth / begets beautiful / good youth
(ankh) sickle (tills) plows life field,sickle plows (tills) field life (ankh),sickle plows (tills) field
lotus woman offering offers,woman offers lotus offering,woman offers lotus offering
woman life child guards,woman guards child life,woman guards child life
house makes brick father strong,strong father makes brick house,strong father makes brick house
basket tethering handle of with rope rope vessel coil,tethering rope coil of rope basket with handle vessel,tethering rope coil of rope basket with handle vessel
power king wears crown,king wears crown power,king wears crown power
gate return behind retreat back to / / road town,to return / retreat behind / back gate town road,to return / retreat behind / back gate town road
seat sits king power throne,king sits seat throne power,king sits seat throne power
from god emerges hill,god emerges from hill,god emerges from hill
woman walks house behind,woman walks behind house,woman walks behind house
man pillar stone lifts,man lifts stone pillar,man lifts stone pillar
conical eats loaf man,man eats conical loaf,man eats conical loaf
great behind river mountain hill,great river behind mountain hill,great river behind mountain hill
horizon mountain above sky star,horizon star sky above mountain,horizon star sky above mountain
man eats every bread jar,every man eats bread jar,every man eats bread jar
lord plant field riverbank / become every great / big,lord / every riverbank become great / big field plant,lord / every riverbank become great / big field plant
beautiful big / / peace slope good / hill above great altar,beautiful / good peace / altar above great / big hill slope,beautiful / good peace / altar above great / big hill slope
/ marrow venerated old / heart man peace satisfy,old man venerated / marrow heart peace / satisfy,old man venerated / marrow heart peace / satisfy
king seat sits throne power,king sits seat throne power,king sits seat throne power
sits house gate behind woman,woman sits behind house gate,woman sits behind house gate
/ great slope fire sky hill mountain storm mighty,great / mighty storm fire sky mountain hill slope,great / mighty storm fire sky mountain hill slope
heart peace every sweet loves,every heart loves sweet peace,every heart loves sweet peace
plants man reed leaf,man plants reed leaf,man plants reed leaf
places sky god star,god places star sky,god places star sky
stone brick town / city cut adze chisel,adze chisel cut stone brick city / town,adze chick cut stone brick city / town
cross people bridge river,people cross bridge river,people cross bridge river
people cross hill road desert,people cross road desert hill,people cross road desert hill
tills plows man fertile field,man plows tills fertile field,man plows tills fertile field
dwell town city people,people dwell city town,people dwell city town
in stone ring jars vessel rack great,ring stone vessel jars in rack great,ring stone vessel jars in rack great
papyrus writes man scroll,man writes papyrus scroll,man writes papyrus scroll
head bird of owl sees bird,owl head of bird sees bird,owl head of bird sees bird
rest beside people lake,people rest beside lake,people rest beside lake
wood shapes adze man,man shapes wood adze,man shapes wood adze
king stone temple builds,king builds stone temple,king builds stone temple
woman town road follows,woman follows road town,woman follows road town
adze city chisel house brick stone,adze chisel stone brick house city,adze chisel stone brick house city
temple offering woman brings,woman brings offering temple,woman brings offering temple
/ / drink / speak big eat youth hear listen master (lord) great all / / (every),youth hear / listen great / big master (lord) / all (every) eat / drink / speak,youth hear / listen great / big master (lord) / all (every) eat / drink / speak
sky horizon god opens,god opens horizon sky,god opens horizon sky
heart peace life soul / (ankh) (satisfied) (ba) content god,heart peace / content (satisfied) soul (ba) life (ankh) god,heart peace / content (satisfied) soul (ba) life (ankh) god
stone heavy lifts man,man lifts heavy stone,man lifts heavy stone
path follow people divine,people follow divine path,people follow divine path
star (great) sky emerge swallow horizon above,swallow (great) emerge horizon sky star above,swallow (great) emerge horizon sky star above
builds temple king stone,king builds stone temple,king builds stone temple
clump papyrus lake shelter swallow (great) reed sky,reed shelter lake papyrus clump swallow (great) sky,reed shelter lake papyrus clump swallow (great) sky
heart venerated soul marrow / (ba) father hear,venerated / marrow father hear heart soul (ba),venerated / marrow father hear heart soul (ba)
behind great / / / cobra back mighty city gate town,great / mighty cobra behind / back gate city / town,great / mighty cobra behind / back gate city / town
king every lord great / / love he big lord servant /,lord / every servant love great / big he / king lord,lord / every servant love great / big he / king lord
riverbank across steps foot,foot steps across riverbank,foot steps across riverbank
water ripple vessel life carries,vessel carries water ripple life,vessel carries water ripple life
power all master (every) / authority (lord) servant,authority power master (lord) / all (every) servant,authority power master (lord) / all (every) servant
hoe road (repeated) hill desert slope mountain plows,hoe plows (repeated) road mountain desert hill slope,hoe plows (repeated) road mountain desert hill slope
jars stone in vessel stone rack ring,ring stone vessel jars in rack stone,ring stone vessel jars in rack stone
life great god people gives,great god gives life people,great god gives life people
words man writes sacred,man writes sacred words,man writes sacred words
star sky sees sky horizon eye,eye sees star sky horizon sky,eye sees star sky horizon sky
quail head of bird chick horizon,quail chick head of bird horizon,quail chick head of bird horizon
skins (lord) folded three cloth thing master all (every) fox /,three fox skins folded cloth thing master (lord) / all (every),three fox skins folded cloth thing great / mighty
woman sees / owl good head bird seated of beautiful,owl head of bird sees seated woman beautiful / good,owl head of bird sees seated woman beautiful / good
man city opens gate,man opens city gate,man opens city gate
single stroke thing great (plural stroke big marker) /,single stroke stroke (plural marker) thing great / big,single stroke stroke (plural marker) thing great / big
love plant lotus seated peace woman,seated woman love lotus plant peace,seated woman love lotus plant peace
great sees king city town,great king sees city town,great king sees city town
/ adze stone house brick city town,adze stone brick house city / town,adze stone brick house city / town
jar jar vessel peace / offering milk altar,jar vessel milk jar offering peace / altar,jar vessel milk jar offering peace / altar
people near lake live,people live near lake,people live near lake
king power / sedge authority strength force / he (king),sedge (king) authority he / king power strength / force,he / king sedge (king) authority power strength / force
great grandfather pillar / stability town / (djed) house city,stability (djed) pillar / grandfather house city / town great,stability (djed) pillar / grandfather house city / town great
stone power becomes strong brick,strong power becomes stone brick,strong power becomes stone brick
life youth man become old marrow / (ankh) venerated,youth become old man venerated / marrow life (ankh),youth become old man life (ankh) venerated / marrow
settle field fertile people,people settle fertile field,people settle fertile field
peace good / hill / great slope above big beautiful altar /,beautiful / good peace / altar above great / big hill slope,beautiful / good peace / altar above great / big hill slope
chisel stone holds man,man holds chisel stone,man holds chisel stone
water snake desert hill emerge ripple lake underground,underground lake water ripple snake emerge desert hill,underground lake water ripple snake emerge desert hill
snake underground emerge lake ripple water,underground lake water ripple snake emerge,underground lake water ripple snake emerge
(truth/maat) / every feather god / / hear eat lord man speak drink,lord / every god hear man eat / drink / speak feather (truth/maat),lord / every god hear man eat / drink / speak feather (truth/maat)
horizon above desert hill great,great horizon above desert hill,great horizon above desert hill
stroke stroke single city people (plural town / thing marker),single stroke stroke (plural marker) thing people city / town,single stroke stroke (plural marker) thing people city / town
youth birth / father life gives mother begets,father mother gives birth / begets youth life,father mother gives birth / begets youth life
great rules sky god,great god rules sky,great god rules sky
eye sees / face god deity upon /,eye sees face / upon god / deity,eye sees face / upon god / deity
foot road riverbank town gate city / town,foot road town city / town gate riverbank,foot road town city / town gate riverbank
star above of quail bird head sky chick horizon,quail chick head of bird horizon sky star above,quail chick head of bird horizon sky star above
west travels ba soul underground,soul ba travels west underground,soul ba travels west underground
toward gate city opens town,gate opens toward city town,gate opens toward city town
life beautiful gives good mother / youth (ankh) birth / begets,mother gives birth / begets beautiful / good youth life (ankh),mother gives birth / begets beautiful / good youth life (ankh)
emerges god from hill,god emerges from hill,god emerges from hill
heavy man stone lifts,man lifts heavy stone,man lifts heavy stone
desert climbs man hill,man climbs desert hill,man climbs desert hill
sees every town god great,every town sees great god,every town sees great god
ties twisted flax man,man ties twisted flax,man ties twisted flax
(lord) / authority master (every) force / strength all,authority strength / force master (lord) / all (every),authority strength / force master (lord) / all (every)
man eats conical loaf,man eats conical loaf,man eats conical loaf
lake big river papyrus clump / back / great behind,great / big lake behind / back papyrus clump river,great / big lake behind / back papyrus clump river
heart sees bird man head owl of seated,owl head of bird sees seated man heart,owl head of bird sees seated man heart
gate god house protects,god protects house gate,god protects house gate
fox folded skins / all cloth (every) master three thing (lord),three fox skins folded cloth thing master (lord) / all (every),three fox skins folded cloth thing great / mighty
scribe / hand scribe papyrus scroll writing,scribe writing / scribe papyrus scroll hand,scribe writing / scribe papyrus scroll hand
stone pillar lifts man,man lifts stone pillar,man lifts stone pillar
woman milk jar drinks,woman drinks milk jar,woman drinks milk jar
offering god king gives,king gives offering god,king gives bread offering god
city / town plows (repeated) road hoe,hoe plows (repeated) road city / town,hoe plows (repeated) road city / town
cobra snake sees man,man sees cobra snake,man sees cobra snake
animal / placenta birth begets gives belly,placenta animal belly gives birth / begets,animal belly placenta gives birth / begets
eats conical loaf man,man eats conical loaf,man eats conical loaf
heart judges truth god,god judges heart truth,god judges heart truth
water drinks ripple man,man drinks water ripple,man drinks water ripple
three / beautiful cloth skins fox thing folded good,three fox skins folded cloth thing beautiful / good,three fox skins folded cloth thing beautiful / good
great / man (tills) / pellet strong grain plows field big,strong man plows (tills) great / big field grain / pellet,strong man plows (tills) great / big field grain / pellet
man heart sees god,god sees heart man,god sees heart man
sits stool woman woman seated,woman sits seated woman stool,woman sits seated woman stool
/ scribe scroll book papyrus writing sees hand,writing / scribe sees book papyrus scroll hand,writing / scribe sees book papyrus scroll hand
sky star west mountain above hill horizon,west mountain horizon sky star above hill,west mountain horizon sky star above hill
hand rope / tethering rope make to do of coil,tethering rope coil of rope hand to do / make,tethering rope coil of rope hand to do / make
great mighty storm sky mountain / fire,storm fire sky great / mighty mountain,storm fire sky great / mighty mountain
god horizon eastern rises beyond,god rises beyond eastern horizon,god rises beyond eastern horizon
side power force / strength backbone / rib,side / rib backbone strength / force power,side / rib backbone strength / force power
river man drinks from,man drinks from river,man drinks from river
father loaf bread good makes,good father makes bread loaf,good father makes bread loaf
food jar stores grain pellet,jar stores grain pellet food,jar stores grain pellet food
marrow venerated people honor,people honor venerated marrow,people honor venerated marrow
sky fire great fear mighty / storm,storm fire sky great / mighty fear,storm fire sky great / mighty fear
woman milk carries jar,woman carries milk jar,woman carries milk jar
strong brick stone hand / make to do forearm,forearm strong hand to do / make stone brick,forearm strong hand to do / make stone brick
peace sky / mountain horizon satisfy west,west mountain horizon sky peace / satisfy,west mountain horizon sky peace / satisfy
king force power holds strength,king holds power strength force,king holds power strength force
head sky horizon star bird chick of quail,quail chick head of bird sky star horizon,quail chick head of bird sky star horizon
writing papyrus hand scroll book sees / scribe,writing / scribe sees book papyrus scroll hand,writing / scribe sees book papyrus scroll hand
/ placenta birth begets animal belly gives,placenta animal belly gives birth / begets,placenta animal belly gives birth / begets
reed shelter build people,people build reed shelter,people build reed shelter
basket man carries handle,man carries basket handle,man carries basket handle
sits power king throne,king sits throne power,king sits throne power
by authority king rules,king rules by authority,king rules by authority
pellet food jar grain stores,jar stores grain pellet food,jar stores grain pellet food
feeds jar milk mother child,mother feeds child milk jar,mother feeds child milk jar
town adze chisel / cut city stone brick,adze chisel cut stone brick city / town,adze chick cut stone brick city / town
opens gate god hidden,god opens hidden gate,god opens hidden gate
upon people stool rest mat,people rest upon stool mat,people rest upon stool mat
hill mountain great river behind,great river behind mountain hill,great river behind mountain hill
stroke scroll book papyrus / hand single scribe writing,papyrus scroll book writing / scribe hand single stroke,papyrus scroll book writing / scribe hand single stroke
above hill sky mountain desert horizon slope,sky above mountain desert hill slope horizon,sky above mountain desert hill slope horizon
authority by king rules,king rules by authority,king rules by authority
strength power force god grants,god grants power strength force,god grants power strength force
stool mat life (ankh) woman seated board / senet,senet board stool / mat seated woman life (ankh),senet board stool / mat seated woman life (ankh)
people town dwell city,people dwell city town,people dwell city town
stroke / marker) stroke city people thing town single (plural,single stroke stroke (plural marker) thing people city / town,single stroke stroke (plural marker) thing people city / town
do hand thing to / make mighty great / good beautiful /,hand to do / make thing beautiful / good great / mighty,hand to do / make thing beautiful / good great / mighty
stability god grants eternal,god grants eternal stability,god grants eternal stability
horizon above sky mountain above west star,west mountain horizon sky star above above,west mountain horizon sky star above above
people gives offering bread king,king gives bread offering people,king gives bread offering people
emerge life (ankh) / beautiful sky good (great) swallow horizon,swallow (great) emerge horizon sky beautiful / good life (ankh),swallow (great) emerge horizon sky beautiful / good life (ankh)
hear words sacred people,people hear sacred words,people hear sacred words
plant good life beautiful lotus / sweet,lotus plant sweet beautiful / good life,lotus plant sweet beautiful / good life
/ of peace conical (satisfied) loaf loaf bread (give) content heart,conical loaf (give) loaf of bread heart peace / content (satisfied),conical loaf (give) loaf of bread heart peace / content (satisfied)
god throne seated eternal rules,seated god rules eternal throne,seated god rules eternal throne
/ servant king (lord) / all hear (every) authority master listen / he,master (lord) / all (every) servant hear / listen authority he / king,master (lord) / all (every) servant hear / listen authority he / king
papyrus lake clump shelter river reed,reed shelter lake papyrus clump river,reed shelter papyrus clump lake river
pellet hoe / (tills) field field plows grain,grain / pellet field hoe plows (tills) field,field grain / pellet hoe plows (tills) field
temple mountain sacred guards,mountain guards sacred temple,mountain guards sacred temple
basket with woman carries handle,woman carries basket with handle,woman carries basket with handle
people (every) heart (truth/maat) feather listen master hear all / (lord) /,master (lord) / all (every) hear / listen people heart feather (truth/maat),master (lord) / all (every) hear / listen people heart feather (truth/maat)
father soul hears heart strong,strong father hears heart soul,strong father hears heart soul
fears man bite snake,man fears snake bite,man fears snake bite
light horizon sees man,man sees horizon light,man sees horizon light
jar carries milk woman,woman carries milk jar,woman carries milk jar
gives god life heart good,good god gives life heart,good god gives life heart
/ exists town opens found) (or is road,opens / exists (or is found) road town,opens / exists (or is found) road town
beautiful (ankh) life / / mother father venerated youth good marrow,venerated / marrow father mother youth life (ankh) beautiful / good,venerated / marrow father mother youth life (ankh) beautiful / good
slope mountain sky fire hill storm,storm fire sky mountain hill slope,storm fire sky mountain hill slope
