Input,Target,Prediction
upon face house,house face upon,house face upon
above lake river,river above lake,river above lake
guards horned viper,horned viper guards,horned viper guards
fills people life,life fills people,life fills people
reed woman sees shelter,woman sees reed shelter,woman sees reed shelter
heart satisfy / peace,peace / satisfy heart,heart peace / satisfy
heart loves god,god loves heart,god loves heart
supports backbone strength,strength supports backbone,strength supports backbone
offering bread sweet,sweet bread offering,sweet bread offering
lotus man eats plant,man eats lotus plant,man eats lotus plant
near lake river,lake near river,lake near river
fears horned servant viper,servant fears horned viper,servant fears horned viper
calms heart peace,peace calms heart,peace calms heart
house gate behind,house behind gate,house behind gate
sees man hill desert,man sees desert hill,man sees desert hill
star sees eye,eye sees star,eye sees star
fire strength force power /,fire power strength / force,fire power strength / force
pillar djed stability,djed pillar stability,djed pillar stability
mother loves youth,mother loves youth,mother loves youth
vessel rope binds,rope binds vessel,rope binds vessel
power force strength,power strength force,power strength force
grain sees mother pellet /,mother sees grain / pellet,mother sees grain / pellet
gives ring king,king gives ring,king gives ring
soul (ba) god loves,god loves soul (ba),god loves soul (ba)
house road behind,road behind house,road behind house
servant fire makes,servant makes fire,servant makes fire
horizon sees youth,youth sees horizon,youth sees horizon
behind mountain city,city behind mountain,city behind mountain
youth man become,youth become man,youth become man
drink man eats,man eats drink,man eats drink
woman eye sees,woman sees eye,woman sees eye
cross place marks,cross marks place,cross marks place
heart peace fills,peace fills heart,peace fills heart
mother horizon sees,mother sees horizon,mother sees horizon
field servant plows,servant plows field,servant plows field
sees bolt door youth,youth sees door bolt,youth sees door bolt
hears owl man,man hears owl,man hears owl
power authority thing,thing power authority,thing power authority
house people holds,house holds people,house holds people
gate house opens,gate opens house,gate opens house
adze man sees,man sees adze,man sees adze
sickle servant sees,servant sees sickle,servant sees sickle
god horizon above,god above horizon,god above horizon
temple snake guards,snake guards temple,snake guards temple
riverbank field near,riverbank near field,riverbank near field
cuts grain sickle,sickle cuts grain,sickle cuts grain
god upon face,god face upon,god face upon
bread man eats,man eats bread,man eats bread
head sees of bird man,man sees head of bird,man sees head of bird
stone builds wall,stone builds wall,stone builds wall
cosmos god rules,god rules cosmos,god rules cosmos
king cobra sees,king sees cobra,king sees cobra
makes rope of father coil,father makes coil of rope,father makes coil of rope
desert above hill,above desert hill,above desert hill
eats man drink,man eats drink,man eats drink
plant man lotus loves,man loves lotus plant,man loves lotus plant
gives loaf of servant bread,servant gives loaf of bread,servant gives loaf of bread
/ peace altar temple,peace / altar temple,peace / altar temple
rope tethering king gives,king gives tethering rope,king gives tethering rope
river lake near,lake near river,river near lake
heart strong becomes,heart becomes strong,heart becomes strong
heart satisfy peace,peace satisfy heart,peace satisfy heart
big becomes town / great / city,city / town becomes great / big,city / town becomes great / big
god emerges horizon,god emerges horizon,god emerges horizon
mouth eats grain,mouth eats grain,mouth eats grain
west soul ba,soul ba west,soul ba west
king he great,he king great,he king great
river riverbank beside,river beside riverbank,river beside riverbank
gives king life,king gives life,king gives life
upon king face,king face upon,king face upon
upon face king,king face upon,king face upon
town road enters,road enters town,road enters town
sees viper man horned,man sees horned viper,man sees horned viper
love people king,people love king,people love king
peace heart content (satisfied) /,peace / content (satisfied) heart,peace / content (satisfied) heart
peace / altar temple,peace / altar temple,peace / altar temple
riverbank river beside,river beside riverbank,river beside riverbank
loves mother youth,mother loves youth,mother loves youth
town builds brick,brick builds town,brick builds town
sees (great) youth swallow,youth sees swallow (great),youth sees swallow (great)
sees eye face,eye sees face,eye sees face
strength backbone gives,backbone gives strength,backbone gives strength
begets god / gives birth,god gives birth / begets,god gives birth / begets
sickle servant sees,servant sees sickle,servant sees sickle
sits seat king,king sits seat,king sits seat
mother woman sees,mother sees woman,mother sees woman
hears backbone man,man hears backbone,man hears backbone
mountain hill near,hill near mountain,hill near mountain
god of power,power of god,power of god
tethering rope vessel,tethering rope vessel,tethering rope vessel
fire sees youth,youth sees fire,youth sees fire
house sees mother,mother sees house,mother sees house
memory place holds,place holds memory,place holds memory
power order gives,power gives order,power gives order
grandfather / temple pillar,pillar / grandfather temple,pillar / grandfather temple
book writing preserves,book preserves writing,book preserves writing
(spirit) ka life,ka (spirit) life,ka (spirit) life
old man youth,old man youth,old man youth
ankh gives god,god gives ankh,god gives ankh
man strong backbone,strong man backbone,strong backbone man
sees man hoe,man sees hoe,man sees hoe
makes father jar,father makes jar,father makes jar
youth mother hears,mother hears youth,mother hears youth
makes god mountain,god makes mountain,god makes mountain
youth hears authority,youth hears authority,youth hears authority
beyond west horizon,west beyond horizon,west beyond horizon
gives hand offering,hand gives offering,hand gives offering
pellet field grain,field grain pellet,field grain pellet
power gives strength,power gives strength,power gives strength
/ grandfather pillar stability,pillar / grandfather stability,pillar / grandfather stability
woman vessel sees,woman sees vessel,woman sees vessel
loves old god man,god loves old man,god loves old man
people grain feeds,grain feeds people,grain feeds people
power fire gives,fire gives power,fire gives power
door makes father bolt,father makes door bolt,father makes door bolt
holds world people,world holds people,world holds people
/ people city town,city / town people,city / town people
serve people king,people serve king,people serve king
(spirit) fills life ka,life fills ka (spirit),life fills ka (spirit)
strong king rules,strong king rules,strong king rules
maintains king order,king maintains order,king maintains order
leads road town,road leads town,road leads town
great god mighty,great god mighty,great mighty god
(lord / all) basket offering,basket (lord / all) offering,basket (lord / all) offering
adze sees man,man sees adze,man sees adze
hear god listen,hear listen god,hear listen god
(truth/maat) heart feather,feather (truth/maat) heart,heart feather (truth/maat)
truth scribe writes,scribe writes truth,scribe writes truth
judgment of heart,judgment of heart,judgment of heart
man house enters,man enters house,man enters house
hand work does,hand does work,hand does work
sees mother forearm,mother sees forearm,mother sees forearm
gives fire power,fire gives power,fire gives power
mother horizon sees,mother sees horizon,mother sees horizon
hears scribe god,scribe hears god,scribe hears god
love / peace people satisfy,people love peace / satisfy,people love peace / satisfy
king backbone strong,strong backbone king,king strong backbone
pellet / king eats grain,king eats grain / pellet,king eats grain / pellet
pellet grain field,field grain pellet,field grain pellet
ka spirit life,ka spirit life,ka spirit life
/ scribe records writing,writing / scribe records,writing / scribe records
storm sky crosses,storm crosses sky,storm crosses sky
coil of snake rope,snake coil of rope,snake coil of rope
belly eats animal,animal belly eats,animal belly eats
fear holds heart,heart holds fear,heart holds fear
gate makes man,man makes gate,man makes gate
sun sky rises,sun rises sky,sun rises sky
people play senet board,people play senet board,people play senet board
gives servant club,servant gives club,servant gives club
god field makes,god makes field,god makes field
heart loves god,god loves heart,god loves heart
house guard ancestors,ancestors guard house,ancestors guard house
scribe writing life / records,writing / scribe records life,writing / scribe records life
horizon above mountain,horizon above mountain,above mountain horizon
satisfy / peace heart,peace / satisfy heart,heart peace / satisfy
temple path leads,path leads temple,path leads temple
twisted servant flax sees,servant sees twisted flax,servant sees twisted flax
father sees hand,father sees hand,father sees hand
father makes (give) loaf conical,father makes conical loaf (give),father makes conical loaf (give)
offering (lord / all) basket,basket (lord / all) offering,basket (lord / all) offering
people plant feeds,plant feeds people,plant feeds people
swallow scribe hears,scribe hears swallow,scribe hears swallow
adze gives king,king gives adze,king gives adze
man hears / god deity,man hears god / deity,man hears god / deity
upon god face,face upon god,god face upon
power loves king,king loves power,king loves power
records scribe life / writing,writing / scribe records life,writing / scribe records life
youth hears club,youth hears club,youth hears club
sickle grain cuts pellet /,sickle cuts grain / pellet,sickle cuts grain / pellet
underground soul west,west underground soul,underground west soul
altar god before,altar before god,altar before god
hears woman god,woman hears god,woman hears god
slopes riverbank hill,riverbank slopes hill,riverbank slopes hill
feeds food family,food feeds family,food feeds family
bread king gives,king gives bread,king gives bread
truth heart weighs,truth weighs heart,truth weighs heart
lord every / authority,authority lord / every,lord / every authority
cobra king guards,cobra guards king,cobra guards king
upon horizon / face,horizon face / upon,horizon face / upon
face upon town /,town face / upon,town face / upon
deity seat throne /,seat / throne deity,seat / throne deity
father protects people,father protects people,father protects people
jar grain / pellet,grain / pellet jar,grain / pellet jar
strength seeks youth,youth seeks strength,youth seeks strength
(ankh) / life becomes great mighty,life (ankh) becomes great / mighty,life (ankh) becomes great / mighty
field holds land,land holds field,land holds field
foot road desert,foot road desert,foot road desert
loves sedge (king) life (ankh),sedge (king) loves life (ankh),sedge (king) loves life (ankh)
behind road town,road behind town,road behind town
old marrow man venerated /,old man venerated / marrow,old man venerated / marrow
god temple deity,temple god deity,temple god deity
milk mother gives jar,mother gives milk jar,mother gives milk jar
god hear listen /,hear / listen god,god hear / listen
god makes hill desert,god makes desert hill,god makes desert hill
handle cuts man with basket,man cuts basket with handle,man cuts basket with handle
fills peace heart,peace fills heart,peace fills heart
man walks road,man walks road,man walks road
man old scribe becomes,scribe becomes old man,scribe becomes old man
mouth / / drink speak eat,mouth eat / drink / speak,mouth eat / drink / speak
near house field,field near house,field near house
god swallow becomes,god becomes swallow,god becomes swallow
temple town behind,temple behind town,temple behind town
love woman man,man love woman,man love woman
house behind gate,house behind gate,house behind gate
soul west ba,west soul ba,soul ba west
loaf conical father (give) makes,father makes conical loaf (give),father makes conical loaf (give)
mountain horizon above,above mountain horizon,above mountain horizon
scribe records / writing,writing / scribe records,writing / scribe records
mother good / loves beauty,mother loves beauty / good,mother loves beauty / good
conical loaf eats woman (give),woman eats conical loaf (give),woman eats conical loaf (give)
road servant plows,servant plows road,servant plows road
man backbone hears,man hears backbone,man hears backbone
guards town wall,wall guards town,wall guards town
servant sees flax twisted,servant sees twisted flax,servant sees twisted flax
peace heart satisfy,peace satisfy heart,peace satisfy heart
woman sees plant lotus,woman sees lotus plant,woman sees lotus plant
(ankh) life gives god,god gives life (ankh),god gives life (ankh)
youth eats of bread loaf,youth eats loaf of bread,youth eats loaf of bread
life loves heart,heart loves life,heart loves life
horizon makes god,god makes horizon,god makes horizon
underground west dead,west underground dead,west underground dead
sickle plant cuts,sickle cuts plant,sickle cuts plant
fear storm people,people fear storm,people fear storm
maat (djed) stability,maat stability (djed),maat stability (djed)
town big great,great big town,great big town
youth adze sees,youth sees adze,youth sees adze
god swallow becomes,god becomes swallow,god becomes swallow
gives servant ring,servant gives ring,servant gives ring
hill desert behind,hill behind desert,hill behind desert
hill slope sees father,father sees hill slope,father sees hill slope
peace people love,people love peace,people love peace
backbone gives strength,backbone gives strength,backbone gives strength
people life fills,life fills people,life fills people
stability gives pillar,pillar gives stability,pillar gives stability
sees youth hill,youth sees hill,youth sees hill
people god hears,god hears people,god hears people
work do servant,servant do work,servant do work
throne seated god,god seated throne,seated god throne
he authority king,he king authority,he king authority
town behind house,house behind town,house behind town
scroll sees king papyrus,king sees papyrus scroll,king sees papyrus scroll
father sees fire,father sees fire,father sees fire
altar fire above,fire above altar,fire above altar
hears storm man,man hears storm,man hears storm
maat order brings,maat brings order,maat brings order
enters road town,road enters town,road enters town
vessel water holds,vessel holds water,vessel holds water
people life love,people love life,people love life
to become strong,to become strong,to become strong
authority fear people,people authority fear,people fear authority
sees youth swallow,youth sees swallow,youth sees swallow
people father protects,father protects people,father protects people
builds town brick,brick builds town,brick builds town
temple cobra guards,cobra guards temple,cobra guards temple
records scribe writing,writing scribe records,writing scribe records
behind mountain lake,lake behind mountain,lake behind mountain
jar sees scribe,scribe sees jar,scribe sees jar
stability gives maat,maat gives stability,maat gives stability
above sky horizon,above horizon sky,above horizon sky
god behind gate,god behind gate,god behind gate
sees servant adze,servant sees adze,servant sees adze
side rib / backbone,side / rib backbone,side / rib backbone
people listen / hear,hear / listen people,hear / listen people
youth loves / peace satisfy,youth loves peace / satisfy,youth loves peace / satisfy
scribe writes truth,scribe writes truth,scribe writes truth
god king become,god become king,king become god
/ side sees rib father,father sees side / rib,father sees side / rib
writing scribe / sees scribe,scribe sees writing / scribe,scribe sees writing / scribe
heart fills life,life fills heart,life fills heart
mountain lake behind,lake behind mountain,lake behind mountain
makes people god,god makes people,god makes people
hill beyond desert,desert beyond hill,desert beyond hill
sees viper horned man,man sees horned viper,man sees horned viper
eye sees god,eye sees god,eye sees god
faces sky temple,temple faces sky,temple faces sky
sickle holds hand,hand holds sickle,hand holds sickle
snake sees man,man sees snake,man sees snake
to do make,to do make,to do make
offering hears god,god hears offering,god hears offering
peace altar gives,altar gives peace,altar gives peace
double) spirit soul the (the / ka (ba),ka (the spirit / the double) soul (ba),ka (the spirit / the double) soul (ba)
god makes sky,god makes sky,god makes sky
eat people drink,people eat drink,people eat drink
sun above horizon,sun above horizon,sun above horizon
grain fills vessel,grain fills vessel,grain fills vessel
behind house gate,gate behind house,house behind gate
god emerges sky,god emerges sky,god emerges sky
master all (lord) / (every) servant obeys,servant obeys master (lord) / all (every),servant obeys master (lord) / all (every)
stability order brings,order brings stability,order brings stability
temple above star,star above temple,star above temple
king authority he,he king authority,he king authority
scribe hears god,scribe hears god,scribe hears god
in sees rack scribe jars,scribe sees jars in rack,scribe sees jars in rack
pillar stability djed,stability djed pillar,djed pillar stability
writes scribe truth,scribe writes truth,scribe writes truth
maat feather truth,feather truth maat,feather truth maat
book writing scribe /,writing / scribe book,book writing / scribe
behind west desert,west behind desert,west behind desert
people see throne,people see throne,people see throne
