Input,Target,Prediction
temple cut / stone deity brick adze god chisel,adze chisel cut stone brick temple god / deity,adze chisel cut stone brick temple god / deity
/ papyrus heart eye scroll writing scribe scribe hand,scribe writing / scribe papyrus scroll hand eye heart,scribe writing / scribe papyrus scroll hand eye heart
bolt house door reed brick gate shelter town,door bolt gate reed shelter brick house town,door bolt gate reed shelter brick house town
authority throne seat ring king power,ring throne seat king power authority,ring throne seat king power authority
sky desert people storm fire fear,people fear storm fire desert sky,people fear fire storm sky desert
town people reed city shelter house,reed shelter house people town city,reed shelter house people town city
gate house god exists found opens,god opens exists found house gate,god opens exists found house gate
town king god road master all lord city,road city town master lord all king god,road city town master lord all king god
power king holds authority strength,king holds power authority strength,king holds power authority strength
king the all sees people,the king sees all people,the king sees all people
thing make twisted flax coil of rope rope,twisted flax rope coil of rope thing make,twisted flax rope coil of rope thing make
the stability djed brings god,the god brings stability djed,the god brings stability djed
horizon ka emerge soul ba life spirit,ka spirit ba soul emerge life horizon,ka spirit ba soul emerge life horizon
god offering gives pellet king grain,king gives offering grain pellet god,king gives offering grain pellet god
live     city     house     people     town,people live house city town,people live house city town
river lake swallow plant water lotus riverbank ripple,river riverbank lake water ripple lotus plant swallow,river riverbank lake water ripple lotus plant swallow
book beautiful good scroll papyrus / writing scribe scribe / thing,scribe writing / scribe book papyrus scroll beautiful / good thing,scribe writing / scribe papyrus scroll book beautiful / good thing
hill road desert follow people mountain,people follow road mountain hill desert,people follow road mountain hill desert
building cut gate stone chisel adze,adze chisel cut stone building gate,adze chisel cut stone building gate
marker)     single     great     /     (plural     /     big     mighty     stroke     great     stroke     thing,single stroke stroke (plural marker) thing great / big great / mighty,single stroke stroke (plural marker) papyrus scroll scribe writing / scribe book
people king voice heart god hears,king hears voice heart people god,king hears voice heart god people
road man walks horizon desert west,man walks road desert west horizon,man walks road desert west horizon
/ begets altar / youth mother gives (ankh) life peace father birth,father mother youth gives birth / begets life (ankh) peace / altar,father mother youth gives birth / begets life (ankh) peace / altar
marker) book stroke writing single / (plural thing stroke papyrus scribe scribe,single stroke stroke (plural marker) thing writing / scribe book scribe papyrus,single stroke stroke (plural marker) thing writing / scribe book scribe papyrus
youth beautiful good become / (ankh) life placenta to become,placenta become to become life (ankh) youth beautiful / good,placenta become to become life (ankh) youth beautiful / good
temple hears prayer in god the,the god hears prayer in temple,the god hears prayer in temple
brick / temple make chisel stone adze building do to,chisel adze to do / make stone brick temple building,chisel adze to do / make stone brick temple building
people prayer king of hears the,the king hears prayer of people,the king hears prayer of people
field like father man plow do,man plow field like father do,man plow field like father do
god star horizon swallow sky emerges,god emerges horizon sky star swallow,god emerges horizon sky star swallow
snake viper cobra woman man fear horned,cobra snake horned viper fear man woman,cobra snake horned viper fear man woman
good beautiful book scribe write thing,scribe write book thing beautiful good,scribe write book thing beautiful good
desert snake viper people fear horned,people fear horned viper snake desert,people fear horned viper snake desert
water plant above lotus ripple river,river water ripple above lotus plant,river water ripple above lotus plant
jar loaf milk bread peace of lord offering servant,servant offering milk jar loaf of bread lord peace,servant offering milk jar loaf of bread lord peace
grants god djed stability the,the god grants stability djed,the god grants stability djed
gather scroll writing people papyrus,people gather papyrus scroll writing,people gather papyrus scroll writing
god sits throne king seated,king sits seated god throne,king sits seated god throne
ring senet do to make / thing forearm hand board,senet board ring thing to do / make hand forearm,senet board ring thing to do / make hand forearm
prayer hears the of king people,the king hears prayer of people,the king hears prayer of people
rules city town the king,the king rules city town,the king rules city town
writing stroke scribe stroke / papyrus single scroll scribe book (plural thing marker),single stroke stroke (plural marker) papyrus scroll book scribe writing / scribe thing,single stroke stroke (plural marker) papyrus scroll book scribe writing / scribe thing
hears     voice     of     king     god     the,the king hears voice of god,the king hears voice of god
plant lotus clump papyrus plant riverbank river lake,riverbank papyrus clump plant lotus plant lake river,riverbank papyrus clump plant lotus plant lake river
fear horned snake desert people viper,people fear horned viper snake desert,people fear horned viper snake desert
power king the words of speaks,the king speaks words of power,the king speaks words of power
hears god great people the,the great god hears people,the great god hears people
stroke single stroke papyrus marker scribe plural scroll book writing,single stroke stroke plural marker papyrus scroll writing scribe book,single stroke stroke plural marker papyrus scroll writing scribe book
hoe plows grain people (tills) pellet field servant / man,hoe plows (tills) field grain / pellet servant man people,hoe plows (tills) field grain / pellet servant man people
give mother life father and,father and mother give life,father and mother give life
altar jar vessel offering jar / milk of bread loaf peace,loaf of bread milk jar vessel jar offering peace / altar,loaf of bread milk jar vessel jar offering peace / altar
pillar throne king sits seat stability,king sits throne seat pillar stability,king sits throne seat pillar stability
swallow     man     sees     sky     star     great,man sees swallow great sky star,man sees swallow great sky star
with field man works hoe,man works field with hoe,man works field with hoe
jar of servant lord milk peace loaf bread offering,servant offering milk jar loaf of bread lord peace,servant offering milk jar loaf of bread lord peace
sky horizon west god star watches,god watches star sky horizon west,god watches star sky horizon west
people basket all love god lord,basket lord all people love god,basket lord all people love god
grants power force strength god authority,god grants authority power strength force,god grants authority power strength force
people god all lord basket love,basket lord all people love god,basket lord all people love god
sky     (ankh)     emerge     star     become     life     horizon     scarab,become scarab emerge life (ankh) horizon star sky,life (ankh) emerge star sky
altar great god fire temple above peace,fire above peace altar god great temple,fire above peace altar god great temple
woman gives birth youth to,woman gives birth to youth,woman gives birth to youth
sky west star swallow mountain great emerge,swallow great emerge sky star mountain west,swallow great emerge sky star mountain west
king lord rules every people thousand,king rules lord every thousand people,king rules lord every thousand people
hear speak maat eat feather listen mouth truth drink,hear listen mouth eat drink speak truth maat feather,hear listen mouth eat drink speak truth maat feather
/ ring basket house handle stone brick jar stool with mat,stool / mat ring basket with handle jar brick stone house,stool / mat ring basket with handle jar brick stone house
offering bread people loaf temple gather,people gather offering bread loaf temple,people gather offering bread loaf temple
swallow bird chick of head animal ox quail owl head of,quail chick swallow owl head of bird head of ox animal,quail chick swallow owl head of bird head of ox animal
youth / father gives / birth ankh life begets mother,father mother gives birth / begets youth life / ankh,father mother gives birth / begets youth life / ankh
king power authority god grants people,god grants power authority king people,god grants power authority king people
authority power ankh life great djed stability,life ankh stability djed power authority great,life ankh stability djed power authority great
force king rules with strength the,the king rules with strength force,the king rules with strength force
man god to the brings life,the god brings life to man,the god brings life to man
owl horizon ba star soul sky hear,owl hear soul ba star sky horizon,owl hear soul ba star sky horizon
plows grain (tills) pellet field thousand servant hoe /,thousand grain / pellet hoe plows (tills) field servant,thousand grain / pellethoe plows (tills) field servant
give temple people to offering,people give offering to temple,people give offering to temple
conical lord pellet thousand loaf (give) offering / / god grain deity,thousand grain / pellet offering conical loaf (give) god / deity lord,thousand grain / pellet offering conical loaf (give) god / deity lord
temple brings altar the peace god,the god brings peace altar temple,the god brings peace altar temple
underground upon back face side above behind rib horizon,above behind back face upon side rib underground horizon,above behind back face upon side rib underground horizon
sits djed king seat stability throne,king sits seat throne stability djed,king sits seat throne stability djed
hears king heart people mouth,king hears people mouth heart,king hears people mouth heart
woman carries house milk jar,woman carries milk jar house,woman carries milk jar house
horizon     sky     underground     above     mountain     star,above underground horizon sky star mountain,above underground horizon sky star mountain
clump     leaf     plant     lotus     lake     plant     papyrus     reed     field,lotus plant papyrus clump reed leaf plant field lake,lotus plant plant reed leaf papyrus clump lake riverbank
behind     hill     mountain     walks     man,man walks behind mountain hill,man walks behind mountain hill
board to eye / hand thing ring do make senet,senet board ring thing to do / make hand eye,senet board ring thing to do / make hand eye
basket grain handle man carries,man carries basket handle grain,man carries basket handle grain
offering temple the gives king,the king gives offering temple,the king gives offering temple
mat jar vessel ring handle stool stone basket with /,stool / mat basket with handle ring vessel jar stone,stool / mat basket with handle ring vessel jar stone
town to hill road mountain desert desert return slope / retreat hill,to return / retreat road mountain desert hill desert hill slope town,to return / retreat road mountain desert hill desert hill slope town
field     grain     cut     man     sickle     pellet     servant,sickle cut grain pellet field servant man,sickle cut grain pellet field man servant
slope hill river road lake mountain desert,road river lake mountain hill slope desert,road river lake mountain hill slope desert
desert mountain desert / slope hill to retreat road hill return town,to return / retreat road mountain desert hill desert hill slope town,to return / retreat road mountain desert hill desert hill slope town
sky desert storm mountain fire star horizon hill,fire storm sky star horizon mountain desert hill,fire storm sky star horizon mountain desert hill
over the watches city god,the god watches over city,the god watches over city
road     gate     people     city     town     follow,people follow road gate town city,people follow road gate town city
people mouth king hears heart god,king hears heart mouth people god,king hears heart mouth people god
fox king / force strength authority skins club three power,three fox skins strength / force club power authority king,three fox skins strength / force club power authority king
deity / / grain vessel pellet god jar offering thousand,thousand grain / pellet vessel jar offering god / deity,thousand grain / pellet vessel jar offering god / deity
storm people sky fire fear,people fear storm fire sky,people fear storm fire sky
pellet man eats grain bread,man eats grain pellet bread,man eats grain pellet bread
gives king offering god the to,the king gives offering to god,the king gives offering to god
flax carries man twisted rope coil,man carries rope coil twisted flax,man carries rope coil twisted flax
authority king behind follows man,man follows behind king authority,man follows behind king authority
papyrus ripple leaf lake plant plant reed water clump lotus,lotus plant plant reed leaf papyrus clump lake water ripple,lotus plant plant reed leaf papyrus clump lake water ripple
god / deity every / lord great / big great thing thousand mighty /,thousand thing great / big great / mighty god / deity lord / every,thousand thing great / big great / mighty god / deity lord / every
water jar drinks man ripple lake,man drinks water ripple lake jar,man drinks water ripple lake jar
(ankh) beautiful woman seated youth woman heart good life / mother,beautiful / good woman youth seated woman mother heart life (ankh),beautiful / good woman youth seated woman mother heart life (ankh)
bread offer of people loaf,people offer loaf of bread,people offer loaf of bread
fear desert snake cobra people,people fear snake cobra desert,people fear snake cobra desert
thing great do strength force hand,hand do thing great strength force,hand do thing great strength force
(ankh) life youth become beautiful to / placenta become good,placenta become to become life (ankh) youth beautiful / good,placenta become to become life (ankh) youth beautiful / good
strength holds force king authority,king holds authority strength force,king holds authority strength force
watches god sky star in the,the god watches star in sky,the god watches star in sky
peace offering content (give) / altar / conical (satisfied) heart loaf peace,conical loaf (give) offering peace / altar peace / content (satisfied) heart,conical loaf (give) offering peace / altar peace / content (satisfied) heart
mighty     pillar     /     /     life     (ankh)     authority     grandfather     stability     great     king     power     (djed),stability (djed) pillar / grandfather authority power great / mighty life (ankh) king,stability (djed) pillar / grandfather ka (spirit) life (ankh)
throne god seated king sits,king sits seated god throne,king sits seated god throne
loaf bread altar of offering satisfy peace,loaf of bread offering peace altar satisfy,loaf of bread offering peace altar satisfy
speak king hears mouth people,king hears people speak mouth,king hears mouth speak people
pellet repeated plows man grain field,man plows repeated field grain pellet,man plows repeated field grain pellet
of bird owl chick quail animal belly head swallow,quail chick swallow owl head of bird animal belly,quail chick swallow owl head of bird animal belly
head bird of chick ox quail head of owl eye swallow,quail chick swallow head of bird head of ox owl eye,quail chick swallow head of bird head of ox owl eye
plows works man repeated field,man works field plows repeated,man works field plows repeated
clump road ripple riverbank papyrus lotus water plant lake,road riverbank lake water ripple lotus plant papyrus clump,road riverbank lake water ripple lotus plant papyrus clump
desert hill grain quail pellet eat stone chick,quail chick eat grain pellet hill desert stone,quail chick eat grain pellet hill desert stone
hoe with field man works,man works field with hoe,man works field with hoe
drink river water people ripple,people drink water ripple river,people drink water ripple river
opens     god     gate     temple     city,god opens gate temple city,god opens gate temple city
people the sees of king heart,the king sees heart of people,the king sees heart of people
woman seated people servant youth man king,man woman youth servant people seated king,man woman youth servant people seated king
gate door city town road bolt house,road city town house gate door bolt,road city town house gate door bolt
youth become placenta (ankh) become / to great mighty life,placenta become to become life (ankh) youth great / mighty,placenta become to become life (ankh) youth great / mighty
gate house lord basket people servant all,basket lord all people servant gate house,basket lord all people servant gate house
heart scroll / scribe / writing beautiful papyrus thing book scribe good,scribe writing / scribe book papyrus scroll beautiful / good thing heart,scribe writing / scribe papyrus scroll book beautiful / good thing heart
seated snake viper fear cobra horned man,horned viper cobra snake fear seated man,horned viper cobra snake fear seated man
temple god altar handle peace give basket offering,basket handle give offering peace altar god temple,basket handle give offering peace altar god temple
master authority king / seated / (lord) all great / god (every) mighty,seated god / king authority great / mighty master (lord) / all (every),seated god / king authority great / mighty master (lord) / all (every)
mighty / god / seat deity great throne big throne king /,throne seat / throne god / deity king great / big mighty,throne seat / throne god / deity king great / big mighty
great mighty become youth placenta life,placenta become life youth great mighty,placenta become life youth great mighty
speak vessel eat / / mouth drink bread of jar loaf milk,mouth eat / drink / speak loaf of bread milk jar vessel,mouth eat / drink / speak loaf of bread milk jar vessel jar
people     king     speak     heart     mouth     hears,king hears mouth speak heart people,king hears people speak mouth heart
loaf heart satisfy (give) deity / god offering / conical peace,conical loaf (give) offering peace / satisfy heart god / deity,conical loaf (give) offering peace / satisfy heart god / deity
hand man rope flax carries twisted,man carries rope twisted flax hand,man carries rope twisted flax hand
sky     west     star     god     watches     horizon,god watches star sky horizon west,god watches star sky horizon west
owl star night man sky hears,man hears owl sky star night,man hears owl sky star night
people king servant god authority power,king power authority servant people god,king power authority servant people god
god house west opens horizon gate,god opens gate house horizon west,god opens gate house horizon west
life     youth     gives     woman     birth,woman gives birth youth life,woman gives birth youth life
protects king city people the,the king protects people city,the king protects city people
temple altar grants peace god,god grants peace altar temple,god grants peace altar temple
hand man cuts forearm stone chisel,man cuts stone chisel forearm hand,man cuts stone chisel forearm hand
town live city people near,people live near city town,people live near city town
god voice king heart people hears,king hears heart voice people god,king hears voice heart people god
truth satisfy speak mouth maat heart peace,mouth speak truth maat heart peace satisfy,mouth speak truth maat heart peace satisfy
opens door bolt god house gate,god opens house gate door bolt,god opens house gate door bolt
stone man fire beside rests,man rests beside fire stone,man rests beside fire stone
venerated / youth life marrow old (ankh) father man peace satisfy people /,venerated / marrow father youth old man life (ankh) peace / satisfy people,venerated / marrow father youth old man life (ankh) peace / satisfy people
heart / speak as drink / eat (or / like mouth example) sweet,mouth eat / drink / speak heart sweet like / as (or example),mouth eat / drink / speak heart sweet like / as (or example)
scribe scribe good papyrus writing / book / scroll beautiful thing,scribe writing / scribe papyrus scroll book beautiful / good thing,scribe writing / scribe book papyrus scroll beautiful / good thing
people snake storm cobra fear,people fear snake cobra storm,people fear snake cobra storm
rests house mat man stool,man rests stool mat house,man rests house stool mat
sky star watches swallow god,god watches star swallow sky,god watches star swallow sky
king commands servant man the,the king commands servant man,the king commands servant man
stability throne king seat djed sits,king sits throne seat stability djed,king sits throne seat stability djed
father woman servant youth old seated man man mother people,old man youth servant people seated man woman father mother,old man youth servant people seated man woman father mother
love woman good mother seated (ankh) / heart woman life beautiful,beautiful / good woman seated woman mother heart love life (ankh),beautiful / good woman seated woman mother heart love life (ankh)
stability djed the brings god,the god brings stability djed,the god brings stability djed
writing single marker) book scroll thing papyrus (plural stroke / scribe stroke,single stroke stroke (plural marker) papyrus scroll book writing / scribe thing,single stroke stroke (plural marker) papyrus scroll book writing / scribe thing
conical heart loaf offering altar peace satisfy,conical loaf offering peace altar heart satisfy,conical loaf offering peace altar heart satisfy
door town gate bolt house city road,road city town house gate door bolt,road city town house gate door bolt
old seated man woman venerated / marrow seated man youth,venerated / marrow old man seated man seated woman youth,venerated / marrow old man seated man seated woman youth
town people near live city,people live near city town,people live near city town
twisted coil thing flax rope make rope of,twisted flax rope coil of rope thing make,twisted flax rope coil of rope thing make
ring twisted rope flax coil of vessel rope tethering rope,tethering rope twisted flax rope coil of rope ring vessel,tethering rope twisted flax rope coil of rope ring vessel
man house bolt door opens,man opens door bolt house,man opens door bolt house
eat bread every people loaf lord,lord every people eat loaf bread,lord every people eat loaf bread
brick bolt reed gate door house shelter,gate door bolt reed shelter house brick,gate door bolt reed shelter house brick
city ka emerge (soul) horizon (spirit) / town house sky ba,ba (soul) ka (spirit) emerge house city / town horizon sky,ba (soul) ka (spirit) emerge house city / town horizon sky
flax     twisted     rope     of     rope     tethering     rope     ring     coil     thing,tethering rope coil of rope twisted flax rope ring thing,tethering rope coil of rope rope twisted flax ring vessel
strength authority king power holds,king holds power authority strength,king holds power authority strength
beyond     west     god     dwells     the,the god dwells beyond west,the god dwells beyond west
gives king altar peace offering,king gives offering peace altar,king gives offering peace altar
side of animal bird backbone / ox of head head rib placenta belly,head of bird head of ox animal belly backbone side / rib placenta,head of bird head of ox animal belly backbone side / rib placenta
beautiful mother gives heart birth youth,mother gives birth youth beautiful heart,mother gives birth youth beautiful heart
god people deity honor temple,people honor god deity temple,people honor god deity temple
servant sickle youth pellet field grain people cut / man,sickle cut grain / pellet field servant man people youth,sickle cut grain / pellet field servant man people youth
(ba) forearm backbone spirit side heart hand soul / foot rib,hand forearm foot side / rib backbone heart soul (ba) spirit,hand forearm foot side / rib backbone heart soul (ba) spirit
scribe book single scroll thing papyrus stroke stroke marker) writing (plural / scribe,single stroke stroke (plural marker) papyrus scroll book scribe writing / scribe thing,single stroke stroke (plural marker) papyrus scroll book scribe writing / scribe thing
force strength grants backbone god,god grants strength force backbone,god grants strength force backbone
venerated peace life satisfy father / man youth / old marrow (ankh),old man venerated / marrow father youth life (ankh) peace / satisfy,old man venerated / marrow father youth life (ankh) peace / satisfy
man rests stool on mat,man rests on stool mat,man rests on stool mat
power god strength grants force backbone,god grants power strength force backbone,god grants power strength force backbone
writing stroke single thing (plural / scribe marker) stroke book scribe,single stroke stroke (plural marker) thing writing / scribe book scribe,single stroke stroke (plural marker) thing writing / scribe book scribe
door bolt house god opens,god opens house door bolt,god opens house door bolt
people town riverbank near live,people live near riverbank town,people live near riverbank town
rope man basket carries handle,man carries basket handle rope,man carries basket handle rope
man     sky     hears     night     owl,man hears owl night sky,man hears owl night sky
door shelter house bolt town reed building brick gate,gate door bolt reed shelter brick house building town,gate door bolt reed shelter brick house building town
watches swallow god star sky,god watches sky star swallow,god watches star swallow sky
gives     to     youth     birth     woman,woman gives birth to youth,woman gives birth to youth
god gives king pellet grain offering,king gives offering grain pellet god,king gives offering grain pellet god
of animal head belly heart life ox,head of ox animal belly heart life,head of ox animal belly heart life
force strength fox authority he king power sedge / skins king three / (king),three fox skins strength / force power authority king he / king sedge (king),three fox skins strength / force power authority king he / king sedge (king)
begets woman gives youth birth,woman gives birth begets youth,woman gives birth begets youth
god gate city opens temple,god opens gate temple city,god opens gate temple city
head animal of heart belly ox life,head of ox animal belly heart life,head of ox animal belly heart life
/ seated board peace senet content woman (satisfied) life (ankh) house man seated,senet board seated man seated woman house life (ankh) peace / content (satisfied),senet board seated man seated woman house life (ankh) peace / content (satisfied)
city / return / road life to house town (ankh) retreat,to return / retreat road city / town house life (ankh),to return / retreat road city / town house life (ankh)
gate follow people road town,people follow road gate town,people follow road gate town
king servant authority people protects power,king protects people servant authority power,king protects people servant authority power
marrow youth venerated mother life (ankh) father peace / / satisfy,venerated / marrow father mother youth life (ankh) peace / satisfy,venerated / marrow father mother youth life (ankh) peace / satisfy
mighty (djed) great life / authority pillar power / grandfather (ankh) stability king,stability (djed) pillar / grandfather authority power great / mighty life (ankh) king,life (ankh) stability (djed) pillar / grandfather power authority great / mighty king
field servant grain food plows hoe / pellet (tills),servant hoe plows (tills) field grain / pellet food,servant hoe plows (tills) field grain / pellet food
head     chick     of     owl     swallow     quail     bird,quail chick swallow owl head of bird,quail chick swallow owl head of bird
of thing flax ring coil tethering rope rope twisted rope,tethering rope coil of rope twisted flax rope ring thing,tethering rope coil of rope rope twisted flax ring thing
star sky emerges horizon god swallow,god emerges horizon sky star swallow,god emerges horizon sky star swallow
youth seated people man king servant woman,man woman youth servant people seated king,man woman youth servant people seated king
gives backbone god the strong,the god gives strong backbone,the god gives strong backbone
thing great mighty lord god grain thousand master pellet,thousand grain pellet thing great mighty god lord master,thousand grain pellet thing great mighty god lord master
desert storm slope fire hill above hill sky mountain desert,fire storm above mountain desert hill desert hill slope sky,fire storm above mountain desert hill desert hill slope sky
live riverbank beside people field,people live beside riverbank field,people live beside riverbank field
desert mountain town / slope road hill hill town city,hill slope desert hill mountain road town city / town,hill slope desert hill mountain road town city / town
club hoe strength force sickle chisel adze,adze chisel hoe sickle club strength force,adze chisel hoe sickle club strength force
shelter gate brick house bolt reed door,gate door bolt reed shelter house brick,gate door bolt reed shelter house brick
road horizon west walks man toward,man walks road toward west horizon,man walks road toward west horizon
to become scarab soul (ankh) ka emerge life (spirit) (ba),to become scarab emerge life (ankh) soul (ba) ka (spirit),to become scarab emerge life (ankh) soul (ba) ka (spirit)
man sickle tills field plows,man plows tills field sickle,man plows tills field sickle
youth become life power strength great placenta,placenta become life youth great power strength,placenta become life youth great power strength
people leaf papyrus reed gather clump,people gather papyrus clump reed leaf,people gather papyrus clump reed leaf
(truth/maat) heart truth mouth listen / / hear feather speak maat,mouth speak truth / maat feather (truth/maat) hear / listen heart,mouth speak truth / maat feather (truth/maat) hear / listen heart
milk heart vessel satisfy offering jar jar,jar vessel milk jar offering heart satisfy,jar vessel milk jar offering heart satisfy
ankh soul djed spirit ba star god ka life stability,life ankh stability djed soul ba ka spirit star god,life ankh stability djed soul ba ka spirit star god
milk drinks woman jar from,woman drinks milk from jar,woman drinks milk from jar
youth woman woman (ankh) seated good life heart / beautiful mother,beautiful / good woman youth seated woman mother heart life (ankh),beautiful / good woman youth seated woman mother heart life (ankh)
cobra bolt great house door behind,great cobra behind door bolt house,great cobra behind door bolt house
honor power authority god deity people,people honor god deity power authority,people honor god deity power authority
grants temple peace god satisfied altar,god grants peace altar temple satisfied,god grants peace altar temple satisfied
voice mouth people king hears heart,king hears heart voice mouth people,king hears heart voice mouth people
power thing great do force hand strength,hand do thing great strength force power,hand do thing great strength force power
heart god grants satisfy peace,god grants peace satisfy heart,god grants peace satisfy heart
in jar milk vessel satisfy peace jar rack jars / offering,vessel jar milk jar jars in rack offering peace / satisfy,vessel jar milk jar jars in rack offering peace / satisfy
lord west rack jars in house city town,jars in rack house lord city town west,jars in rack house lord city town west
god ka grants ankh life,god grants life ankh ka,god grants life ankh ka
see people upon horizon god,people see god upon horizon,people see god upon horizon
retreat town desert return mountain to hill / / hill city desert road,to return / retreat road mountain desert hill desert hill city / town,to return / retreat road mountain desert hill desert hill city / town
backbone strong king has the,the king has strong backbone,the king has strong backbone
marker papyrus stroke single scribe book plural stroke writing scroll,single stroke stroke plural marker papyrus scroll writing scribe book,single stroke stroke plural marker papyrus scroll writing scribe book
road lotus retreat to riverbank ripple water / plant return,to return / retreat road riverbank water ripple lotus plant,to return / retreat road riverbank water ripple lotus plant
lord city rules king town,king rules city town lord,king rules city town lord
man door opens bolt house,man opens door bolt house,man opens door bolt house
djed strength stability force god grants,god grants stability djed strength force,god grants stability djed strength force
the on horizon rises sun,the sun rises on horizon,the sun rises on horizon
the over people god watches,the god watches over people,the god watches over people
people above stands king the,the king stands above people,the king stands above people
