merged_sentences = [
    "a basket with handle sits on the brick",
    "a star is above the great temple gate",
    "a star is above the high temple gate",
    "a star is above the house of life",
    "a star is above the house of peace",
    "a star is above the mountain of fire",
    "a star shines above the great city town",
    "a star shines above the great desert mountain",
    "a star shines above the house of gold",
    "a star shines above the house of life",
    "a steward brings the jars in a rack",
    "a strong door bolt secures the temple gate",
    "a swallow flies above the high city town",
    "a swallow flies above the high river bank",
    "a swallow flies from the great desert hill",
    "a swallow flies from the green papyrus clump",
    "a swallow flies over the green papyrus clump",
    "a swallow flies over the green reed shelter",
    "a swallow flies over the high city town",
    "a swallow flies over the high city wall",
    "a swallow flies over the high mountain peak",
    "a swallow flies over the high temple gate",
    "a swallow flies to the great river bank",
    "a swallow flies to the green papyrus clump",
    "a swallow flies to the house of peace",
    "a tethering rope holds the boat at river",
    "a thousand bricks build the great city town",
    "a thousand bricks build the house of life",
    "a thousand bricks build the wall of city",
    "a thousand bricks build the wall of house",
    "a thousand fish emerge from the deep lake",
    "a thousand fish swim in the blue lake",
    "a thousand fish swim in the blue water",
    "a thousand fish swim in the great river",
    "a thousand fish swim in the river ripple",
    "a thousand jars of grain are for god",
    "a thousand jars of grain are for king",
    "a thousand jars of grain are for people",
    "a thousand jars of grain are in store",
    "a thousand jars of grain sit in rows",
    "a thousand jars of milk are for god",
    "a thousand jars of milk are for king",
    "a thousand jars of milk are for queen",
    "a thousand people find peace in the city",
    "a thousand people find the way to peace",
    "a thousand people walk to the great city",
    "a thousand stars shine above the desert hill",
    "a thousand stars shine above the great desert",
    "a thousand stars shine above the house gold",
    "a thousand stars shine above the river bank",
    "a thousand stars shine in the great sky",
    "a thousand stars shine in the night sky",
    "a thousand stars shine in the underground place",
    "a thousand stars shine over the city town",
    "a woman brings a jar to the altar",
    "a woman brings a lotus to the altar",
    "a woman brings a milk jar to temple",
    "a woman hears the bird in the field",
    "a woman hears the bird in the tree",
    "a woman hears the god in the temple",
    "a woman hears the voice of the god",
    "a woman hears the voice of the king",
    "a woman hears the voice of the mother",
    "a woman sees a lotus plant in water",
    "a woman sees her reflection in the water",
    "a woman with a basket hears the bird",
    "a woman with a basket hears the god",
    "a woman with a basket hears the truth",
    "a woman with a basket hears the voice",
    "a woman with a basket sees the field",
    "a woman with a basket sees the gate",
    "a woman with a basket walks the road",
    "a woman with a basket walks to gate",
    "a woman with a basket walks to town",
    "a woman with a mirror sees her face",
    "a woman with a mirror sees the face",
    "a woman with a mirror sees the truth",
    "a youth drinks water beside lake under sky",
    "a youth finds a pearl in the lake",
    "a youth finds a ring in the desert",
    "a youth finds a ring in the field",
    "a youth finds a ring in the lake",
    "a youth finds a ring in the sand",
    "a youth finds a star in the water",
    "a youth finds a stone in the desert",
    "a youth finds a stone in the lake",
    "a youth finds a stone near the gate",
    "a youth finds the door bolt in sand",
    "a youth hears the heart of the father",
    "a youth hears the voice of the father",
    "a youth hears the word of the mother",
    "a youth plays a game of senet board",
    "a youth plays on the great senet board",
    "a youth plays with the jars in rack",
    "a youth sees the cobra behind the wall",
    "a youth sees the cobra in the desert",
    "a youth sees the cobra in the sand",
    "a youth sees the cobra under the brick",
    "a youth sees the desert hill from afar",
    "a youth sees the eye of the bird",
    "a youth sees the eye of the god",
    "a youth sees the swallow in the sky",
    "cobra guards temple gate at desert night",
    "father gives bread offering to god great temple",
    "god becomes scarab and rises from water life",
    "god breathes life into clay vessel gently",
    "god dwells underground and rises at dawn",
    "god emerges at horizon bringing light and life",
    "god gives birth life to people in town",
    "god grants heart peace strength and stability eternal",
    "god grants life strength and stability to king",
    "god grants peace life and strength forever",
    "god grants stability djed to throne eternally strongly",
    "god guards west gate of underground realm silently",
    "god lifts mountain above desert with strength great",
    "god lifts sky above mountain with strength great",
    "god opens horizon and emerges with light",
    "god places crown of power upon king",
    "god places feather of truth upon heart",
    "god places soul within body granting life",
    "god rests on throne inside sacred temple quietly",
    "god sees heart of man with truth",
    "god sends star above horizon bringing life people",
    "god strengthens backbone of king with power great",
    "god watches people from sky with calm authority",
    "king commands servant to open gate now quickly",
    "king emerges from palace with great authority",
    "king gives command and servant listens respectfully closely",
    "king gives offering bread to temple god great",
    "king hears servant speak inside great temple",
    "king holds power above city and people great",
    "king inspects field before flood season begins yearly",
    "king places crown upon head with authority great",
    "king raises hand granting mercy to people",
    "king sits on throne with power great strength",
    "king stands firm like pillar of stability",
    "king travels road beyond town toward western horizon",
    "king walks beside river reflecting on authority",
    "man carries basket of grain into town slowly",
    "man carries rope across desert hill alone calmly",
    "man cuts reed leaf beside riverbank carefully",
    "man eats bread and drinks water peacefully",
    "man fears storm above mountain at night",
    "man hears god voice in temple great peace",
    "man hears owl behind house at night",
    "man lifts door bolt to open gate",
    "man lifts stone with strength beside temple gate",
    "man opens door and enters house safely peace",
    "man plows field with hoe and strength",
    "man plows hill slope field with steady strength",
    "man sees cobra crossing road near town suddenly",
    "man sees snake coil near riverbank cautiously today",
    "man sharpens adze beside stone block quietly today",
    "man shelters beneath reed hut during desert storm",
    "man ties tethering rope around vessel securely",
    "mother braids flax rope beside house doorway quietly",
    "mother gives milk jar to youth gently",
    "mother love life and peace for people town",
    "mother rests on mat holding sleeping child",
    "mother sees child become strong and healthy",
    "mother stands at gate awaiting child return",
    "mother teaches youth love peace and respect daily",
    "mother walks field gathering grain for household food",
    "old man sits beside lake remembering youth quietly",
    "old man speaks wisdom before people peacefully",
    "people celebrate life under stars and sky",
    "people cross gate at dawn seeking peace together",
    "people cross river by road near town",
    "people drink water near reed shelter together",
    "people fear snake near riverbank at night",
    "people follow king across desert road together",
    "people gather at riverbank near town great peace",
    "people gather before throne to hear king",
    "people gather grain from field after harvest",
    "people gather under sky after storm peacefully",
    "people hear king speak from throne calmly today",
    "people honor ancestors pillar with offerings yearly together",
    "people honor god in temple with offering peace",
    "people offer bread and lotus to deity",
    "people plant grain in field before flood season",
    "people plant lotus near lake before sunrise together",
    "people rest on mats inside house after work",
    "people see horizon above desert hill sky great",
    "people see scarab become life from water ripple",
    "people see swallow great flying above town sky",
    "people sit on stool sharing bread peacefully together",
    "people walk toward gate under morning sky peacefully",
    "river flows behind town under bright sky",
    "scribe carries papyrus scroll into town carefully today",
    "scribe carries senet board into house carefully inside",
    "scribe hears king command and writes carefully",
    "scribe lights fire inside temple before dawn",
    "scribe listens and writes words of authority faithfully",
    "scribe reads scroll inside house quietly",
    "scribe records offerings on papyrus scroll inside temple",
    "scribe sharpens chisel beside stone block carefully",
    "scribe sits on stool writing sacred words",
    "scribe studies papyrus scroll by fire light calmly",
    "scribe teaches writing to youth inside town house",
    "scribe walks road beyond town toward horizon slowly",
    "scribe washes hands with water before writing",
    "scribe writes book in temple for king great",
    "seated god rules sky with great power",
    "seated woman hears owl call at night sky",
    "temple stands firm with stability and power",
    "the adze of the scribe sits on brick",
    "the animal belly is cold on the sand",
    "the animal belly is cold on the stone",
    "the animal belly is near the river bank",
    "the animal belly is on the cold stone",
    "the animal belly is on the warm sand",
    "the animal belly is on the warm stone",
    "the animal belly is seen on the stone",
    "the animal belly remains on the warm brick",
    "the backbone of a man is his strength",
    "the backbone of a man is very great",
    "the backbone of a man is very straight",
    "the backbone of the bird is very small",
    "the backbone of the father is his strength",
    "the backbone of the father is very strong",
    "the backbone of the fish is on altar",
    "the backbone of the fish is on stone",
    "the backbone of the fish is very long",
    "the backbone of the god is the truth",
    "the backbone of the king is very strong",
    "the backbone of the man is very strong",
    "the backbone of the mother is very strong",
    "the backbone of the ox is very large",
    "the backbone of the scribe is very straight",
    "the backbone of the snake is very long",
    "the backbone of the soul is the truth",
    "the beautiful face of a woman gives peace",
    "the beautiful face of the woman is great",
    "the bird head sits on the brick wall",
    "the desert hill slope is very far away",
    "the door bolt is for the city gate",
    "the father gives a book to the youth",
    "the gate to the city is made stone",
    "the goddess gives birth to a beautiful child",
    "the great city town is near the river",
    "the great city town is near the water",
    "the great god gives life to the man",
    "the great god sees the heart of man",
    "the great king sees the field of grain",
    "the great king sits upon the stone throne",
    "the great king sits upon the throne chair",
    "the great king sits upon the throne seat",
    "the great lord does not fear the snake",
    "the great lord sees the soul of people",
    "the great power of god is in truth",
    "the great power of god makes the world",
    "the great power of life gives the light",
    "the great power of life is in god",
    "the great power of life is in man",
    "the great power of life is in truth",
    "the great power of the sky becomes fire",
    "the great power of the sun gives fire",
    "the great power of the sun gives life",
    "the great power of the sun gives light",
    "the great power of the sun gives warmth",
    "the great power of truth is in god",
    "the great river flows to the west side",
    "the great senet board sits on the stool",
    "the great sky becomes fire above the mountain",
    "the great storm emerges from the west sky",
    "the great swallow flies above the river bank",
    "the head of bird sits on a basket",
    "the head of bird sits on the basket",
    "the head of ox sits on the altar",
    "the heart of a child is very good",
    "the heart of a father is very good",
    "the heart of a god is very great",
    "the heart of a man becomes very sweet",
    "the heart of a man finds great content",
    "the heart of a man is very sweet",
    "the heart of a mother is very good",
    "the heart of a scribe is very sweet",
    "the heart of a woman is very beautiful",
    "the heart of a woman is very good",
    "the heart of a woman is very sweet",
    "the heart of a youth is very good",
    "the heart of a youth is very sweet",
    "the heart of the goddess is very sweet",
    "the heart of the king finds great peace",
    "the heart of the king finds sweet peace",
    "the heart of the king is very good",
    "the heart of the king is very strong",
    "the heart of the mother is very beautiful",
    "the heart of the old man is happy",
    "the jars in rack are for the king",
    "the jars in rack are for the master",
    "the light of the sun becomes the fire",
    "the lord gives a loaf to the servant",
    "the lord of all every sees the truth",
    "the lord of all souls finds great content",
    "the lord of all souls finds sweet peace",
    "the lord of all souls sees the sky",
    "the lord of all souls sees the truth",
    "the lord of all things finds great content",
    "the lord of all things finds sweet peace",
    "the lord of all things gives the power",
    "the lord of all things is very content",
    "the lord of all things sees the field",
    "the lord of all things sees the heart",
    "the lord of all things sees the truth",
    "the lord of all things sees the world",
    "the lord of the field finds a stone",
    "the lord of the field sees the grain",
    "the lord of the house finds great peace",
    "the lord of the house finds sweet milk",
    "the lord of the house finds sweet peace",
    "the lord of the house sees the field",
    "the man binds the twisted flax for rope",
    "the man binds the twisted flax into rope",
    "the man will eat and drink with king",
    "the man with an adze cuts the wood",
    "the man with authority finds the stone brick",
    "the man with three fox skins finds peace",
    "the master of all people hears the plea",
    "the master of all people sees the truth",
    "the master of all souls sees the truth",
    "the master of all things gives an offering",
    "the master of all things is very content",
    "the master of truth finds the heart good",
    "the master of the house eats a loaf",
    "the master of the house eats the bread",
    "the master of the house finds a stool",
    "the master of the house gives an offering",
    "the master of the house gives sweet milk",
    "the master of the house goes back home",
    "the master of the house satisfies the guest",
    "the master of the house sees the basket",
    "the master of the house sees the field",
    "the master of the house sees the heart",
    "the master of the house speaks the truth",
    "the master of the house speaks to people",
    "the master of the house speaks with authority",
    "the master plays on the great senet board",
    "the mother gives birth to a beautiful daughter",
    "the mother gives birth to a beautiful son",
    "the mother gives birth to a beautiful youth",
    "the mother gives birth to a strong daughter",
    "the mother gives birth to a strong son",
    "the mother gives birth to a strong youth",
    "the old man finds peace in the city",
    "the old man finds peace in the temple",
    "the old man hears the sound of water",
    "the old man hears the sound of wind",
    "the old man hears the voice of god",
    "the old man hears the voice of truth",
    "the old man sees the heart of youth",
    "the old man sees the truth in life",
    "the old man sits upon the stool mat",
    "the old man speaks to the great goddess",
    "the old man speaks to the great master",
    "the old man speaks to the seated god",
    "the old man speaks to the seated king",
    "the old man speaks with the great god",
    "the old man speaks with the great master",
    "the old man speaks with the seated king",
    "the old man walks the road to peace",
    "the old man walks to the temple gate",
    "the placenta is a sign of great birth",
    "the placenta is a sign of new life",
    "the placenta is placed on the stone altar",
    "the power of the god is very great",
    "the riverbank is a place for the youth",
    "the scribe finds a book in the house",
    "the scribe hears the heart of the people",
    "the scribe hears the voice of the people",
    "the scribe makes a writing about the heart",
    "the scribe makes a writing for the god",
    "the scribe marks a single stroke on papyrus",
    "the scribe marks a single stroke on stone",
    "the scribe places the jars in a rack",
    "the scribe plays a game of senet board",
    "the scribe reads the book for the mother",
    "the scribe reads the book for the people",
    "the scribe reads the book in the temple",
    "the scribe reads the book of the dead",
    "the scribe reads the book of the father",
    "the scribe reads the papyrus scroll for all",
    "the scribe sees the truth in the book",
    "the scribe speaks the truth to the people",
    "the scribe speaks the word of the king",
    "the scribe speaks to the seated king today",
    "the scribe speaks with the power of truth",
    "the scribe uses a chisel on the brick",
    "the scribe uses a chisel on the stone",
    "the scribe uses a chisel on the throne",
    "the scribe uses an adze for the boat",
    "the scribe uses an adze for the chair",
    "the scribe uses an adze for the wood",
    "the scribe uses an adze on the wood",
    "the scribe writes a book about the truth",
    "the scribe writes on a single stroke papyrus",
    "the scribe writes on the white papyrus scroll",
    "the scribe writes truth for the seated king",
    "the scribe writes truth on the papyrus scroll",
    "the scribe writes truth with a reed pen",
    "the seated god sees the heart of man",
    "the seated king sees the beautiful city town",
    "the servant brings a basket to the lord",
    "the servant brings a milk jar for king",
    "the servant with a basket walks the road",
    "the side rib of animal sits on stone",
    "the side rib of ox is for god",
    "the side rib of ox is on altar",
    "the side rib of the ox is good",
    "the sky becomes red above the desert hill",
    "the soul of a man becomes a bird",
    "the soul of a man becomes a star",
    "the soul of the father becomes a star",
    "the spirit ka becomes a bird of fire",
    "the spirit ka becomes a great power now",
    "the spirit ka emerges from the mountain side",
    "the spirit ka emerges from the temple gate",
    "the spirit ka enters the body of man",
    "the spirit ka enters the body of woman",
    "the spirit ka enters the house of life",
    "the spirit ka enters through the temple door",
    "the spirit ka enters through the temple gate",
    "the spirit ka exists in the great temple",
    "the spirit ka exists in the house life",
    "the spirit ka exists within the great temple",
    "the spirit ka exists within the stone wall",
    "the spirit ka finds content in the temple",
    "the spirit ka finds life in the temple",
    "the spirit ka finds peace in the house",
    "the spirit ka finds peace in the sky",
    "the spirit ka finds peace in the temple",
    "the spirit ka finds the path to sky",
    "the spirit ka finds the way to sky",
    "the spirit ka moves between the house walls",
    "the spirit ka remains in the house life",
    "the star is above the house of life",
    "the star is above the mountain of fire",
    "the star shines above the house of gold",
    "the star shines above the house of life",
    "the star shines above the mountain of fire",
    "the stone brick is for the city wall",
    "the swallow flies great distances over the river",
    "the tethering rope holds the boat at river",
    "the tethering rope is near the river water",
    "the throne of the king is made stone",
    "the twisted flax becomes a strong tethering rope",
    "the twisted flax is used for the rope",
    "the venerated man finds peace in the city",
    "the venerated marrow gives life to the bone",
    "the venerated marrow is found in the bone",
    "the venerated marrow is inside the large bone",
    "the venerated marrow is the life of man",
    "the venerated marrow is the strength of man",
    "the water ripple moves near the river bank",
    "the woman sees a lotus plant in water",
    "the woman with a mirror sees her face",
    "woman brings offering to temple for god peace",
    "woman carries basket with handle to house",
    "woman carries water jar across town road slowly",
    "woman fills jar with milk for child gently",
    "woman grinds grain into bread for offering today",
    "woman hears river ripple behind house at dawn",
    "woman listens quietly as god speaks truth",
    "woman opens door bolt before entering house quietly",
    "woman opens gate and enters town calmly",
    "woman opens papyrus scroll and reads slowly inside",
    "woman places bread loaf upon altar offering peacefully",
    "woman places lotus offering upon altar peacefully today",
    "woman pours water ripple into clay jar gently",
    "woman sees star above river at night sky",
    "woman stands beneath star filled night sky",
    "woman walks field holding lotus plant softly",
    "woman walks road beside riverbank calmly",
    "youth drinks milk from jar beside mother quietly",
    "youth drinks water beside lake under sky",
    "youth follows father into temple with reverence",
    "youth follows road toward west under evening sky",
    "youth listens to father speak by fire calmly",
    "youth sits by lake watching stars above quietly",
    "youth watches horizon as sun begins rise"
]
