Input,Target,Prediction
feather sees deity / heart above man upon (truth/maat) god / face,god / deity sees feather (truth/maat) above face / upon man heart,god / deity sees feather (truth/maat) above face / upon man heart
/ / great / big scribe mat book sees house behind stool back above,scribe sees book above stool / mat behind / back great / big house,scribe sees book above stool / mat behind / back great / big house
/ horizon great above soul mighty sky emerge (ba) sees deity god star /,god / deity sees soul (ba) emerge above sky horizon star great / mighty,god / deity sees soul (ba) emerge above sky horizon star great / mighty
city behind man back sees house above riverbank great /,man sees great riverbank above house behind / back city,man sees great riverbank above house behind / back city
authority hear stone king back behind temple / / listen / great mighty,king hear / listen authority behind / back great / mighty stone temple,king hear / listen authority behind / back great / mighty stone temple
stone viper house sees snake brick horned above man emerge,man sees horned viper snake emerge above brick stone house,man sees horned viper snake emerge above brick stone house
behind bread back reed youth / sweet mother shelter woman,woman mother youth behind / back reed shelter sweet bread,woman mother youth behind / back reed shelter sweet bread
town above scribe road to scroll handle house papyrus give basket with,scribe to give papyrus scroll above basket with handle house town road,scribe to give papyrus scroll above basket with handle house town road
/ good above god / sees deity face youth beautiful upon truth /,god / deity sees truth above face / upon beautiful / good youth,god / deity sees truth above face / upon beautiful / good youth
behind back woman town lake lotus sees / house plant above,woman sees lotus plant above lake behind / back house town,woman sees lotus plant above lake behind / back house town
gate great / above behind mighty back city / people emerge,people emerge above gate behind / back great / mighty city,people emerge above gate behind / back great / mighty city
/ town stone / / grain back eat drink house woman sweet speak pellet behind /,woman eat / drink / speak sweet grain / pellet behind / back stone house town,woman eat / drink / speak sweet grain / pellet behind / back stone house town
bolt road above scribe brick stone town door sees house,scribe sees door bolt above brick stone house town road,scribe sees door bolt above brick stone house town road
back emerge road / mountain be) behind sees above (to man desert hill desert hare,man sees desert hare (to be) emerge behind / back desert hill above mountain road,man sees desert hare (to be) emerge behind / back desert hill above mountain road
/ back as like example) field house man father plows (or (tills) / behind,man plows (tills) field like / as (or example) father behind / back house,man plows (tills) field like / as (or example) father behind / back house
fox skins three road sees woman house town vessel above,woman sees three fox skins above vessel house town road,woman sees three fox skins above vessel house town road
boat cross by river people,people cross river by boat,people cross river by boat
back beautiful plows field riverbank man good (tills) / / behind,man plows (tills) field behind / back beautiful / good riverbank,man plows (tills) field behind / back beautiful / good riverbank
/ speak woman eat / grain drink sweet pellet house /,woman eat / drink / speak sweet grain / pellet house,woman eat / drink / speak sweet grain / pellet house
/ to mat basket / (lord house / above stool make servant all) do,servant to do / make basket (lord / all) above stool / mat house,servant to do / make basket (lord / all) above stool / mat house
gives / birth mother beautiful / youth good star reed shelter begets above,mother gives birth / begets youth above reed shelter beautiful / good star,mother gives birth / begets youth above reed shelter beautiful / good star
west (ba) return underground hill soul mountain,soul (ba) return underground west mountain hill,soul (ba) return underground west mountain hill
/ behind back plows good beautiful desert riverbank man mountain (tills) / field,man plows (tills) field behind / back beautiful / good riverbank mountain desert,man plows (tills) field behind / back beautiful / good riverbank mountain desert
love woman child youth sweet life seated,seated woman love child youth life sweet,seated woman love child youth life sweet
writing scroll stone make do / papyrus to / scribe scribe above house,scribe to do / make writing / scribe above papyrus scroll stone house,scribe to do / make writing / scribe above papyrus scroll stone house
above house scribe / / behind city back senet sees stool board stone mat,scribe sees senet board above stool / mat behind / back stone house city,scribe sees senet board above stool / mat behind / back stone house city
house / rest stool mat man,man rest stool / mat house,man rest stool / mat house
negation authority (no/not) people above hear city listen king /,king negation (no/not) hear / listen authority above people city,king negation (no/not) hear / listen authority above people city
/ face / above sees king power god town city stability deity (djed) upon,god / deity sees stability (djed) power above face / upon king city town,god / deity sees stability (djed) power above face / upon king city town
city behind king mighty road above temple stone / adze back chisel sees,king sees adze chisel above stone behind / back mighty temple road city,king sees adze chisel above stone behind / back mighty temple road city
bolt god door peace deity / house opens,god / deity opens door bolt house peace,god / deity opens door bolt house peace
god / upon sees power above stability face (spirit) (djed) ka,ka (spirit) sees stability (djed) power above face / upon god,ka (spirit) sees stability (djed) power above face / upon god
/ back / slope road to man mountain west behind hill road retreat return,man to return / retreat west mountain road behind / back hill slope road,man to return / retreat west mountain road behind / back hill slope road
god thing above heart hear deity listen beautiful life / good / /,god / deity hear / listen heart above beautiful / good life thing,god / deity hear / listen heart above beautiful / good life thing
back slope mountain great (ba) behind desert mighty hill / above hill soul emerge /,soul (ba) emerge above mountain behind / back great / mighty desert hill hill slope,soul (ba) emerge above mountain behind / back great / mighty desert hill hill slope
beautiful (ankh) life king to altar behind back give /,king to give life (ankh) behind / back beautiful altar,king to give life (ankh) behind / back beautiful altar
sees above scribe / adze stone chisel behind brick back,scribe sees adze chisel above brick behind / back stone,scribe sees adze chisel above brick stone behind / back
/ pellet sweet field sickle hoe man grain sees above,man sees sickle hoe above sweet grain / pellet field,man sees sickle hoe above sweet grain / pellet field
star (ba) above emerge soul sky horizon,soul (ba) emerge above horizon sky star,soul (ba) emerge above horizon sky star
man toward town leave desert,man leave town toward desert,man leave town toward desert
heart above / / sky god deity give peace satisfy to horizon,god / deity to give peace / satisfy heart above sky horizon,god / deity to give peace / satisfy heart above sky horizon
hear listen god / temple behind / / heart / city deity great back mighty stone,god / deity hear / listen heart behind / back great / mighty stone temple city,god / deity hear / listen heart behind / back great / mighty stone temple city
/ heart as become (or venerated example) like marrow youth father /,youth become venerated / marrow like / as (or example) father heart,youth become venerated / marrow like / as (or example) father heart
beautiful great man / town city sees above / good star,man sees beautiful / good star above great city / town,man sees beautiful / good star above great city / town
god peace dwell temple content,god dwell temple peace content,god dwell temple peace content
as / truth star beautiful / like god deity (or example) sees,god / deity sees truth like / as (or example) beautiful star,god / deity sees truth like / as (or example) beautiful star
as father like example) venerated marrow youth (or / / become,youth become venerated / marrow like / as (or example) father,youth become venerated / marrow like / as (or example) father
soul seek ba west peace,soul ba seek peace west,soul ba seek peace west
listen hear authority king scribe (no/not) house / above negation,scribe negation (no/not) hear / listen authority above king house,scribe negation (no/not) hear / listen authority above king house
listen hear beautiful deity good / life above / god thing heart /,god / deity hear / listen heart above beautiful / good life thing,god / deity hear / listen heart above beautiful / good life thing
truth above face thing / good heart sees / life beautiful deity upon / god,god / deity sees truth above face / upon beautiful / good heart life thing,god / deity sees truth above face / upon beautiful / good heart life thing
to behind hill west mountain back return retreat desert road / / man,man to return / retreat west mountain road behind / back desert hill,man to return / retreat west mountain road behind / back desert hill
gate man town enter city,man enter gate town city,man enter gate town city
drink bread / / stone sweet ka loaf (spirit) eat of house speak milk jar,ka (spirit) eat / drink / speak loaf of bread milk jar sweet stone house,ka (spirit) eat / drink / speak loaf of bread milk jar sweet stone house
hold hand father love child,father hold child hand love,father hold child hand love
peace big behind god altar offering back / to above king / / great give,king to give offering above peace / altar behind / back great / big god,king to give offering above peace / altar behind / back great / big god
board / basket rope above all) coil gate of senet house (lord,senet board coil of rope basket (lord / all) above house gate,senet board coil of rope basket (lord / all) above house gate
speak / milk ripple conical ka (ankh) (spirit) loaf jar water eat loaf (give) drink of bread life sweet / jar,ka (spirit) eat / drink / speak loaf of bread conical loaf (give) jar milk jar water ripple sweet life (ankh),ka (spirit) eat / drink / speak loaf of bread conical loaf (give) jar milk jar water ripple sweet life (ankh)
plant river behind beautiful above / back sees lake woman lotus,woman sees lotus plant above lake behind / back beautiful river,woman sees lotus plant above lake behind / back beautiful river
of coil river behind above back rope riverbank sees man road lake /,man sees coil of rope above road behind / back riverbank river lake,man sees coil of rope above road behind / back riverbank river lake
house guide peace family father,father guide family house peace,father guide family house peace
above vessel sees skins fox town back three scribe behind /,scribe sees three fox skins above vessel behind / back town,scribe sees three fox skins above vessel behind / back town
big great door back house people / bolt behind town / city / gate,people gate door bolt city / town behind / back great / big house,people gate door bolt city / town behind / back great / big house
life woman (satisfied) / peace love man content house,man love woman life house peace / content (satisfied),man love woman life house peace / content (satisfied)
above / as example) like (or sky (ba) soul star emerge,soul (ba) emerge above sky like / as (or example) star,soul (ba) emerge above sky like / as (or example) star
hill behind sees desert storm above mountain back people fire /,people sees storm fire above mountain behind / back desert hill,people sees storm fire above mountain behind / back desert hill
above / man sweet pellet field hoe sees sickle grain,man sees sickle hoe above sweet grain / pellet field,man sees sickle hoe above sweet grain / pellet field
become / god venerated (or / sees marrow as example) youth mother like,mother sees youth become venerated / marrow like / as (or example) god,mother sees youth become venerated / marrow like / as (or example) god
(repeated) life pellet riverbank / grain plows field,riverbank field plows (repeated) grain / pellet life,senet board coil of grain / pellet life riverbank
life jar / ankh god vessel altar deity offering heart peace give to /,god / deity to give peace / altar offering jar vessel heart life ankh,god / deity to give peace / altar offering jar vessel heart life ankh
town city people gate gather,people gather gate city town,people gather gate city town
/ mountain good river beautiful behind star / sees god back,god sees beautiful / good star behind / back mountain river,god sees beautiful / good star behind / back mountain river
stone mighty heart city deity behind listen / great hear / temple back / / god,god / deity hear / listen heart behind / back great / mighty stone temple city,god / deity hear / listen heart behind / back great / mighty stone temple city
(ba) star travel soul with sun,soul (ba) travel with sun star,soul (ba) travel with sun star
ripple water jar pour mother,mother pour water ripple jar,mother pour water ripple jar
youth example) as begets gives good sky beautiful (or birth horizon / like / above mother star /,mother gives birth / begets youth like / as (or example) beautiful / good star above sky horizon,mother gives birth / begets youth like / as (or example) beautiful / good star above sky horizon
mountain backbone behind side sees belly mighty animal man / great / rib back /,man sees animal belly backbone side / rib behind / back great / mighty mountain,man sees animal belly backbone side / rib behind / back great / mighty mountain
town above basket handle scroll road house with give papyrus to scribe,scribe to give papyrus scroll above basket with handle house town road,scribe to give papyrus scroll above basket with handle house town road
be) hill sees behind / back emerge road hare man (to desert desert,man sees desert hare (to be) emerge behind / back desert hill road,man sees desert hare (to be) emerge behind / back desert hill road
upon power (spirit) king / stability ka above face (djed),stability (djed) power ka (spirit) above face / upon king,stability (djed) power ka (spirit) above face / upon king
scribe beautiful to riverbank / writing back do scribe behind / / make,scribe to do / make writing / scribe behind / back beautiful riverbank,scribe to do / make writing / scribe behind / back beautiful riverbank
peace rest soul west,soul rest west peace,soul rest west peace
as example) authority listen like / (or god hear king great /,king hear / listen authority like / as (or example) great god,king hear / listen authority like / as (or example) great god
sweet woman sing heart joy,woman sing joy sweet heart,woman sing joy sweet heart
town walk gate city road man,man walk road city town gate,man walk road city town gate
stone sees above behind back temple king adze / chisel,king sees adze chisel above stone behind / back temple,king sees adze chisel above stone behind / back temple
child night house mother guard,mother guard house child night,mother guard house child night
side rib man animal above belly backbone brick sees /,man sees animal belly backbone side / rib above brick,man sees animal belly backbone side / rib above brick
begets / star example) mother beautiful (or youth as gives / like birth,mother gives birth / begets youth like / as (or example) beautiful star,mother gives birth / begets youth like / as (or example) beautiful star
(ankh) king town life negation (no/not) give city to above,king negation (no/not) to give life (ankh) above city town,king negation (no/not) to give life (ankh) above city town
/ life god give / (ankh) face upon youth deity above to,god / deity to give life (ankh) above face / upon youth,god / deity to give life (ankh) above face / upon youth
grain field sickle man harvest,man harvest field sickle grain,man harvest field sickle grain
basket papyrus scroll back scribe behind temple sees / above with handle stone,scribe sees papyrus scroll above basket with handle behind / back stone temple,scribe sees papyrus scroll above basket with handle behind / back stone temple
do / scribe writing back / make scribe riverbank / behind to,scribe to do / make writing / scribe behind / back riverbank,scribe to do / make writing / scribe behind / back riverbank
road town swallow clump house emerge papyrus sees scribe owl above,scribe sees owl swallow emerge above papyrus clump road house town,scribe sees owl swallow emerge above papyrus clump road house town
man city road gate walk town,man walk road city town gate,man walk road city town gate
/ horizon (or great emerge big above (ba) swallow like soul as sky example) /,soul (ba) emerge above sky like / as (or example) great / big swallow horizon,soul (ba) emerge above sky like / as (or example) great / big swallow horizon
safely sleep child watch mother,mother watch child sleep safely,mother watch child sleep safely
behind brick sees back adze chisel scribe / above stone,scribe sees adze chisel above brick stone behind / back,scribe sees adze chisel above brick stone behind / back
/ youth back old behind / great stone become man temple big,youth become old man behind / back great / big stone temple,youth become old man behind / back great / big stone temple
great behind back vessel sees fox skins three above scribe stone / house big /,scribe sees three fox skins above vessel behind / back great / big stone house,scribe sees three fox skins above vessel behind / back great / big stone house
above stone / scribe behind back adze brick sees chisel,scribe sees adze chisel above brick behind / back stone,scribe sees adze chisel above brick behind / back stone
king back mighty listen hear / great authority / behind gate /,king hear / listen authority behind / back great / mighty gate,king hear / listen authority behind / back great / mighty gate
soul horizon god emerge great mighty (ba) deity sees / sky above star,god / deity sees soul (ba) emerge above sky horizon star great mighty,god / deity sees soul (ba) emerge above sky horizon star great / mighty
beautiful god behind (truth/maat) deity good back / sees / heart feather /,god / deity sees feather (truth/maat) behind / back beautiful / good heart,god / deity sees feather (truth/maat) behind / back beautiful / good heart
mountain desert man (to hill sees road back / hare be) behind emerge desert,man sees desert hare (to be) emerge behind / back desert hill road mountain,man sees desert hare (to be) emerge behind / back desert hill road mountain
/ above house / eat speak woman / sweet basket grain drink pellet beautiful,woman eat / drink / speak sweet grain / pellet above beautiful basket house,woman eat / drink / speak sweet grain / pellet above beautiful basket house
judge maat god heart feather,god judge heart feather maat,god judge heart feather maat
servant bring command king jar,king command servant bring jar,king command servant bring jar
king servant command jar bring,king command servant bring jar,king command servant bring jar
field swallow sees owl above papyrus clump emerge lake scribe,scribe sees owl swallow emerge above papyrus clump field lake,scribe sees owl swallow emerge above papyrus clump field lake
sees handle skins with scribe basket fox above house three,scribe sees three fox skins above basket with handle house,scribe sees three fox skins above basket with handle house
heart above sees god face (truth/maat) king / upon deity / feather,god / deity sees feather (truth/maat) above face / upon king heart,god / deity sees feather (truth/maat) above face / upon king heart
/ seated / gate behind king king above / back great god mighty throne,king seated god / king above throne behind / back great / mighty gate,king seated god / king above throne behind / back great / mighty gate
/ upon good heart beautiful life (ba) / above soul / peace satisfy face god,heart peace / satisfy soul (ba) above face / upon beautiful / good god life,heart peace / satisfy soul (ba) above face / upon beautiful / good god life
mat all) / do to stool make / basket above / servant (lord,servant to do / make basket (lord / all) above stool / mat,servant to do / make basket (lord / all) above stool / mat
of shelter house / sweet woman behind mother loaf bread back youth reed town,woman mother youth behind / back reed shelter sweet loaf of bread house town,woman mother youth behind / back reed shelter sweet loaf of bread house town
above deity sky god emerge / star sees soul horizon (ba),god / deity sees soul (ba) emerge above sky horizon star,god / deity sees soul (ba) emerge above sky horizon star
writing house / / do scroll to town scribe make scribe papyrus above stone,scribe to do / make writing / scribe above papyrus scroll stone house town,scribe to do / make writing / scribe above papyrus scroll stone house town
/ sky west above deity horizon star god sees,god / deity sees sky star above horizon west,god / deity sees sky star above horizon west
sweet peace woman heart smile,woman smile sweet heart peace,woman smile sweet heart peace
journey road walk foot father,father walk foot road journey,father walk foot road journey
/ ka begets deity birth (spirit) gives / life god,god / deity gives birth / begets life ka (spirit),god / deity gives birth / begets life ka (spirit)
mountain god beautiful good / river sees behind back star /,god sees beautiful / good star behind / back mountain river,god sees beautiful / good star behind / back mountain river
to / gate stool mat basket / house all) servant above make (lord do /,servant to do / make basket (lord / all) above stool / mat house gate,servant to do / make basket (lord / all) above stool / mat house gate
marrow back venerated youth stone road city become temple behind / /,youth become venerated / marrow behind / back stone temple city road,youth become venerated / marrow behind / back stone temple city road
watch old man quietly sky,old man watch sky quietly,old man watch sky quietly
make scribe to good writing scribe / / / behind beautiful city do / back riverbank,scribe to do / make writing / scribe behind / back beautiful / good riverbank city,scribe to do / make writing / scribe behind / back beautiful / good riverbank city
close house door bolt man,man close door bolt house,man close door bolt house
walk hill road mountain man desert,man walk road desert hill mountain,man walk road desert hill mountain
plant above lotus / sees back soul (ba) behind river good / beautiful lake,soul (ba) sees lotus plant above lake behind / back beautiful / good river,soul (ba) sees lotus plant above lake behind / back beautiful / good river
storm fire god fear send,god send storm fire fear,god send storm fire fear
deity upon beautiful above feather good face sees thing / / (truth/maat) youth god /,god / deity sees feather (truth/maat) above face / upon beautiful / good youth thing,god / deity sees feather (truth/maat) above face / upon beautiful / good youth thing
seat power rise king throne,king rise seat throne power,king rise seat throne power
mountain fire / sees back storm above hill behind people desert,people sees storm fire above mountain behind / back desert hill,people sees storm fire above mountain behind / back desert hill
stone side animal sees backbone / rib man belly brick above,man sees animal belly backbone side / rib above brick stone,man sees animal belly backbone side / rib above brick stone
stone adze brick town chisel house road sees above scribe,scribe sees adze chisel above brick stone house town road,scribe sees adze chisel above brick stone house town road
/ house door opens god bolt deity peace,god / deity opens door bolt house peace,god / deity opens door bolt house peace
bread / servant eat thing speak drink sweet jar / of loaf milk,servant eat / drink / speak loaf of bread milk jar sweet thing,servant eat / drink / speak loaf of bread milk jar sweet thing
/ seated king great king mighty gate / / back behind god above city throne,king seated god / king above throne behind / back great / mighty gate city,king seated god / king above throne behind / back great / mighty gate city
authority listen like all / lord / example) servant as hear / (or,servant hear / listen authority like / as (or example) lord / all,servant hear / listen authority like / as (or example) lord / all
sees above star horizon (spirit) (ba) sky great soul ka,ka (spirit) sees soul (ba) above sky horizon great star,ka (spirit) sees soul (ba) above sky horizon great star
above back sees chisel / behind adze stone scribe town house brick,scribe sees adze chisel above brick stone behind / back house town,scribe sees adze chisel above brick stone behind / back house town
/ back stone bolt / road behind town city gate door people,people gate door bolt city / town behind / back stone road,people gate door bolt city / town behind / back stone road
(or become / example) like venerated / great big youth marrow father as /,youth become venerated / marrow like / as (or example) great / big father,youth become venerated / marrow like / as (or example) great / big father
king above beautiful stone great horizon sees good / house,king sees great stone house above beautiful / good horizon,king sees great stone house above beautiful / good horizon
sees brick sickle hoe chisel man adze house / behind back,man sees sickle hoe adze chisel behind / back brick house,man sees sickle hoe adze chisel behind / back brick house
face scarab above sees / become / / / star upon horizon beautiful god good deity,god / deity sees scarab / become above face / upon beautiful / good horizon star,god / deity sees scarab / become above face / upon beautiful / good horizon star
(ankh) to deity give god king face / above / life upon,god / deity to give life (ankh) above face / upon king,god / deity to give life (ankh) above face / upon king
gate great / stone big city house people door bolt / town,people gate door bolt city / town great / big house stone,people gate door bolt city / town great / big house stone
mighty great sees sky emerge / soul above deity horizon star god / (ba),god / deity sees soul (ba) emerge above sky horizon star great / mighty,god / deity sees soul (ba) emerge above sky horizon star great / mighty
behind sees emerge (to hill slope hare desert man back / be),man sees desert hare (to be) emerge behind / back hill slope,man sees desert hare (to be) emerge behind / back hill slope
star sees above / soul great mighty emerge god (ba) / deity sky horizon,god / deity sees soul (ba) emerge above sky horizon star great / mighty,god / deity sees soul (ba) emerge above sky horizon star great / mighty
without face man storm fear,man face storm without fear,man face storm without fear
