Input,Target,Prediction
eat bread / man of loaf / drink speak,man eat / drink / speak loaf of bread,man eat / drink / speak loaf of bread
the lord voice truth hears of the,the lord hears the voice of truth,the lord hears the voice of truth
/ satisfy life bolt heart door peace house,door bolt house peace / satisfy life heart,door bolt house peace / satisfy life heart
heart the fire becomes a in stone,the heart becomes a stone in fire,the heart becomes a stone in fire
chick old the man a quail sees,the old man sees a quail chick,the old man sees a quail chick
of ox youth the sees head the,the youth sees the head of ox,the youth sees the head of ox
sees of lord the ox head the,the lord sees the head of ox,the lord sees the head of ox
woman finds beauty the lotus in the,the woman finds beauty in the lotus,the woman finds beauty in the lotus
to a servant master gives the jar,the master gives a jar to servant,the master gives a jar to servant
life west exists is underground found) (or / opens,life opens / exists (or is found) underground west,life opens / exists (or is found) underground west
youth quail life town man chick people,quail chick youth life people town man,quail chick youth life people town man
king hears and people gives justice,king hears people and gives justice,king hears people and gives justice
upon places bread servant the altar the,the servant places bread upon the altar,the servant places bread upon the altar
people voice master the of hears the,the master hears the voice of people,the master hears the voice of people
servant house great the returns a to,a servant returns to the great house,a servant returns to the great house
sees lotus the woman a beautiful plant,the beautiful woman sees a lotus plant,the woman sees a beautiful lotus plant
the the cloth scribe upon folded writes,the scribe writes upon the folded cloth,the scribe writes upon the folded cloth
counts head cattle master a the thousand,the master counts a thousand cattle head,the master counts a thousand cattle head
above shines star desert night hill,star shines above desert hill night,star shines above desert hill night
of truth word a hears lord the,the lord hears a word of truth,the lord hears a word of truth
counts head cattle the master thousand a,the master counts a thousand cattle head,the master counts a thousand cattle head
/ water ripple grain river pellet field,river water ripple field grain / pellet,river water ripple field grain / pellet
scribe papyrus clump on writes the the,the scribe writes on the papyrus clump,the scribe writes on the papyrus clump
hill shines desert above star night,star shines above desert hill night,star shines above desert hill night
life great gives deity god / birth people,great god / deity gives birth life people,great god / deity gives birth life people
the soul a of becomes swallow sky,the soul becomes a swallow of sky,the soul becomes a swallow of sky
finds the west ba peace in soul,the soul ba finds peace in west,the soul ba finds peace in west
sickle plant a man a uses on,a man uses a sickle on plant,a man uses a sickle on plant
gives town of lord every the bread,the lord of every town gives bread,the lord of every town gives bread
god the great djed sees the pillar,the great god sees the djed pillar,the great god sees the djed pillar
in field stone a the woman finds,the woman finds a stone in field,the woman finds a stone in field
of makes a the servant coil rope,the servant makes a coil of rope,the servant makes a coil of rope
plant sickle a uses a man on,a man uses a sickle on plant,a man uses a sickle on plant
pen to the scribe uses a write,the scribe uses a pen to write,the scribe uses a pen to write
exists god the great the sky in,the great god exists in the sky,the great god guides the sky in sky
strength / people force life power future youth,youth strength / force life power people future,youth strength / force life power people future
the old upon sits the man stool,the old man sits upon the stool,the old man sits upon the stool
sits the above the throne king on,the king sits on the throne above,the king sits on the throne above
the gives mother father to jar a,the father gives a jar to mother,the father gives a jar to mother
on the the ground belly is animal,the animal belly is on the ground,the animal belly is on the ground
river road ripple town water cross,cross river water ripple road town,cross river water ripple road town
truth sees feather god heart (truth/maat),feather (truth/maat) heart truth god sees,feather (truth/maat) heart truth god sees
power deity strength great stability / / force mighty (djed) / god,god / deity great / mighty power strength / force stability (djed),god / deity great / mighty power strength / force stability (djed)
plows field youth small the the tills,the youth plows tills the small field,the youth plows tills the small field
symbol authority of king crown wears,king wears crown symbol of authority,king wears crown symbol of authority
sky (ba) light emerges soul horizon,soul (ba) emerges horizon sky light,soul (ba) emerges horizon sky light
the carries grain servant basket of a,the servant carries a basket of grain,the servant carries a basket of grain
finds the all heart of the lord,the lord of all finds the heart,the lord of all finds the heart
/ people give justice king listen hear,king hear / listen people give justice,king hear / listen people give justice
star in guides desert man a the,a star guides the man in desert,a star guides the man in desert
peace woman (satisfied) life love / content,woman love life peace / content (satisfied),woman love life peace / content (satisfied)
feather eye sees truth (truth/maat) god,god sees eye truth feather (truth/maat),god sees eye truth feather (truth/maat)
behind sits king brick stone the the,the king sits behind the stone brick,the king sits behind the stone brick
the does see west sky the soul,the soul does see the west sky,the soul does see the west sky
area tills servant riverbank the plows the,the servant plows tills the riverbank area,the servant plows tills the riverbank area
for hoe a work master the uses,the master uses a hoe for work,the master uses a hoe for work
the hears of the all servant lord,the servant hears the lord of all,the servant hears the lord of all
the a lotus sees thousand plants master,the master sees a thousand lotus plants,the master sees a thousand lotus plants
finds in the jar a woman town,the woman finds a jar in town,the woman finds a jar in town
the bread king scribe with eats the,the scribe eats bread with the king,the scribe eats bread with the king
scribe writes folded the the upon cloth,the scribe writes upon the folded cloth,the scribe writes upon the folded cloth
/ youth people woman birth gives begets life,woman gives birth / begets life youth people,woman gives birth / begets life youth people
people god bread loaf of offering temple / peace life altar,peace / altar offering loaf of bread god people life temple,peace / altar offering loaf of bread god people life temple
man seated heart house peace mat / satisfy stool life /,house stool / mat seated man peace / satisfy heart life,house stool / mat seated man peace / satisfy heart life
becomes the a spirit in soul sky,the soul becomes a spirit in sky,the soul becomes a spirit in sky
door gate content peace / bolt (satisfied) house,door bolt gate house peace / content (satisfied),door bolt gate house peace / content (satisfied)
(satisfied) / peace woman love content life,woman love life peace / content (satisfied),woman love life peace / content (satisfied)
king power great throne sits upon,king sits upon throne great power,king sits upon throne great power
the scribe authority gives to king the,the king gives authority to the scribe,the king gives authority to the scribe
power throne god stability (djed) throne king authority seat /,throne seat / throne authority power god king stability (djed),throne seat / throne authority power god king stability (djed)
reads scroll papyrus the now scribe the,the scribe reads the papyrus scroll now,the scribe reads the papyrus scroll now
stone the behind brick king the sits,the king sits behind the stone brick,the king sits behind the stone brick
king hears people of the the truth,the king hears the truth of people,the king hears the truth of people
the eats the bird great small grain,the great bird eats the small grain,the great bird eats the small grain
the servant master the gives to authority,the master gives authority to the servant,the master gives authority to the servant
(ba) soul afterlife west underground life,west underground soul (ba) afterlife life,west underground soul (ba) afterlife life
the bird sees the head youth of,the youth sees the head of bird,the youth sees the head of bird
the the to king people power gives,the king gives power to the people,the king gives power to the people
of soul west the the horizon sees,the soul sees the horizon of west,the soul sees the horizon of west
town cross ripple river road water,cross river water ripple road town,cross river water ripple road town
people king power justice hears speaks,king hears people speaks justice power,king hears people speaks justice power
of spirit fire the becomes a soul,the soul becomes a spirit of fire,the soul becomes a spirit of fire
a of all does thing lord the,the lord of all does a thing,the lord of all does a thing
woman life woman seated love heart,woman seated woman life love heart,woman seated woman life love heart
youth the the finds head of bird,the youth finds the head of bird,the youth finds the head of bird
woman a the finds bread of basket,the woman finds a basket of bread,the woman finds a basket of bread
fox the the skins three finds servant,the servant finds the three fox skins,the servant finds the three fox skins
across moves hill the cobra the desert,the cobra moves across the desert hill,the cobra moves across the desert hill
house / power life stone city brick people town,brick stone house city / town people life power,brick stone house city / town people life power
voice joyful with people praise god,people praise god with joyful voice,people praise god with joyful voice
life the of the soul lake finds,the soul finds the lake of life,the soul finds the lake of life
servant carries basket of the grain a,the servant carries a basket of grain,the servant carries a basket of grain
people sedge the to king life gives,the sedge king gives life to people,the sedge king gives life to people
great the the sees djed pillar god,the great god sees the djed pillar,the great god sees the djed pillar
gift gives the strength king the of,the king gives the gift of strength,the king gives the gift of strength
the in eats gate the scribe bread,the scribe eats bread in the gate,the scribe eats bread in the gate
door the the woman behind stays house,the woman stays behind the house door,the woman stays behind the house door
the the jar milk scribe finds inside,the scribe finds the milk jar inside,the scribe finds the milk jar inside
/ hill force mountain power horizon strength,hill mountain horizon strength / force power,hill mountain horizon strength / force power
master makes writing on vessel the the,the master makes writing on the vessel,the master makes writing on the vessel
soul becomes the now hare desert a,the soul becomes a desert hare now,the soul becomes a desert hare now
way to the city shows the horizon,the horizon shows the way to city,the horizon shows the way to city
plows field grain / life pellet hoe plant (repeated) people,hoe plows (repeated) field plant grain / pellet life people,hoe plows (repeated) field plant grain / pellet life people
great the storm a behind emerges mountain,a great storm emerges behind the mountain,a great storm emerges behind the mountain
a of the milk vessel gives servant,the servant gives a vessel of milk,the servant gives a vessel of milk
servant to gives the strength the master,the master gives strength to the servant,the master gives strength to the servant
lotus the nearby a finds woman plant,the woman finds a lotus plant nearby,the woman finds a lotus plant nearby
gate town found) opens / exists people life is (or,gate opens / exists (or is found) town people life,gate opens / exists (or is found) town people life
above sees sky star god horizon life,above horizon sky star god life sees,above horizon sky star god life sees
cross water ripple road town river,cross river water ripple road town,cross river water ripple road town
king plant sees the lotus the sedge,the sedge king sees the lotus plant,the sedge king sees the lotus plant
riverbank leaf water reed papyrus clump,riverbank reed leaf papyrus clump water,riverbank reed leaf papyrus clump water
of king horizon sky the sees the,the king sees the horizon of sky,the king sees the horizon of sky
marrow wisdom venerated / man old heart,old man venerated / marrow wisdom heart,old man venerated / marrow wisdom heart
the master the king gives authority to,the master gives authority to the king,the master gives authority to the king
power the the to people king gives,the king gives power to the people,the king gives power to the people
storm seek fear people house,people fear storm seek house,people fear storm seek house
plant lotus plant river ripple field water life,field plant lotus plant life water ripple river,field plant lotus plant life water ripple river
god above sky horizon sees star,above sky star horizon god sees,above sky star horizon god sees
grants and stability djed power god,god grants power and stability djed,god grants power and stability djed
the truth lord of every hears city,the lord of every city hears truth,the lord of every city hears truth
gift of king the life the gives,the king gives the gift of life,the king gives the gift of life
people (give) loaf conical life offering god,conical loaf (give) offering god people life,conical loaf (give) offering god people life
learns writing long through study scribe,scribe learns writing through long study,scribe learns writing through long study
the the from cobra emerges rack jar,the cobra emerges from the jar rack,the cobra emerges from the jar rack
/ force power big / hill mountain great strength,great / big mountain hill strength / force power,great / big mountain hill strength / force power
sky life god horizon emerge light,emerge horizon sky light life god,emerge horizon sky light life god
the the gate eats in scribe bread,the scribe eats bread in the gate,the scribe eats bread in the gate
truth every lord of city the hears,the lord of every city hears truth,the lord of every city hears truth
people stone house town brick / life city,brick stone house city / town people life,brick stone house city / town people life
from a scroll scribe reads the papyrus,the scribe reads from a papyrus scroll,the scribe reads from a papyrus scroll
god protects people with great strength,god protects people with great strength,god protects people with great strength
(or opens exists found) underground / is west life,life opens / exists (or is found) underground west,life opens / exists (or is found) underground west
the truth upon the lives word heart,the heart lives upon the word truth,the heart lives upon the word truth
man hears wisdom old god of,old man hears wisdom of god,old man hears wisdom of god
backbone / strength (djed) force power stability life,backbone stability (djed) strength / force life power,backbone stability (djed) strength / force life power
/ god three old heart fox venerated skins people marrow man life,three fox skins old man venerated / marrow heart life god people,three fox skins venerated / marrow old man heart life god people
water appears the star a above ripple,a star appears above the water ripple,a star appears above the water ripple
to town the youth finds a road,the youth finds a road to town,the youth finds a road to town
man desert hare the old sees the,the old man sees the desert hare,the old man sees the desert hare
thousand the gives lord things beautiful a,the lord gives a thousand beautiful things,the lord gives a thousand beautiful things
peace makes king the for people a,the king makes a peace for people,the king makes a peace for people
every of town bread the lord gives,the lord of every town gives bread,the lord of every town gives bread
gift strength the the gives of king,the king gives the gift of strength,the king gives the gift of strength
pen a write scribe to the uses,the scribe uses a pen to write,the scribe uses a pen to write
master now the land plows the tills,the master plows tills the land now,the master plows tills the land now
king the to the sedge lord gives,the king gives the sedge to lord,the king gives the sedge to lord
master uses on the chisel stone a,the master uses a chisel on stone,the master uses a chisel on stone
great gives birth deity life / god people,great god / deity gives birth life people,great god / deity gives birth life people
the the sedge gives to king lord,the king gives the sedge to lord,the king gives the sedge to lord
throne cloth / house seat seated man folded,folded cloth seat / throne seated man house,folded cloth seat / throne seated man house
youth the eats conical bread loaf a,the youth eats a conical loaf bread,the youth eats a conical loaf bread
board the on plays senet scribe the,the scribe plays on the senet board,the scribe plays on the senet board
stability people (djed) (ankh) god life power,life (ankh) power god people stability (djed),life (ankh) power god people stability (djed)
a of rope servant coil the makes,the servant makes a coil of rope,the servant makes a coil of rope
the the stability djed for king gives,the king gives the djed for stability,the king gives the djed for stability
scribe writing temple book scribe /,scribe writing / scribe book temple,scribe writing / scribe book temple
finds bird youth of sky a the,the youth finds a bird of sky,the youth finds a bird of sky
a carries fox servant the three skins,a servant carries the three fox skins,a servant carries the three fox skins
the people in the house peace find,the people find peace in the house,the people find peace in the house
life field water abundance ripple plant river,river water ripple field plant life abundance,river water ripple field plant life abundance
the gives a to master servant chisel,the master gives a chisel to servant,the master gives a chisel to servant
the lord of life the sees heart,the lord of life sees the heart,the lord of life sees the heart
plows ox (repeated) force field head strength of /,head of ox plows (repeated) field strength / force,head of ox plows (repeated) field strength / force
to king gives the authority father the,the king gives authority to the father,the king gives authority to the father
/ opens exists west underground found) life is (or,life opens / exists (or is found) underground west,life opens / exists (or is found) underground west
a uses for scribe work forearm a,a scribe uses a forearm for work,a scribe uses a forearm for work
soul (ba) sky star horizon,soul (ba) sky star horizon,soul (ba) sky star horizon
to god gives the heart peace the,the god gives peace to the heart,the god gives peace to the heart
life peace people heart satisfy /,peace / satisfy heart people life,peace / satisfy heart people life
riverbank near water holds flowing reeds,riverbank holds reeds near flowing water,riverbank holds reeds near flowing water
star sky a moves across desert the,a star moves across the desert sky,a star moves across the desert sky
snake woman the in no sees house,the woman sees no snake in house,the woman sees no snake in house
power to do thing do / king make authority god,do to do / make thing power authority god king,do to do / make thing power authority god king
finds a throne of the gold soul,the soul finds a throne of gold,the soul finds a throne of gold
counts pellets master a the thousand grain,the master counts a thousand grain pellets,the master counts a thousand grain pellets
heart man hear wisdom listen old /,old man wisdom heart hear / listen,old man wisdom heart hear / listen
great to king authority gives god the,the great god gives authority to king,the great god gives authority to king
the the moves hill viper horned on,the horned viper moves on the hill,the horned viper moves on the hill
small quail chick the sees youth the,the youth sees the small quail chick,the youth sees the small quail chick
life (to hare be) snake desert desert fear,desert hare (to be) fear snake desert life,desert hare (to be) fear snake desert life
milk servant the the now jar finds,the servant finds the milk jar now,the servant finds the milk jar now
eat drink loaf / speak / bread man of,man eat / drink / speak loaf of bread,man eat / drink / speak loaf of bread
people gives god the life to great,the great god gives life to people,the great god gives life to people
the under sky truth the scribe finds,the scribe finds truth under the sky,the scribe finds truth under the sky
sky sees woman the in a star,the woman sees a star in sky,the woman sees a star in sky
god king makes the a house for,the king makes a house for god,the king makes a house for god
man hill sees the old the desert,the old man sees the desert hill,the old man sees the desert hill
youth father mother people placenta life,father mother placenta life youth people,father mother placenta life youth people
top the mountain star shines above a,a star shines above the mountain top,a star shines above the mountain top
a the jar of master milk gives,the master gives a jar of milk,the master gives a jar of milk
life an makes lord the of offering,the lord makes an offering of life,the lord makes an offering of life
brick king of the a makes city,the king makes a city of brick,the king makes a city of brick
town quail town city / life gate chick people youth,quail chick youth life people town city / town gate,quail chick youth life people town city / town gate
bolt the door cobra lies a behind,a cobra lies behind the door bolt,a cobra lies behind the door bolt
the head of ox lord the sees,the lord sees the head of ox,the lord sees the head of ox
the djed ba soul the finds pillar,the soul ba finds the djed pillar,the soul ba finds the djed pillar
soul underground horizon journey (ba) west god life,west horizon underground soul (ba) journey life god,west horizon underground soul (ba) journey life god
god grants thousand life years,god grants life thousand years,god grants life thousand years
table master writing sits the behind the,the master sits behind the writing table,the master sits behind the writing table
knowledge book / scroll papyrus power writing scribe,book papyrus scroll writing / scribe knowledge power,book papyrus scroll writing / scribe knowledge power
force fear storm heart strength / man life sky,storm sky fear strength / force heart man life,storm sky fear strength / force heart man life
the king the of gives all basket,the king gives the basket of all,the king gives the basket of all
truth heart the finds temple the in,the heart finds truth in the temple,the heart finds truth in the temple
hill slope people life road mountain town,mountain hill slope road town people life,mountain hill slope road town people life
people brick life town city power stone house /,brick stone house city / town people life power,brick stone house city / town people life power
journey road town foot life people,foot road journey town life people,foot road journey town life people
the lord sees of backbone all the,the lord of all sees the backbone,the lord of all sees the backbone
hears father the heart the of word,the heart hears the word of father,the heart hears the word of father
father a sees chick emerge quail the,the father sees a quail chick emerge,the father sees a quail chick emerge
for altar placed upon offering god,offering placed upon altar for god,offering placed upon altar for god
the in the jars sees lord rack,the lord sees the jars in rack,the lord sees the jars in rack
force power horizon mountain / hill strength,hill mountain horizon strength / force power,hill mountain horizon strength / force power
(tills) life plant pellet / field cut offering plows grain,cut plant field plows (tills) grain / pellet life offering,cut plant field plows (tills) grain / pellet life offering
road / people town behind house life back gate,behind / back house road town gate people life,behind / back house road town gate people life
bolt house (satisfied) gate door / content peace,door bolt gate house peace / content (satisfied),door bolt gate house peace / content (satisfied)
the stones finds thousand brick a servant,the servant finds a thousand brick stones,the servant finds a thousand brick stones
youth repeated soil the the plows garden,the youth plows repeated the garden soil,the youth plows repeated the garden soil
town people gate back house behind road /,behind / back house gate road town people,behind / back house gate road town people
heart life the hears the of word,the heart hears the word of life,the heart hears the word of life
for god builds great king temple,king builds temple for great god,king builds temple for great god
king people hears justice gives and,king hears people and gives justice,king hears people and gives justice
upon lives truth the heart the word,the heart lives upon the word truth,the heart lives upon the word truth
life hill west horizon (ba) desert underground soul,desert hill horizon west underground soul (ba) life,desert hill horizon west underground soul (ba) life
return to the does man town old,the old man does return to town,the old man does return to town
stands the above gate the lord city,the lord stands above the city gate,the lord stands above the city gate
water people vessel life ripple jar,jar vessel water ripple life people,jar vessel water ripple life people
of father heart the the child hears,the father hears the heart of child,the father hears the heart of child
of the the woman birth placenta sees,the woman sees the placenta of birth,the woman sees the placenta of birth
town servant the to carries a hoe,the servant carries a hoe to town,the servant carries a hoe to town
the of the scribe eye god sees,the scribe sees the eye of god,the scribe sees the eye of god
woman jar milk a of finds the,the woman finds a jar of milk,the woman finds a jar of milk
the father a loaf gives of bread,the father gives a loaf of bread,the father gives a loaf of bread
servant in jars carries a the rack,a servant carries the jars in rack,a servant carries the jars in rack
three god heart venerated life people / marrow man skins old fox,three fox skins old man venerated / marrow heart life god people,three fox skins old man venerated / marrow heart life god people
twisted writing flax with scribe makes the,the scribe makes writing with twisted flax,the scribe makes writing with twisted flax
servant tethering walks behind the the rope,the servant walks behind the tethering rope,the servant walks behind the tethering rope
heart a god way to the finds,the heart finds a way to god,the heart finds a way to god
plows master tills land the now the,the master plows tills the land now,the master plows tills the land now
the city shows to the horizon way,the horizon shows the way to city,the horizon shows the way to city
finds a the road horizon to youth,the youth finds a road to horizon,the youth finds a road to horizon
people find the in temple truth the,the people find truth in the temple,the people find truth in the temple
the fox skins king the three gives,the king gives the three fox skins,the king gives the three fox skins
of becomes sky the a soul swallow,the soul becomes a swallow of sky,the soul becomes a swallow of sky
voice the hears the of authority servant,the servant hears the voice of authority,the servant hears the voice of authority
to the scribe gives the authority king,the king gives authority to the scribe,the king gives authority to the scribe
life offering / food grain people pellet,grain / pellet life food offering people,grain / pellet life food offering people
west in peace ba finds soul the,the soul ba finds peace in west,the soul ba finds peace in west
force / rope he strength power / tethering god rope authority king,tethering rope rope strength / force power authority he / king god,tethering rope rope strength / force power authority he / king god
a loaf of father the bread gives,the father gives a loaf of bread,the father gives a loaf of bread
power head authority ox altar / peace offering / strength of force god,head of ox strength / force power authority god offering peace / altar,head of ox strength / force power authority god offering peace / altar
chick man town life quail youth people,quail chick youth life people town man,quail chick youth life people town man
milk sits the the scribe behind jar,the scribe sits behind the milk jar,the scribe sits behind the milk jar
throne seated holds king authority power,seated king holds power authority throne,seated king holds power authority throne
mountain the behind emerges fire a great,a great fire emerges behind the mountain,a great fire emerges behind the mountain
finds a of sky the youth bird,the youth finds a bird of sky,the youth finds a bird of sky
field sickle servant a the carries to,the servant carries a sickle to field,the servant carries a sickle to field
lord the backbone all the sees of,the lord of all sees the backbone,the lord of all sees the backbone
/ scribe book scroll power writing knowledge papyrus,book papyrus scroll writing / scribe knowledge power,book papyrus scroll writing / scribe knowledge power
home fire gives family warmth to,fire gives warmth to family home,fire gives warmth to family home
river road cross water ripple town,cross river water ripple road town,cross river water ripple road town
scroll papyrus writes a scribe on the,the scribe writes on a papyrus scroll,the scribe writes on a papyrus scroll
the beautiful great god face the sees,the great god sees the beautiful face,the great god sees the beautiful face
cobra emerges the from the jar rack,the cobra emerges from the jar rack,the cobra emerges from the jar rack
of bird rope coil on sits the a,the bird sits on a coil of rope,the bird sits on a coil of rope
the temple of king a stone makes,the king makes a temple of stone,the king makes a temple of stone
to people life great gives god city,great god gives life to people city,great god gives life to people city
underground desert soul (ba) west life,desert underground west soul (ba) life,desert underground west soul (ba) life
is the reed the shelter inside cobra,the cobra is inside the reed shelter,the cobra is inside the reed shelter
life house a of king makes the,the king makes a house of life,the king makes a house of life
to servant gives strength the master the,the master gives strength to the servant,the master gives strength to the servant
truth soul of sees the the face,the soul sees the face of truth,the soul sees the face of truth
the eats grain the bird great small,the great bird eats the small grain,the great bird eats the small grain
life people vessel jar ripple water,jar vessel water ripple life people,jar vessel water ripple life people
servant a carries of coil the rope,the servant carries a coil of rope,the servant carries a coil of rope
the sees from the king hill horizon,the king sees the horizon from hill,the king sees the horizon from hill
old man wisdom / heart listen hear,old man wisdom heart hear / listen,old man wisdom heart hear / listen
the shelter is cobra inside the reed,the cobra is inside the reed shelter,the cobra is inside the reed shelter
finds sky under truth scribe the the,the scribe finds truth under the sky,the scribe finds truth under the sky
stone power / strength hill mountain stability force (djed),stone mountain hill strength / force power stability (djed),stone mountain hill strength / force power stability (djed)
people protects great god with strength,god protects people with great strength,god protects people with great strength
god rope coil of power rope tethering ring authority king,coil of rope tethering rope ring power authority king god,coil of rope tethering rope ring power authority king god
